Year,Biomass,Units
1955,4243.9,Thousand  Metric Tons
1956,3889.8,Thousand  Metric Tons
1957,4446.1,Thousand  Metric Tons
1958,4026.4,Thousand  Metric Tons
1959,6794.8,Thousand  Metric Tons
1960,5731.3,Thousand  Metric Tons
1961,4092.6,Thousand  Metric Tons
1962,3007.1,Thousand  Metric Tons
1963,2493.2,Thousand  Metric Tons
1964,1981,Thousand  Metric Tons
1965,2112.6,Thousand  Metric Tons
1966,2029.6,Thousand  Metric Tons
1967,2598.1,Thousand  Metric Tons
1968,2189.4,Thousand  Metric Tons
1969,2007.6,Thousand  Metric Tons
1970,2258.4,Thousand  Metric Tons
1971,1825.9,Thousand  Metric Tons
1972,1819.6,Thousand  Metric Tons
1973,1379.2,Thousand  Metric Tons
1974,1512.6,Thousand  Metric Tons
1975,1851.6,Thousand  Metric Tons
1976,2317.5,Thousand  Metric Tons
1977,2262.7,Thousand  Metric Tons
1978,2283.6,Thousand  Metric Tons
1979,2210.6,Thousand  Metric Tons
1980,2155.3,Thousand  Metric Tons
1981,1797.8,Thousand  Metric Tons
1982,2078.1,Thousand  Metric Tons
1983,1582.7,Thousand  Metric Tons
1984,1682.1,Thousand  Metric Tons
1985,2141.8,Thousand  Metric Tons
1986,2277.4,Thousand  Metric Tons
1987,2103.8,Thousand  Metric Tons
1988,1768.7,Thousand  Metric Tons
1989,2337.5,Thousand  Metric Tons
1990,2628.9,Thousand  Metric Tons
1991,3118.1,Thousand  Metric Tons
1992,4141,Thousand  Metric Tons
1993,3582.7,Thousand  Metric Tons
1994,3640.7,Thousand  Metric Tons
1996,3087.7,Thousand  Metric Tons
1997,2642.3,Thousand  Metric Tons
1998,2309.6,Thousand  Metric Tons
1999,3391.8,Thousand  Metric Tons
2000,3209.2,Thousand  Metric Tons
2001,2913.3,Thousand  Metric Tons
2002,3352.9,Thousand  Metric Tons
2003,3093,Thousand  Metric Tons
2004,2786.5,Thousand  Metric Tons
2005,2128.2,Thousand  Metric Tons
2006,2695,Thousand  Metric Tons
2007,3367.4,Thousand  Metric Tons
2008,3100.8,Thousand  Metric Tons
2009,3321.4,Thousand  Metric Tons
2010,3223.8,Thousand  Metric Tons
2011,4762,Thousand  Metric Tons
2012,4702,Thousand  Metric Tons
2013,3549.8,Thousand  Metric Tons
2014,3179.3,Thousand  Metric Tons
2015,3023.2,Thousand  Metric Tons
2016,4404.5,Thousand  Metric Tons
2017,4677,Thousand  Metric Tons
