Year,Biomass,Units
1982,32758,Metric Tons
1983,32455,Metric Tons
1984,38564,Metric Tons
1985,37634,Metric Tons
1986,42024,Metric Tons
1987,59363,Metric Tons
1988,87719,Metric Tons
1989,102480,Metric Tons
1990,112575,Metric Tons
1991,141266,Metric Tons
1992,162716,Metric Tons
1993,171919,Metric Tons
1994,253160,Metric Tons
1995,305207,Metric Tons
1996,340266,Metric Tons
1997,359859,Metric Tons
1998,378807,Metric Tons
1999,465407,Metric Tons
2000,378732,Metric Tons
2001,322333,Metric Tons
2002,302445,Metric Tons
2003,295678,Metric Tons
2004,347138,Metric Tons
2005,312634,Metric Tons
2006,300941,Metric Tons
2007,265389,Metric Tons
2008,281954,Metric Tons
2009,273307,Metric Tons
2010,252690,Metric Tons
2011,236323,Metric Tons
2012,217625,Metric Tons
2013,210453,Metric Tons
2014,259885,Metric Tons
2015,199669,Metric Tons
2016,214652,Metric Tons
2017,213805,Metric Tons
