"","Code","Functional_Group","Species","Scientific_Name","SVSPP","NESPP3","Species_Itis","isFishedSpecies"
"1","ANC","Anchovies","Bay anchovy","ANCHOA MITCHILLI",43,6,161839,FALSE
"2","ANC","Anchovies","Striped anchovy",NA,44,NA,NA,FALSE
"3","BB","Sediment Bacteria","Sediment Bacteria",NA,NA,NA,NA,FALSE
"4","BC","Benthic Carnivore","Octopus unclassified","OCTOPODIDAE",510,786,82590,FALSE
"5","BC","Benthic Carnivore","Starfish","ASTEROIDEA",NA,828,156862,FALSE
"6","BC","Benthic Carnivore","Common octopus",NA,511,NA,NA,FALSE
"7","BC","Benthic Carnivore","Spoonarm octopus",NA,512,NA,NA,FALSE
"8","BC","Benthic Carnivore","Unicorn octopus",NA,513,NA,NA,FALSE
"9","BC","Moon snail","Moon snail","NATICIDAE",NA,780,72878,TRUE
"10","BD","Deposit Feeder","All Deposit Feeders",NA,NA,NA,NA,FALSE
"11","BFF","Other benthic filter feeder","Arctic surfclam","MACTROMERIS POLYNYMA",407,765,80983,FALSE
"12","BFF","Other benthic filter feeder","Iceland scallop","CHLAMYS ISLANDICA",340,795,79619,FALSE
"13","BFF","Other benthic filter feeder","Scallop unclassified","PECTINIDAE",NA,796,79611,FALSE
"14","BFF","Other benthic filter feeder","Atlantic calico scallop","ARGOPECTEN GIBBUS",404,797,79734,FALSE
"15","BFF","Other benthic filter feeder","Bay scallop","ARGOPECTEN IRRADIANS",402,799,79737,FALSE
"16","BFF","Sea cucumbers","Sea cucumbers","HOLOTHUROIDEA",NA,806,158140,TRUE
"17","BFF","Mussels","Mussels","MYTILUS EDULIS",NA,781,79454,TRUE
"18","BFF","Other shellfish","Other shellfish","PROTOSTOMIA",NA,899,914155,TRUE
"19","BFF","Quahog","Quahog","MERCENARIA MERCENARIA",NA,748,81496,TRUE
"20","BFF","Soft clam","Soft clam","MYA ARENARIA",NA,763,81692,TRUE
"21","BFF","Razor clam","Razor clam","ENSIS DIRECTUS",NA,760,81022,TRUE
"22","BFF","Oysters","Oysters","CRASSOSTREA VIRGINICA",NA,789,79872,TRUE
"23","BFF","Bloodarc clam","Bloodarc clam","ANADARA OVALIS",NA,743,79342,TRUE
"24","BFF","Nk mollusks","Nk mollusks","MOLLUSCA",NA,804,69458,TRUE
"25","BFT","Atlantic bluefin tuna","Atlantic bluefin tuna","THUNNUS THYNNUS",747,467,172421,TRUE
"26","BG","Benthic grazer","All Benthic grazers",NA,331,NA,NA,FALSE
"27","BG","Sea urchins","Sea urchins","STRONGYLOCENTROTUS",NA,805,157968,TRUE
"28","BG","Periwinkles","Periwinkles","LITTORINIDAE",NA,798,70394,TRUE
"29","BIL","Billfish","White marlin","TETRAPTURUS ALBIDUS",708,216,172499,FALSE
"30","BIL","Billfish","Blue marlin","MAKAIRA NIGRICANS",707,217,172491,FALSE
"31","BIL","Billfish","Swordfish","XIPHIAS GLADIUS",700,432,172482,FALSE
"32","BIL","Marlin","Marlin","ISTIOPHORIDAE",NA,218,172486,TRUE
"33","BLF","Bluefish","Bluefish","POMATOMUS SALTATRIX",135,23,168559,TRUE
"34","BLS","Blue shark","Blue shark","PRIONACE GLAUCA",17,493,160424,TRUE
"35","BMS","Shallow macrozoobenthos","Blue crab","CALLINECTES SAPIDUS",314,700,98696,FALSE
"36","BMS","Shallow macrozoobenthos","Lady crab","OVALIPES OCELLATUS",322,701,98714,FALSE
"37","BMS","Shallow macrozoobenthos","Hermit crab","PAGURUS",NA,702,97775,FALSE
"38","BMS","Shallow macrozoobenthos","Green crab","CARCINUS MAENAS",327,708,98734,FALSE
"39","BMS","Shallow macrozoobenthos","Jonah crab","CANCER BOREALIS",312,711,98678,FALSE
"40","BMS","Shallow macrozoobenthos","Atantic rock crab","CANCER IRRORATUS",313,712,98679,FALSE
"41","BMS","Shallow macrozoobenthos","Cancer crab","CANCER",311,714,98671,FALSE
"42","BMS","Shallow macrozoobenthos","Spider crab","MAJIDAE",317,715,98417,FALSE
"43","BMS","Shallow macrozoobenthos","Snow crab","CHIONOECETES OPILIO",325,718,98428,FALSE
"44","BMS","Shallow macrozoobenthos","Horseshoe crab","LIMULUS POLYPHEMUS",318,724,82703,FALSE
"45","BMS","Shallow macrozoobenthos","Knobbed whelk","BUSYCON CARICA",337,777,74071,FALSE
"46","BMS","Channeled whelk","Channeled whelk","BUSYCOTYPUS CANALICULATUS",NA,776,74096,TRUE
"47","BMS","Nk crab","Nk crab","BRACHYURA",NA,713,98276,TRUE
"48","BMS","Conchs","Conchs","STROMBIDAE",NA,775,72554,TRUE
"49","BMS","Waved whelk","Waved whelk","BUCCINUM UNDATUM",NA,779,73795,TRUE
"50","BMS","Lightning whelk","Lightning whelk","BUSYCON SINISTRUM",NA,778,74075,TRUE
"51","BMS","Japanese shore crab","Japanese shore crab","HEMIGRAPSUS",NA,716,99034,TRUE
"52","BO","Meiobenthos","Meiobenthos",NA,NA,NA,NA,FALSE
"53","BPF","Other benthopelagic fish","Halfbeak","HEMIRAMPHIDAE",NA,164,553172,FALSE
"54","BPF","Other benthopelagic fish","Harvest fish","PEPRILUS ALEPIDOTUS",749,165,172570,FALSE
"55","BPF","Other benthopelagic fish","Round herring","ETRUMEUS TERES",31,166,161743,FALSE
"56","BPF","Other benthopelagic fish","American sandlance","AMMODYTES AMERICANUS",734,206,171673,FALSE
"57","BPF","Other benthopelagic fish","Chub mackerel","SCOMBER COLIAS",124,215,172413,FALSE
"58","BPF","Other benthopelagic fish","Atlantic silverside","MENIDIA MENIDIA",113,362,165994,FALSE
"59","BPF","Other benthopelagic fish","Argentine",NA,46,NA,NA,FALSE
"60","BPF","Ribbonfish","Ribbonfish","TRACHIPTERUS ARCTICUS",NA,98,166342,TRUE
"61","BPF","Atlantic cutlassfish","Atlantic cutlassfish","TRICHIURUS LEPTURUS",NA,99,172385,TRUE
"62","BPF","Spanish mackerel","Spanish mackerel","SCOMBEROMORUS MACULATUS",NA,384,172436,TRUE
"63","BPF","Nk seatrout","Nk seatrout","CYNOSCION SPP",NA,334,169238,TRUE
"64","BPF","Nk porgy","Nk porgy","SPARIDAE",NA,332,169180,TRUE
"65","BPF","King mackerel","King mackerel","SCOMBEROMORUS CAVALLA",NA,194,172435,TRUE
"66","BPF","Frigate mackerel","Frigate mackerel","AUXIS THAZARD",NA,132,172456,TRUE
"67","BPF","Triggerfish","Triggerfish","BALISTIDAE",NA,456,173128,TRUE
"68","BPF","Red porgy","Red porgy","PAGRUS PAGRUS",NA,330,169207,TRUE
"69","BPF","Wenchman","Wenchman","PRISTIPOMOIDES AQUILONARIS",NA,379,168913,TRUE
"70","BPF","Snowy grouper","Snowy grouper","EPINEPHELUS NIVEATUS",NA,146,167705,TRUE
"71","BPF","Crevalle","Crevalle","CARANX HIPPOS",NA,87,168609,TRUE
"72","BPF","Amber jack","Amber jack","SERIOLA",NA,3,168688,TRUE
"73","BPF","Grunts","Grunts","HAEMULIDAE",NA,144,169055,TRUE
"74","BPF","Blue runner","Blue runner","CARANX CRYSOS",NA,213,168612,TRUE
"75","BPF","Barrelfish","Barrelfish","HYPEROGLYPHE PERCIFORMIS",NA,27,172512,TRUE
"76","BPF","Snapper","Snapper","LUTJANIDAE",NA,336,168845,TRUE
"77","BPF","Steelhead trout","Steelhead trout","ONCORHYNCHUS MYKISS",NA,415,161989,TRUE
"78","BPF","Escolar","Escolar","LEPIDOCYBIUM FLAVOBRUNNEUM",NA,385,172362,TRUE
"79","BPF","Pigfish","Pigfish","ORTHOPRISTIS CHRYSOPTERA",NA,258,169077,TRUE
"80","BPF","Nk dory","Nk dory","ZEIFORMES",NA,189,166271,TRUE
"81","BPF","Red snapper","Red snapper","LUTJANUS CAMPECHANUS",NA,376,168853,TRUE
"82","BPF","Wreckfish","Wreckfish","POLYPRION AMERICANUS",NA,513,167914,TRUE
"83","BPF","Nk sea bass","Nk sea bass","CENTROPRISTIS",NA,333,167686,TRUE
"84","BPF","Barracuda","Barracuda","SPHYRAENIDAE",NA,18,170424,TRUE
"85","BPF","Dog snapper","Dog snapper","LUTJANUS JOCU",NA,375,168857,TRUE
"86","BPF","Opah","Opah","LAMPRIS GUTTATUS",NA,249,166326,TRUE
"87","BPF","Common pompano","Common pompano","TRACHINOTUS CAROLINUS",NA,272,168708,TRUE
"88","BPF","Yellowedge grouper","Yellowedge grouper","EPINEPHELUS FLAVOLIMBATUS",NA,142,167699,TRUE
"89","BPF","Sunfishes","Sunfishes","CENTRARCHIDAE",NA,426,168093,TRUE
"90","BPF","Puffer","Puffer","SPHOEROIDES",NA,430,173289,TRUE
"91","BPF","Squirrelfish","Squirrelfish","HOLOCENTRIDAE",NA,24,166170,TRUE
"92","BPF","Puffer","Puffer","TETRAODONTIDAE",NA,431,173283,TRUE
"93","BPF","Greater amberjack","Greater amberjack","SERIOLA DUMERILI",NA,181,168689,TRUE
"94","BPF","Southern hake","Southern hake","UROPHYCIS FLORIDANA",NA,661,164737,TRUE
"95","BPF","Vermillion snapper","Vermillion snapper","RHOMBOPLITES AURORUBENS",NA,374,168909,TRUE
"96","BPF","Big roughy","Big roughy","GEPHYROBERYX DARWINI",NA,25,615855,TRUE
"97","BPF","Pomfrets","Pomfrets","BRAMIDAE",NA,271,170287,TRUE
"98","BPF","Tarpon","Tarpon","MEGALOPS ATLANTICUS",NA,435,161116,TRUE
"99","BPF","Red grouper","Red grouper","EPINEPHELUS MORIO",NA,26,167702,TRUE
"100","BPF","Tripletail","Tripletail","LOBOTES SURINAMENSIS",NA,459,169007,TRUE
"101","BPF","Red barbier","Red barbier","HEMANTHIAS VIVANUS",NA,337,167801,TRUE
"102","BPF","Houndfish","Houndfish","TYLOSURUS CROCODILUS",NA,20,165577,TRUE
"103","BPG","Grouper","Grouper","SERRANIDAE",NA,141,167674,TRUE
"104","BSB","Black sea bass","Black sea bass","CENTROPRISTIS STRIATA",141,335,167687,TRUE
"105","BUT","Butterfish","Butterfish","PEPRILUS TRIACANTHUS",131,51,172567,TRUE
"106","BWH","Baleen whales","Baleen whales",NA,NA,NA,NA,TRUE
"107","CLA","Atlantic surf clam","Atlantic surf clam","SPISULA SOLIDISSIMA",403,769,80944,TRUE
