experiment_id,experiment_fullname,n_runs,run_directory,run_prefix,run_length_d,projection_length_d,event_start_d,event_end_d,experiment_description,dev hash
fscale_1,fishing_sensitivity_catch_scalar_species_1,392,/contrib/Joseph.Caracappa/fishing_sensitivity/neus-atlantis/Atlantis_Runs/fish_sens_catch_scalar_species_1/,out_,28105,7300,19724,28105,catch scalar applied over a 20 year projection to test sensitivity to fishing,3bf2143d55d765919a3d1f7651cf672532eb01b8
fspike_1,fishing_sensitivity_catch_spike_species_1,392,/contrib/Joseph.Caracappa/fishing_sensitivity/neus-atlantis/Atlantis_Runs/fish_sens_catch_spike_species_1/,out_,28105,7300,20805,21535,catch spike applied over a 20 year projection to test sensitivity to fishing,3bf2143d55d765919a3d1f7651cf672532eb01b8
fscale_2,fishing_sensitivity_catch_scalar_species_2,392,/contrib/Joseph.Caracappa/fishing_sensitivity/neus-atlantis/Atlantis_Runs/fish_sens_catch_scalar_species_2/,out_,28105,7300,20805,28105,catch scalar applied over a 20 year projection to test sensitivity to fishing,3bf2143d55d765919a3d1f7651cf672532eb01b8
