Code,Index,IsTurnedOn,Name,Long Name,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,isFished,IsImpacted,isTAC,GroupType,isPredator,IsCover,isSiliconDep,isAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend
SHD,22,1,Shark_D,Other demersal sharks,10,1,2,1,5,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0
SHC,23,0,Shark_C,Dogfish,10,1,2,1,1,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0
SHP,24,1,Shark_P,Pelagic sharks,10,1,2,1,7,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0
SHR,25,0,Shark_R,Reef sharks,10,1,2,1,7,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0
SSK,26,1,SkateRay,Skates and rays,10,1,2,1,3,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0
SB,27,1,Seabird,Seabirds,10,1,2,1,2,1,1,1,1,1,1,BIRD,1,0,0,1,0,0,0,0
SP,28,0,Penguin,Penguins,10,1,2,1,4,1,1,1,1,1,1,BIRD,1,0,0,1,0,0,0,0
PIN,29,1,Pinniped,Pinnipeds,10,1,2,1,3,1,1,1,1,1,1,MAMMAL,1,0,0,1,0,0,0,0
REP,30,1,Reptile,Reptiles,10,1,2,1,8,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
WHB,31,1,Whale_Baleen,Baleen whales,10,1,2,1,9,1,1,1,1,1,1,MAMMAL,1,0,0,1,0,0,0,0
WHS,32,0,Whale_Small,Small toothed whales,10,1,2,1,1,1,1,1,1,1,1,MAMMAL,1,0,0,1,0,0,0,0
WHT,33,1,Whale_Tooth,Toothed whales ,10,1,2,1,7,1,1,1,1,1,1,MAMMAL,1,0,0,1,0,0,0,0
WDG,34,0,Dugong,Dugongs,10,1,2,1,2,1,1,1,1,1,1,MAMMAL,1,0,0,1,0,0,0,0
CEP,35,1,Cephalopod,Cephalopod,1,1,2,1,1,1,1,1,1,1,1,CEP,1,0,0,1,0,0,0,0
BFS,36,1,Filter_Shallow,Shallow benthic filter feeder,1,1,1,1,1,1,0,0,1,1,1,SED_EP_FF,1,1,0,1,0,0,0,0
BFF,37,1,Filter_Other,Other benthic filter feeder,1,1,1,1,1,1,0,0,1,1,1,SED_EP_FF,1,1,0,1,0,0,0,0
BFD,38,0,Filter_Deep,Deep benthic filter feeder,1,1,1,1,1,1,0,0,1,1,1,SED_EP_FF,1,1,0,1,0,0,0,0
BG,39,1,Benthic_grazer,Benthic grazer,1,1,1,1,1,1,0,0,1,1,1,SED_EP_OTHER,1,0,0,1,0,0,0,0
BMD,40,0,Macrobenth_Deep,Deep macrozoobenthos,1,1,1,1,1,1,0,0,1,1,1,MOB_EP_OTHER,1,0,0,1,0,0,0,0
BML,41,1,Megazoobenthos,Megazoobenthos,1,1,1,1,1,1,1,1,1,1,1,MOB_EP_OTHER,1,0,0,1,0,0,0,0
BMS,42,1,Macrobenth_Shallow,Shallow macrozoobenthos,1,1,1,1,1,1,0,0,1,1,1,MOB_EP_OTHER,1,0,0,1,0,0,0,0
PWN,43,1,Prawn,Prawn,1,1,2,1,1,1,1,1,1,1,1,PWN,1,0,0,1,0,0,0,0
ZL,44,1,Carniv_Zoo,Carnivorous zooplankton,1,1,1,1,1,1,1,1,1,1,1,LG_ZOO,1,0,0,1,0,0,0,0
BD,45,1,Deposit_Feeder,Deposit Feeder,1,1,1,1,1,1,0,0,1,1,1,LG_INF,1,0,0,1,0,0,0,0
MA,46,0,Macroalgae,Macroalgae,1,1,1,1,1,1,0,0,1,1,1,PHYTOBEN,0,1,0,1,0,0,0,0
MB,47,0,MicroPB,Microphtybenthos,1,1,1,1,1,1,0,0,1,1,1,MICROPHTYBENTHOS,0,1,1,1,0,0,0,0
SG,48,0,Seagrass,Seagrass,1,1,1,1,1,1,0,0,1,1,1,SEAGRASS,0,1,0,1,0,0,0,0
BC,49,1,Benthic_Carniv,Benthic Carnivore,1,1,1,1,1,1,0,0,1,1,1,LG_INF,1,0,0,1,0,0,0,0
ZG,50,1,Gelat_Zoo,Gelatinous zooplankton,1,1,1,1,1,1,1,0,1,1,1,LG_ZOO,1,0,0,1,0,0,0,0
PL,51,1,Diatom,Diatom,1,1,1,1,1,1,0,0,0,0,0,LG_PHY,0,0,1,1,0,0,0,0
DF,52,1,DinoFlag,Dinoflagellates,1,1,1,1,1,1,0,0,0,0,0,DINOFLAG,1,0,0,1,0,0,0,0
PS,53,1,PicoPhytopl,Pico-phytoplankton,1,1,1,1,1,1,0,0,0,0,0,SM_PHY,0,0,0,1,0,0,0,0
ZM,54,1,Zoo,Mesozooplankton,1,1,1,1,1,1,1,0,0,0,0,MED_ZOO,1,0,0,1,0,0,0,0
ZS,55,1,MicroZoo,Microzooplankton,1,1,1,1,1,1,1,0,0,0,0,SM_ZOO,1,0,0,1,0,0,0,0
PB,56,1,Pelag_Bact,Pelagic Bacteria,1,1,1,1,1,1,0,0,0,0,0,PL_BACT,0,0,0,0,0,0,0,0
BB,57,1,Sed_Bact,Sediment Bacteria,1,1,1,1,1,1,0,0,0,0,0,SED_BACT,0,0,0,0,0,0,0,0
BO,58,1,Meiobenth,Meiobenthos,1,1,1,1,1,1,0,0,0,0,0,SM_INF,1,0,0,0,0,0,0,0
DL,59,1,Lab_Det,Labile detritus,1,1,1,1,1,1,0,0,0,0,0,LAB_DET,0,0,0,1,0,0,0,0
DR,60,1,Ref_Det,Refractory detritus,1,1,1,1,1,1,0,0,0,0,0,REF_DET,0,0,0,1,0,0,0,0
DC,61,1,Carrion,Carrion3,1,1,1,1,1,1,0,0,0,0,0,CARRION,0,0,0,1,0,0,0,0
