polygon,l1,l2,l3,l4
0,0,1,NA,NA
1,0,NA,NA,NA
2,0,NA,NA,NA
3,0,1,2,NA
4,0,NA,NA,NA
5,0,1,NA,NA
6,0,1,NA,NA
7,0,NA,NA,NA
8,0,1,NA,NA
9,0,1,NA,NA
10,0,1,NA,NA
11,0,1,2,NA
12,0,0,NA,NA
13,0,NA,NA,NA
14,0,1,2,NA
15,0,1,NA,NA
16,0,1,2,NA
17,0,1,NA,NA
18,0,1,NA,NA
19,0,1,2,NA
20,0,1,2,NA
21,0,1,2,NA
22,0,1,NA,NA
23,0,NA,NA,NA
24,0,NA,NA,NA
25,0,1,NA,NA
26,0,1,2,NA
27,0,1,2,3
28,0,1,2,3
29,0,1,2,3
