box,face,level,x
0,113,1,1
0,113,2,1
0,147,1,1
0,147,2,1
0,148,1,1
0,148,2,1
0,145,1,1
0,145,2,1
0,146,1,1
0,146,2,1
1,126,1,1
1,127,1,1
1,146,1,1
1,145,1,1
1,144,1,1
1,143,1,1
1,142,1,1
1,141,1,1
1,140,1,1
1,139,1,1
1,125,1,1
2,125,1,1
2,139,1,1
2,140,1,1
2,141,1,1
2,142,1,1
2,143,1,1
2,144,1,1
2,148,1,1
2,147,1,1
2,149,1,1
2,150,1,1
2,132,1,1
2,124,1,1
3,114,1,1
3,114,2,1
3,114,3,1
3,115,1,1
3,115,2,1
3,115,3,1
3,116,1,1
3,116,2,1
3,116,3,1
3,132,1,1
3,132,2,1
3,132,3,1
3,150,1,1
3,150,2,1
3,150,3,1
3,149,1,1
3,149,2,1
3,149,3,1
3,113,1,1
3,113,2,1
3,113,3,1
4,128,1,1
4,129,1,1
4,131,1,1
4,134,1,1
4,133,1,1
4,127,1,1
5,117,1,1
5,117,2,1
5,121,1,1
5,121,2,1
5,122,1,1
5,122,2,1
5,123,1,1
5,123,2,1
5,119,1,1
5,119,2,1
5,130,1,1
5,130,2,1
5,131,1,1
5,131,2,1
5,129,1,1
5,129,2,1
5,128,1,1
5,128,2,1
5,126,1,1
5,126,2,1
5,124,1,1
5,124,2,1
5,116,1,1
5,116,2,1
6,103,1,1
6,103,2,1
6,138,1,1
6,138,2,1
6,137,1,1
6,137,2,1
6,136,1,1
6,136,2,1
6,135,1,1
6,135,2,1
6,134,1,1
6,134,2,1
6,130,1,1
6,130,2,1
6,120,1,1
6,120,2,1
6,102,1,1
6,102,2,1
7,118,1,1
7,133,1,1
7,135,1,1
7,136,1,1
7,137,1,1
7,138,1,1
7,104,1,1
7,105,1,1
7,106,1,1
7,107,1,1
7,87,1,1
7,88,1,1
7,89,1,1
7,90,1,1
7,86,1,1
8,56,1,1
8,56,2,1
8,57,1,1
8,57,2,1
8,58,1,1
8,58,2,1
8,59,1,1
8,59,2,1
8,55,1,1
8,55,2,1
8,118,1,1
8,118,2,1
8,85,1,1
8,85,2,1
8,87,1,1
8,87,2,1
8,108,1,1
8,108,2,1
8,109,1,1
8,109,2,1
8,110,1,1
8,110,2,1
8,111,1,1
8,111,2,1
8,54,1,1
8,54,2,1
8,41,1,1
8,41,2,1
9,68,1,1
9,68,2,1
9,111,1,1
9,111,2,1
9,110,1,1
9,110,2,1
9,109,1,1
9,109,2,1
9,108,1,1
9,108,2,1
9,107,1,1
9,107,2,1
9,106,1,1
9,106,2,1
9,105,1,1
9,105,2,1
9,104,1,1
9,104,2,1
9,103,1,1
9,103,2,1
9,101,1,1
9,101,2,1
9,112,1,1
9,112,2,1
9,61,1,1
9,61,2,1
10,39,1,1
10,39,2,1
10,0,1,1
10,0,2,1
11,0,1,1
