polygon,l1,l2,l3,l4
0,1,0,NA,NA
1,0,NA,NA,NA
2,0,NA,NA,NA
3,2,1,0,NA
4,0,NA,NA,NA
5,1,0,NA,NA
6,1,0,NA,NA
7,0,NA,NA,NA
8,1,0,NA,NA
9,1,0,NA,NA
10,1,0,NA,NA
11,2,1,0,NA
12,1,0,NA,NA
13,0,NA,NA,NA
14,2,1,0,NA
15,1,0,NA,NA
16,2,1,0,NA
17,1,0,NA,NA
18,1,0,NA,NA
19,2,1,0,NA
20,2,1,0,NA
21,2,1,0,NA
22,1,0,NA,NA
23,0,NA,NA,NA
24,0,NA,NA,NA
25,1,0,NA,NA
26,2,1,0,NA
27,3,2,1,0
28,3,2,1,0
29,3,2,1,0
