"Run.ID","Group","Code","Type","Unit","Value","bio.file","run.sh.file"
1,"Set1","SB","mQa","scalar",1,"at_biology_1.prm","RunAtlantis_1.sh"
2,"Set1","SB","mQa","scalar",12,"at_biology_2.prm","RunAtlantis_2.sh"
3,"Set1","SB","mQa","scalar",23,"at_biology_3.prm","RunAtlantis_3.sh"
4,"Set1","SB","mQa","scalar",34,"at_biology_4.prm","RunAtlantis_4.sh"
5,"Set1","SB","mQa","scalar",45,"at_biology_5.prm","RunAtlantis_5.sh"
6,"Set1","SB","mQa","scalar",56,"at_biology_6.prm","RunAtlantis_6.sh"
7,"Set1","SB","mQa","scalar",67,"at_biology_7.prm","RunAtlantis_7.sh"
8,"Set1","SB","mQa","scalar",78,"at_biology_8.prm","RunAtlantis_8.sh"
9,"Set1","SB","mQa","scalar",89,"at_biology_9.prm","RunAtlantis_9.sh"
10,"Set1","SB","mQa","scalar",100,"at_biology_10.prm","RunAtlantis_10.sh"
11,"Set1","SB","KDENR","scalar",0.01,"at_biology_11.prm","RunAtlantis_11.sh"
12,"Set1","SB","KDENR","scalar",0.12,"at_biology_12.prm","RunAtlantis_12.sh"
13,"Set1","SB","KDENR","scalar",0.23,"at_biology_13.prm","RunAtlantis_13.sh"
14,"Set1","SB","KDENR","scalar",0.34,"at_biology_14.prm","RunAtlantis_14.sh"
15,"Set1","SB","KDENR","scalar",0.45,"at_biology_15.prm","RunAtlantis_15.sh"
16,"Set1","SB","KDENR","scalar",0.56,"at_biology_16.prm","RunAtlantis_16.sh"
17,"Set1","SB","KDENR","scalar",0.67,"at_biology_17.prm","RunAtlantis_17.sh"
18,"Set1","SB","KDENR","scalar",0.78,"at_biology_18.prm","RunAtlantis_18.sh"
19,"Set1","SB","KDENR","scalar",0.89,"at_biology_19.prm","RunAtlantis_19.sh"
20,"Set1","SB","KDENR","scalar",1,"at_biology_20.prm","RunAtlantis_20.sh"
