"Run.ID","Run.Group","Code","Type","Unit","Value","bio.file","run.sh.file"
1,"HER","HER","mum","scalar",0.5,"at_biology_1.prm","RunAtlantis_1.sh"
2,"HER","HER","mum","scalar",0.25,"at_biology_2.prm","RunAtlantis_2.sh"
3,"HER","HER","mum","scalar",0.1,"at_biology_3.prm","RunAtlantis_3.sh"
4,"HER","HER","mum","scalar",0.05,"at_biology_4.prm","RunAtlantis_4.sh"
5,"HER","HER","BHalpha","scalar",0.75,"at_biology_5.prm","RunAtlantis_5.sh"
6,"HER","HER","BHalpha","scalar",0.5,"at_biology_6.prm","RunAtlantis_6.sh"
7,"HER","HER","BHalpha","scalar",0.25,"at_biology_7.prm","RunAtlantis_7.sh"
8,"HER","HER","BHalpha","scalar",0.1,"at_biology_8.prm","RunAtlantis_8.sh"
9,"HER","HER","BHalpha","scalar",0.05,"at_biology_9.prm","RunAtlantis_9.sh"
10,"HER","HER","BHbeta","scalar",1.25,"at_biology_10.prm","RunAtlantis_10.sh"
11,"HER","HER","BHbeta","scalar",1.5,"at_biology_11.prm","RunAtlantis_11.sh"
12,"HER","HER","BHbeta","scalar",2,"at_biology_12.prm","RunAtlantis_12.sh"
13,"HER","HER","BHbeta","scalar",5,"at_biology_13.prm","RunAtlantis_13.sh"
14,"HER","HER","BHbeta","scalar",10,"at_biology_14.prm","RunAtlantis_14.sh"
15,"HER","HER","mQa","value",1e-10,"at_biology_15.prm","RunAtlantis_15.sh"
16,"HER","HER","mQa","value",1e-09,"at_biology_16.prm","RunAtlantis_16.sh"
17,"HER","HER","mQa","value",1e-08,"at_biology_17.prm","RunAtlantis_17.sh"
18,"GOO","GOO","mum","scalar",0.5,"at_biology_18.prm","RunAtlantis_18.sh"
19,"GOO","GOO","mum","scalar",0.25,"at_biology_19.prm","RunAtlantis_19.sh"
20,"GOO","GOO","mum","scalar",0.1,"at_biology_20.prm","RunAtlantis_20.sh"
21,"GOO","GOO","mum","scalar",0.05,"at_biology_21.prm","RunAtlantis_21.sh"
22,"GOO","GOO","mQa","value",1e-10,"at_biology_22.prm","RunAtlantis_22.sh"
23,"GOO","GOO","mQa","value",1e-09,"at_biology_23.prm","RunAtlantis_23.sh"
24,"GOO","GOO","mQa","value",1e-08,"at_biology_24.prm","RunAtlantis_24.sh"
25,"PIN","PIN","KDENR","value",1,"at_biology_25.prm","RunAtlantis_25.sh"
26,"PIN","PIN","KDENR","value",1.1,"at_biology_26.prm","RunAtlantis_26.sh"
27,"PIN","PIN","KDENR","value",1.2,"at_biology_27.prm","RunAtlantis_27.sh"
28,"PIN","PIN","KDENR","value",1.5,"at_biology_28.prm","RunAtlantis_28.sh"
29,"PIN","PIN","KDENR","value",2,"at_biology_29.prm","RunAtlantis_29.sh"
30,"PIN","PIN","mQa","scalar",5,"at_biology_30.prm","RunAtlantis_30.sh"
31,"PIN","PIN","mQa","scalar",10,"at_biology_31.prm","RunAtlantis_31.sh"
32,"PIN","PIN","mQa","scalar",20,"at_biology_32.prm","RunAtlantis_32.sh"
33,"PIN","PIN","mQa","scalar",50,"at_biology_33.prm","RunAtlantis_33.sh"
34,"DOG","DOG","KDENR","value",1,"at_biology_34.prm","RunAtlantis_34.sh"
35,"DOG","DOG","KDENR","value",1.1,"at_biology_35.prm","RunAtlantis_35.sh"
36,"DOG","DOG","KDENR","value",1.2,"at_biology_36.prm","RunAtlantis_36.sh"
37,"DOG","DOG","KDENR","value",1.5,"at_biology_37.prm","RunAtlantis_37.sh"
38,"DOG","DOG","KDENR","value",2,"at_biology_38.prm","RunAtlantis_38.sh"
39,"DOG","DOG","mQa","scalar",5,"at_biology_39.prm","RunAtlantis_39.sh"
40,"DOG","DOG","mQa","scalar",10,"at_biology_40.prm","RunAtlantis_40.sh"
41,"DOG","DOG","mQa","scalar",20,"at_biology_41.prm","RunAtlantis_41.sh"
42,"DOG","DOG","mQa","scalar",50,"at_biology_42.prm","RunAtlantis_42.sh"
43,"WSK","WSK","KDENR","value",1,"at_biology_43.prm","RunAtlantis_43.sh"
44,"WSK","WSK","KDENR","value",1.1,"at_biology_44.prm","RunAtlantis_44.sh"
45,"WSK","WSK","KDENR","value",1.2,"at_biology_45.prm","RunAtlantis_45.sh"
46,"WSK","WSK","KDENR","value",1.5,"at_biology_46.prm","RunAtlantis_46.sh"
47,"WSK","WSK","KDENR","value",2,"at_biology_47.prm","RunAtlantis_47.sh"
48,"WSK","WSK","mQa","scalar",5,"at_biology_48.prm","RunAtlantis_48.sh"
