Run.ID,Run.Group,Code,Type,Unit,Value
1,HER,HER,mum,scalar,0.5
2,HER,HER,mum,scalar,0.25
3,HER,HER,mum,scalar,0.1
4,HER,HER,mum,scalar,0.05
5,HER,HER,BHalpha,scalar,0.75
6,HER,HER,BHalpha,scalar,0.5
7,HER,HER,BHalpha,scalar,0.25
8,HER,HER,BHalpha,scalar,0.1
9,HER,HER,BHalpha,scalar,0.05
10,HER,HER,BHbeta,scalar,1.25
11,HER,HER,BHbeta,scalar,1.5
12,HER,HER,BHbeta,scalar,2
13,HER,HER,BHbeta,scalar,5
14,HER,HER,BHbeta,scalar,10
15,HER,HER,mQa,value,1.00E-10
16,HER,HER,mQa,value,1.00E-09
17,HER,HER,mQa,value,1.00E-08
18,GOO,GOO,mum,scalar,5.00E-01
19,GOO,GOO,mum,scalar,2.50E-01
20,GOO,GOO,mum,scalar,1.00E-01
21,GOO,GOO,mum,scalar,5.00E-02
22,GOO,GOO,mQa,value,1.00E-10
23,GOO,GOO,mQa,value,1.00E-09
24,GOO,GOO,mQa,value,1.00E-08
25,PIN,PIN,KDENR,value,1.00E+00
26,PIN,PIN,KDENR,value,1.10E+00
27,PIN,PIN,KDENR,value,1.20E+00
28,PIN,PIN,KDENR,value,1.50E+00
29,PIN,PIN,KDENR,value,2.00E+00
30,PIN,PIN,mQa,scalar,5.00E+00
31,PIN,PIN,mQa,scalar,1.00E+01
32,PIN,PIN,mQa,scalar,2.00E+01
33,PIN,PIN,mQa,scalar,5.00E+01
34,DOG,DOG,KDENR,value,1.00E+00
35,DOG,DOG,KDENR,value,1.10E+00
36,DOG,DOG,KDENR,value,1.20E+00
37,DOG,DOG,KDENR,value,1.50E+00
38,DOG,DOG,KDENR,value,2.00E+00
39,DOG,DOG,mQa,scalar,5.00E+00
40,DOG,DOG,mQa,scalar,1.00E+01
41,DOG,DOG,mQa,scalar,2.00E+01
42,DOG,DOG,mQa,scalar,5.00E+01
43,WSK,WSK,KDENR,value,1.00E+00
44,WSK,WSK,KDENR,value,1.10E+00
45,WSK,WSK,KDENR,value,1.20E+00
46,WSK,WSK,KDENR,value,1.50E+00
47,WSK,WSK,KDENR,value,2.00E+00
48,WSK,WSK,mQa,scalar,5.00E+00
49,WSK,WSK,mQa,scalar,1.00E+01
50,WSK,WSK,mQa,scalar,2.00E+01
51,WSK,WSK,mQa,scalar,5.00E+01
