"run","catch.threshold","catch.scalar","catch.force"
1,0,0,"total_catch_1"
2,1020.30405060708,0.00597426015671446,"total_catch_2"
3,4081.21620242832,0.0238970406268578,"total_catch_3"
4,9182.73645546373,0.0537683414104301,"total_catch_4"
5,16324.8648097133,0.0955881625074313,"total_catch_5"
6,25507.601265177,0.149356503917861,"total_catch_6"
7,36730.9458218549,0.21507336564172,"total_catch_7"
8,49994.898479747,0.292738747679009,"total_catch_8"
9,65299.4592388532,0.382352650029725,"total_catch_9"
10,82644.6280991736,0.483915072693871,"total_catch_10"
11,102030.405060708,0.597426015671446,"total_catch_11"
12,123456.790123457,0.722885478962449,"total_catch_12"
13,146923.78328742,0.860293462566882,"total_catch_13"
14,172431.384552597,1.00964996648474,"total_catch_14"
15,199979.593918988,1.17095499071603,"total_catch_15"
16,229568.411386593,1.34420853526075,"total_catch_16"
17,261197.836955413,1.5294106001189,"total_catch_17"
18,294867.870625446,1.72656118529048,"total_catch_18"
19,330578.512396694,1.93566029077548,"total_catch_19"
20,368329.762269156,2.15670791657392,"total_catch_20"
21,408121.620242832,2.38970406268578,"total_catch_21"
22,449954.086317723,2.63464872911108,"total_catch_22"
23,493827.160493827,2.8915419158498,"total_catch_23"
24,539740.842771146,3.16038362290195,"total_catch_24"
25,587695.133149679,3.44117385026753,"total_catch_25"
26,637690.031629426,3.73391259794654,"total_catch_26"
27,689725.538210387,4.03859986593897,"total_catch_27"
28,743801.652892562,4.35523565424484,"total_catch_28"
29,799918.375675952,4.68381996286414,"total_catch_29"
30,858075.706560555,5.02435279179686,"total_catch_30"
31,918273.645546373,5.37683414104301,"total_catch_31"
32,980512.192633405,5.74126401060259,"total_catch_32"
33,1044791.34782165,6.11764240047561,"total_catch_33"
34,1111111.11111111,6.50596931066204,"total_catch_34"
35,1179471.48250179,6.90624474116192,"total_catch_35"
36,1249872.46199367,7.31846869197521,"total_catch_36"
37,1322314.04958678,7.74264116310194,"total_catch_37"
38,1396796.24528109,8.17876215454209,"total_catch_38"
39,1473319.04907663,8.62683166629568,"total_catch_39"
40,1551882.46097337,9.08684969836269,"total_catch_40"
41,1632486.48097133,9.55881625074313,"total_catch_41"
42,1715131.1090705,10.042731323437,"total_catch_42"
43,1799816.34527089,10.5385949164443,"total_catch_43"
44,1886542.18957249,11.046407029765,"total_catch_44"
45,1975308.64197531,11.5661676633992,"total_catch_45"
46,2066115.70247934,12.0978768173468,"total_catch_46"
47,2158963.37108458,12.6415344916078,"total_catch_47"
48,2253851.64779104,13.1971406861822,"total_catch_48"
49,2350780.53259871,13.7646954010701,"total_catch_49"
50,2449750.0255076,14.3441986362714,"total_catch_50"
51,2550760.1265177,14.9356503917861,"total_catch_51"
52,2653810.83562902,15.5390506676143,"total_catch_52"
53,2758902.15284155,16.1543994637559,"total_catch_53"
54,2866034.07815529,16.7816967802109,"total_catch_54"
55,2975206.61157025,17.4209426169794,"total_catch_55"
56,3086419.75308642,18.0721369740612,"total_catch_56"
57,3199673.50270381,18.7352798514565,"total_catch_57"
58,3314967.86042241,19.4103712491653,"total_catch_58"
59,3432302.82624222,20.0974111671874,"total_catch_59"
60,3551678.40016325,20.796399605523,"total_catch_60"
61,3673094.58218549,21.507336564172,"total_catch_61"
62,3796551.37230895,22.2302220431345,"total_catch_62"
63,3922048.77053362,22.9650560424104,"total_catch_63"
64,4049586.77685951,23.7118385619997,"total_catch_64"
65,4179165.3912866,24.4705696019024,"total_catch_65"
66,4310784.61381492,25.2412491621186,"total_catch_66"
67,4444444.44444444,26.0238772426482,"total_catch_67"
68,4580144.88317519,26.8184538434912,"total_catch_68"
69,4717885.93000714,27.6249789646477,"total_catch_69"
70,4857667.58494031,28.4434526061175,"total_catch_70"
71,4999489.8479747,29.2738747679008,"total_catch_71"
72,5143352.7191103,30.1162454499976,"total_catch_72"
73,5289256.19834711,30.9705646524077,"total_catch_73"
74,5437200.28568514,31.8368323751313,"total_catch_74"
75,5587184.98112438,32.7150486181684,"total_catch_75"
76,5739210.28466483,33.6052133815188,"total_catch_76"
77,5893276.1963065,34.5073266651827,"total_catch_77"
78,6049382.71604938,35.42138846916,"total_catch_78"
79,6207529.84389348,36.3473987934508,"total_catch_79"
80,6367717.57983879,37.2853576380549,"total_catch_80"
81,6529945.92388532,38.2352650029725,"total_catch_81"
82,6694214.87603306,39.1971208882036,"total_catch_82"
83,6860524.43628201,40.170925293748,"total_catch_83"
84,7028874.60463218,41.1566782196059,"total_catch_84"
85,7199265.38108356,42.1543796657772,"total_catch_85"
86,7371696.76563616,43.164029632262,"total_catch_86"
87,7546168.75828997,44.1856281190601,"total_catch_87"
88,7722681.359045,45.2191751261717,"total_catch_88"
89,7901234.56790124,46.2646706535968,"total_catch_89"
90,8081828.38485869,47.3221147013352,"total_catch_90"
91,8264462.80991736,48.3915072693871,"total_catch_91"
92,8449137.84307724,49.4728483577524,"total_catch_92"
93,8635853.48433834,50.5661379664312,"total_catch_93"
94,8824609.73370064,51.6713760954234,"total_catch_94"
95,9015406.59116417,52.788562744729,"total_catch_95"
96,9208244.05672891,53.917697914348,"total_catch_96"
97,9403122.13039486,55.0587816042804,"total_catch_97"
98,9600040.81216203,56.2118138145263,"total_catch_98"
99,9799000.10203041,57.3767945450857,"total_catch_99"
100,1e+07,58.5537237959584,"total_catch_100"
