"Run.ID","Run.Group","Code","Type","Unit","Value"
1,"ANC","ANC","mum","scalar",2
2,"ANC","ANC","mum","scalar",5
3,"ANC","ANC","mum","scalar",10
4,"ANC","ANC","C","scalar",2
5,"ANC","ANC","C","scalar",5
6,"ANC","ANC","C","scalar",10
7,"BFT","BFT","mum","scalar",2
8,"BFT","BFT","mum","scalar",5
9,"BFT","BFT","mum","scalar",10
10,"BFT","BFT","C","scalar",2
11,"BFT","BFT","C","scalar",5
12,"BFT","BFT","C","scalar",10
13,"BLF","BLF","mum","scalar",0.5
14,"BLF","BLF","mum","scalar",0.25
15,"BLF","BLF","mum","scalar",0.1
16,"BUT","BUT","mum","scalar",2
17,"BUT","BUT","mum","scalar",5
18,"BUT","BUT","mum","scalar",10
19,"BUT","BUT","C","scalar",2
20,"BUT","BUT","C","scalar",5
21,"BUT","BUT","C","scalar",10
22,"BWH","BWH","mum","scalar",0.5
23,"BWH","BWH","mum","scalar",0.25
24,"BWH","BWH","mum","scalar",0.1
25,"COD","COD","mum","scalar",0.5
26,"COD","COD","mum","scalar",0.25
27,"COD","COD","mum","scalar",0.1
28,"COD","COD","C","scalar",0.5
29,"COD","COD","C","scalar",0.25
30,"COD","COD","C","scalar",0.1
31,"GOO","GOO","mum","scalar",0.5
32,"GOO","GOO","mum","scalar",0.25
33,"GOO","GOO","mum","scalar",0.1
34,"GOO","GOO","C","scalar",0.5
35,"GOO","GOO","C","scalar",0.25
36,"GOO","GOO","C","scalar",0.1
37,"HAL","HAL","mum","scalar",0.5
38,"HAL","HAL","mum","scalar",0.25
39,"HAL","HAL","mum","scalar",0.1
40,"HAL","HAL","C","scalar",0.5
41,"HAL","HAL","C","scalar",0.25
42,"HAL","HAL","C","scalar",0.1
43,"LSK","LSK","mum","scalar",0.5
44,"LSK","LSK","mum","scalar",0.25
45,"LSK","LSK","mum","scalar",0.1
46,"MAK","MAK","mum","scalar",0.5
47,"MAK","MAK","mum","scalar",0.25
48,"MAK","MAK","mum","scalar",0.1
49,"MAK","MAK","C","scalar",0.5
50,"MAK","MAK","C","scalar",0.25
51,"MAK","MAK","C","scalar",0.1
52,"OHK","OHK","mum","scalar",2
53,"OHK","OHK","mum","scalar",5
54,"OHK","OHK","mum","scalar",10
55,"OHK","OHK","C","scalar",2
56,"OHK","OHK","C","scalar",5
57,"OHK","OHK","C","scalar",10
58,"PLA","PLA","mum","scalar",0.5
59,"PLA","PLA","mum","scalar",0.25
60,"PLA","PLA","mum","scalar",0.1
61,"PLA","PLA","C","scalar",0.5
62,"PLA","PLA","C","scalar",0.25
63,"PLA","PLA","C","scalar",0.1
64,"POL","POL","mum","scalar",0.5
65,"POL","POL","mum","scalar",0.25
66,"POL","POL","mum","scalar",0.1
67,"POL","POL","C","scalar",0.5
68,"POL","POL","C","scalar",0.25
69,"POL","POL","C","scalar",0.1
70,"POR","POR","mum","scalar",0.5
71,"POR","POR","mum","scalar",0.25
72,"POR","POR","mum","scalar",0.1
