"Run.ID","Run.Group","Code","Type","Unit","Value"
1,"BLF_HER","BLF","enviro.displace","value",0
1,"BLF_HER","BLF","enviro.kill","value",0
1,"BLF_HER","BLF","max.temp","value",5
1,"BLF_HER","BLF","min.temp","value",5
1,"BLF_HER","BLF","speed","value",0
1,"BLF_HER","HER","enviro.displace","value",0
1,"BLF_HER","HER","enviro.kill","value",0
1,"BLF_HER","HER","max.temp","value",5
1,"BLF_HER","HER","min.temp","value",5
1,"BLF_HER","HER","speed","value",0
2,"BLF_HER","BLF","enviro.displace","value",0
2,"BLF_HER","BLF","enviro.kill","value",1
2,"BLF_HER","BLF","max.temp","value",5
2,"BLF_HER","BLF","min.temp","value",5
2,"BLF_HER","BLF","speed","value",0
2,"BLF_HER","HER","enviro.displace","value",0
2,"BLF_HER","HER","enviro.kill","value",1
2,"BLF_HER","HER","max.temp","value",5
2,"BLF_HER","HER","min.temp","value",5
2,"BLF_HER","HER","speed","value",0
3,"BLF_HER","BLF","enviro.displace","value",1
3,"BLF_HER","BLF","enviro.kill","value",0
3,"BLF_HER","BLF","max.temp","value",5
3,"BLF_HER","BLF","min.temp","value",5
3,"BLF_HER","BLF","speed","value",0
3,"BLF_HER","HER","enviro.displace","value",1
3,"BLF_HER","HER","enviro.kill","value",0
3,"BLF_HER","HER","max.temp","value",5
3,"BLF_HER","HER","min.temp","value",5
3,"BLF_HER","HER","speed","value",0
4,"BLF_HER","BLF","enviro.displace","value",1
4,"BLF_HER","BLF","enviro.kill","value",1
4,"BLF_HER","BLF","max.temp","value",5
4,"BLF_HER","BLF","min.temp","value",5
4,"BLF_HER","BLF","speed","value",0
4,"BLF_HER","HER","enviro.displace","value",1
4,"BLF_HER","HER","enviro.kill","value",1
4,"BLF_HER","HER","max.temp","value",5
4,"BLF_HER","HER","min.temp","value",5
4,"BLF_HER","HER","speed","value",0
5,"BLF_HER","BLF","enviro.displace","value",0
5,"BLF_HER","BLF","enviro.kill","value",0
