"Run.ID","Run.Group","Code","Type","Unit","Value","bio.file","run.sh.file"
1,"COD","COD","mQa","scalar",2,"at_biology_1.prm","RunAtlantis_1.sh"
2,"COD","COD","mQa","scalar",5,"at_biology_2.prm","RunAtlantis_2.sh"
3,"COD","COD","mQa","scalar",10,"at_biology_3.prm","RunAtlantis_3.sh"
4,"COD","COD","mQa","scalar",20,"at_biology_4.prm","RunAtlantis_4.sh"
5,"COD","COD","mQa","scalar",50,"at_biology_5.prm","RunAtlantis_5.sh"
6,"COD","COD","mQa","scalar",100,"at_biology_6.prm","RunAtlantis_6.sh"
7,"COD","COD","mum","scalar",0.75,"at_biology_7.prm","RunAtlantis_7.sh"
8,"COD","COD","mum","scalar",0.5,"at_biology_8.prm","RunAtlantis_8.sh"
9,"COD","COD","mum","scalar",0.25,"at_biology_9.prm","RunAtlantis_9.sh"
10,"COD","COD","mum","scalar",0.1,"at_biology_10.prm","RunAtlantis_10.sh"
11,"COD","COD","mum","scalar",0.05,"at_biology_11.prm","RunAtlantis_11.sh"
12,"HER","HER","mum","scalar",1.1,"at_biology_12.prm","RunAtlantis_12.sh"
13,"HER","HER","mum","scalar",1.25,"at_biology_13.prm","RunAtlantis_13.sh"
14,"HER","HER","mum","scalar",1.5,"at_biology_14.prm","RunAtlantis_14.sh"
15,"HER","HER","mum","scalar",2,"at_biology_15.prm","RunAtlantis_15.sh"
16,"HER","HER","mum","scalar",5,"at_biology_16.prm","RunAtlantis_16.sh"
17,"HER","HER","mum","scalar",10,"at_biology_17.prm","RunAtlantis_17.sh"
18,"HER","HER","mum","scalar",20,"at_biology_18.prm","RunAtlantis_18.sh"
19,"HER","HER","BHalpha","scalar",1.5,"at_biology_19.prm","RunAtlantis_19.sh"
20,"HER","HER","BHalpha","scalar",2,"at_biology_20.prm","RunAtlantis_20.sh"
21,"HER","HER","BHalpha","scalar",5,"at_biology_21.prm","RunAtlantis_21.sh"
22,"HER","HER","BHalpha","scalar",10,"at_biology_22.prm","RunAtlantis_22.sh"
23,"HER","HER","BHalpha","scalar",20,"at_biology_23.prm","RunAtlantis_23.sh"
24,"HER","HER","BHalpha","scalar",50,"at_biology_24.prm","RunAtlantis_24.sh"
25,"GOO","GOO","mum","scalar",0.75,"at_biology_25.prm","RunAtlantis_25.sh"
26,"GOO","GOO","mum","scalar",0.5,"at_biology_26.prm","RunAtlantis_26.sh"
27,"GOO","GOO","mum","scalar",0.25,"at_biology_27.prm","RunAtlantis_27.sh"
28,"GOO","GOO","mum","scalar",0.1,"at_biology_28.prm","RunAtlantis_28.sh"
