"Run.ID","Run.Group","Code","Type","Unit","Value","bio.file","run.sh.file"
1,"ZL","ZL","mQ","scalar",2,"at_biology_1.prm","RunAtlantis_1.sh"
2,"ZL","ZL","mQ","scalar",2.5,"at_biology_2.prm","RunAtlantis_2.sh"
3,"ZL","ZL","mQ","scalar",3,"at_biology_3.prm","RunAtlantis_3.sh"
4,"ZL","ZL","mQ","scalar",3.5,"at_biology_4.prm","RunAtlantis_4.sh"
5,"ZL","ZL","mQ","scalar",5,"at_biology_5.prm","RunAtlantis_5.sh"
6,"ZL","ZL","mQ","scalar",7,"at_biology_6.prm","RunAtlantis_6.sh"
7,"ZL","ZL","mQ","scalar",10,"at_biology_7.prm","RunAtlantis_7.sh"
8,"COD","COD","mQa","scalar",15,"at_biology_8.prm","RunAtlantis_8.sh"
9,"COD","COD","mQa","scalar",20,"at_biology_9.prm","RunAtlantis_9.sh"
10,"COD","COD","mQa","scalar",50,"at_biology_10.prm","RunAtlantis_10.sh"
11,"COD","COD","mQa","scalar",100,"at_biology_11.prm","RunAtlantis_11.sh"
12,"COD","COD","mQa","scalar",1000,"at_biology_12.prm","RunAtlantis_12.sh"
13,"MAK","MAK","mum","scalar",0.1,"at_biology_13.prm","RunAtlantis_13.sh"
14,"MAK","MAK","mum","scalar",0.25,"at_biology_14.prm","RunAtlantis_14.sh"
15,"MAK","MAK","mum","scalar",0.5,"at_biology_15.prm","RunAtlantis_15.sh"
16,"MAK","MAK","mum","scalar",2,"at_biology_16.prm","RunAtlantis_16.sh"
17,"MAK","MAK","mum","scalar",5,"at_biology_17.prm","RunAtlantis_17.sh"
18,"MAK","MAK","mum","scalar",10,"at_biology_18.prm","RunAtlantis_18.sh"
19,"MAK","MAK","C","scalar",0.1,"at_biology_19.prm","RunAtlantis_19.sh"
20,"MAK","MAK","C","scalar",0.25,"at_biology_20.prm","RunAtlantis_20.sh"
21,"MAK","MAK","C","scalar",0.5,"at_biology_21.prm","RunAtlantis_21.sh"
22,"MAK","MAK","C","scalar",2,"at_biology_22.prm","RunAtlantis_22.sh"
23,"MAK","MAK","C","scalar",5,"at_biology_23.prm","RunAtlantis_23.sh"
24,"MAK","MAK","C","scalar",10,"at_biology_24.prm","RunAtlantis_24.sh"
25,"MAK","MAK","BHalpha","scalar",0.1,"at_biology_25.prm","RunAtlantis_25.sh"
26,"MAK","MAK","BHalpha","scalar",0.25,"at_biology_26.prm","RunAtlantis_26.sh"
27,"MAK","MAK","BHalpha","scalar",0.5,"at_biology_27.prm","RunAtlantis_27.sh"
28,"MAK","MAK","BHalpha","scalar",2,"at_biology_28.prm","RunAtlantis_28.sh"
29,"MAK","MAK","BHalpha","scalar",5,"at_biology_29.prm","RunAtlantis_29.sh"
30,"MAK","MAK","BHalpha","scalar",10,"at_biology_30.prm","RunAtlantis_30.sh"
31,"MAK","MAK","BHbeta","scalar",0.1,"at_biology_31.prm","RunAtlantis_31.sh"
32,"MAK","MAK","BHbeta","scalar",0.25,"at_biology_32.prm","RunAtlantis_32.sh"
33,"MAK","MAK","BHbeta","scalar",0.5,"at_biology_33.prm","RunAtlantis_33.sh"
34,"MAK","MAK","BHbeta","scalar",2,"at_biology_34.prm","RunAtlantis_34.sh"
35,"MAK","MAK","BHbeta","scalar",5,"at_biology_35.prm","RunAtlantis_35.sh"
36,"MAK","MAK","BHbeta","scalar",10,"at_biology_36.prm","RunAtlantis_36.sh"
37,"TAU","TAU","mum","scalar",0.71,"at_biology_37.prm","RunAtlantis_37.sh"
38,"TAU","TAU","mum","scalar",0.72,"at_biology_38.prm","RunAtlantis_38.sh"
39,"TAU","TAU","mum","scalar",0.73,"at_biology_39.prm","RunAtlantis_39.sh"
40,"TAU","TAU","mum","scalar",0.74,"at_biology_40.prm","RunAtlantis_40.sh"
41,"TAU","TAU","mum","scalar",0.75,"at_biology_41.prm","RunAtlantis_41.sh"
