"Run.ID","Group","Code","Type","Unit","Value"
1,"Set1","SB","mQa","scalar",1
2,"Set1","SB","mQa","scalar",12
3,"Set1","SB","mQa","scalar",23
4,"Set1","SB","mQa","scalar",34
5,"Set1","SB","mQa","scalar",45
6,"Set1","SB","mQa","scalar",56
7,"Set1","SB","mQa","scalar",67
8,"Set1","SB","mQa","scalar",78
9,"Set1","SB","mQa","scalar",89
10,"Set1","SB","mQa","scalar",100
11,"Set1","SB","KDENR","scalar",0.01
12,"Set1","SB","KDENR","scalar",0.12
13,"Set1","SB","KDENR","scalar",0.23
14,"Set1","SB","KDENR","scalar",0.34
15,"Set1","SB","KDENR","scalar",0.45
16,"Set1","SB","KDENR","scalar",0.56
17,"Set1","SB","KDENR","scalar",0.67
18,"Set1","SB","KDENR","scalar",0.78
19,"Set1","SB","KDENR","scalar",0.89
20,"Set1","SB","KDENR","scalar",1
