Run.ID,Run.Group,Code,Type,Unit,Value
1,GOO_2_10,GOO,ddepend,value,2
1,GOO_2_10,GOO,max.temp,value,10
1,GOO_2_10,GOO,k.roc.food,value,0.001
1,GOO_3_10,GOO,roc.wgt,value,0.001
2,GOO_3_10,GOO,ddepend,value,3
2,GOO_3_10,GOO,max.temp,value,10
2,GOO_2_12,GOO,k.roc.food,value,0.001
2,GOO_2_12,GOO,roc.wgt,value,0.001
3,GOO_2_12,GOO,ddepend,value,2
3,GOO_3_12,GOO,max.temp,value,12
3,GOO_3_12,GOO,k.roc.food,value,0.001
3,GOO_3_12,GOO,roc.wgt,value,0.001
4,GOO_2_14,GOO,ddepend,value,3
4,GOO_2_14,GOO,max.temp,value,12
4,GOO_2_14,GOO,k.roc.food,value,0.001
4,GOO_3_14,GOO,roc.wgt,value,0.001
5,GOO_3_14,GOO,ddepend,value,2
5,GOO_3_14,GOO,max.temp,value,14
5,GOO_2_16,GOO,k.roc.food,value,0.001
5,GOO_2_16,GOO,roc.wgt,value,0.001
6,GOO_2_16,GOO,ddepend,value,3
6,GOO_3_16,GOO,max.temp,value,14
6,GOO_3_16,GOO,k.roc.food,value,0.001
6,GOO_3_16,GOO,roc.wgt,value,0.001
7,GOO_2_18,GOO,ddepend,value,2
7,GOO_2_18,GOO,max.temp,value,16
7,GOO_2_18,GOO,k.roc.food,value,0.001
7,GOO_3_18,GOO,roc.wgt,value,0.001
8,GOO_3_18,GOO,ddepend,value,3
8,GOO_3_18,GOO,max.temp,value,16
8,GOO_2_20,GOO,k.roc.food,value,0.001
8,GOO_2_20,GOO,roc.wgt,value,0.001
9,GOO_2_20,GOO,ddepend,value,2
9,GOO_3_20,GOO,max.temp,value,18
9,GOO_3_20,GOO,k.roc.food,value,0.001
9,GOO_3_20,GOO,roc.wgt,value,0.001
10,GOO_2_10,GOO,ddepend,value,3
10,GOO_2_10,GOO,max.temp,value,18
10,GOO_2_10,GOO,k.roc.food,value,0.001
10,GOO_3_10,GOO,roc.wgt,value,0.001
11,GOO_3_10,GOO,ddepend,value,2
11,GOO_3_10,GOO,max.temp,value,20
11,GOO_2_12,GOO,k.roc.food,value,0.001
11,GOO_2_12,GOO,roc.wgt,value,0.001
12,GOO_2_12,GOO,ddepend,value,3
12,GOO_3_12,GOO,max.temp,value,20
12,GOO_3_12,GOO,k.roc.food,value,0.001
12,GOO_3_12,GOO,roc.wgt,value,0.001
13,GOO_2_14,GOO,ddepend,value,2
13,GOO_2_14,GOO,max.temp,value,10
13,GOO_2_14,GOO,k.roc.food,value,0.01
13,GOO_3_14,GOO,roc.wgt,value,0.001
14,GOO_3_14,GOO,ddepend,value,3
14,GOO_3_14,GOO,max.temp,value,10
14,GOO_2_16,GOO,k.roc.food,value,0.01
14,GOO_2_16,GOO,roc.wgt,value,0.001
15,GOO_2_16,GOO,ddepend,value,2
15,GOO_3_16,GOO,max.temp,value,12
15,GOO_3_16,GOO,k.roc.food,value,0.01
15,GOO_3_16,GOO,roc.wgt,value,0.001
16,GOO_2_18,GOO,ddepend,value,3
16,GOO_2_18,GOO,max.temp,value,12
16,GOO_2_18,GOO,k.roc.food,value,0.01
16,GOO_3_18,GOO,roc.wgt,value,0.001
17,GOO_3_18,GOO,ddepend,value,2
17,GOO_3_18,GOO,max.temp,value,14
17,GOO_2_20,GOO,k.roc.food,value,0.01
17,GOO_2_20,GOO,roc.wgt,value,0.001
18,GOO_2_20,GOO,ddepend,value,3
18,GOO_3_20,GOO,max.temp,value,14
18,GOO_3_20,GOO,k.roc.food,value,0.01
18,GOO_3_20,GOO,roc.wgt,value,0.001
19,GOO_2_10,GOO,ddepend,value,2
19,GOO_2_10,GOO,max.temp,value,16
19,GOO_2_10,GOO,k.roc.food,value,0.01
19,GOO_3_10,GOO,roc.wgt,value,0.001
20,GOO_3_10,GOO,ddepend,value,3
20,GOO_3_10,GOO,max.temp,value,16
20,GOO_2_12,GOO,k.roc.food,value,0.01
20,GOO_2_12,GOO,roc.wgt,value,0.001
21,GOO_2_12,GOO,ddepend,value,2
21,GOO_3_12,GOO,max.temp,value,18
21,GOO_3_12,GOO,k.roc.food,value,0.01
21,GOO_3_12,GOO,roc.wgt,value,0.001
22,GOO_2_14,GOO,ddepend,value,3
22,GOO_2_14,GOO,max.temp,value,18
22,GOO_2_14,GOO,k.roc.food,value,0.01
22,GOO_3_14,GOO,roc.wgt,value,0.001
23,GOO_3_14,GOO,ddepend,value,2
23,GOO_3_14,GOO,max.temp,value,20
23,GOO_2_16,GOO,k.roc.food,value,0.01
23,GOO_2_16,GOO,roc.wgt,value,0.001
24,GOO_2_16,GOO,ddepend,value,3
24,GOO_3_16,GOO,max.temp,value,20
24,GOO_3_16,GOO,k.roc.food,value,0.01
24,GOO_3_16,GOO,roc.wgt,value,0.001
25,GOO_2_18,GOO,ddepend,value,2
25,GOO_2_18,GOO,max.temp,value,10
25,GOO_2_18,GOO,k.roc.food,value,0.1
25,GOO_3_18,GOO,roc.wgt,value,0.001
26,GOO_3_18,GOO,ddepend,value,3
26,GOO_3_18,GOO,max.temp,value,10
26,GOO_2_20,GOO,k.roc.food,value,0.1
26,GOO_2_20,GOO,roc.wgt,value,0.001
27,GOO_2_20,GOO,ddepend,value,2
27,GOO_3_20,GOO,max.temp,value,12
27,GOO_3_20,GOO,k.roc.food,value,0.1
27,GOO_3_20,GOO,roc.wgt,value,0.001
28,GOO_2_10,GOO,ddepend,value,3
28,GOO_2_10,GOO,max.temp,value,12
28,GOO_2_10,GOO,k.roc.food,value,0.1
28,GOO_3_10,GOO,roc.wgt,value,0.001
29,GOO_3_10,GOO,ddepend,value,2
29,GOO_3_10,GOO,max.temp,value,14
29,GOO_2_12,GOO,k.roc.food,value,0.1
29,GOO_2_12,GOO,roc.wgt,value,0.001
30,GOO_2_12,GOO,ddepend,value,3
30,GOO_3_12,GOO,max.temp,value,14
30,GOO_3_12,GOO,k.roc.food,value,0.1
30,GOO_3_12,GOO,roc.wgt,value,0.001
31,GOO_2_14,GOO,ddepend,value,2
31,GOO_2_14,GOO,max.temp,value,16
31,GOO_2_14,GOO,k.roc.food,value,0.1
31,GOO_3_14,GOO,roc.wgt,value,0.001
32,GOO_3_14,GOO,ddepend,value,3
32,GOO_3_14,GOO,max.temp,value,16
32,GOO_2_16,GOO,k.roc.food,value,0.1
32,GOO_2_16,GOO,roc.wgt,value,0.001
33,GOO_2_16,GOO,ddepend,value,2
33,GOO_3_16,GOO,max.temp,value,18
33,GOO_3_16,GOO,k.roc.food,value,0.1
33,GOO_3_16,GOO,roc.wgt,value,0.001
34,GOO_2_18,GOO,ddepend,value,3
34,GOO_2_18,GOO,max.temp,value,18
34,GOO_2_18,GOO,k.roc.food,value,0.1
34,GOO_3_18,GOO,roc.wgt,value,0.001
35,GOO_3_18,GOO,ddepend,value,2
35,GOO_3_18,GOO,max.temp,value,20
35,GOO_2_20,GOO,k.roc.food,value,0.1
35,GOO_2_20,GOO,roc.wgt,value,0.001
36,GOO_2_20,GOO,ddepend,value,3
36,GOO_3_20,GOO,max.temp,value,20
36,GOO_3_20,GOO,k.roc.food,value,0.1
36,GOO_3_20,GOO,roc.wgt,value,0.001
37,GOO_2_10,GOO,ddepend,value,2
37,GOO_2_10,GOO,max.temp,value,10
37,GOO_2_10,GOO,k.roc.food,value,1
37,GOO_3_10,GOO,roc.wgt,value,0.001
38,GOO_3_10,GOO,ddepend,value,3
38,GOO_3_10,GOO,max.temp,value,10
38,GOO_2_12,GOO,k.roc.food,value,1
38,GOO_2_12,GOO,roc.wgt,value,0.001
39,GOO_2_12,GOO,ddepend,value,2
39,GOO_3_12,GOO,max.temp,value,12
39,GOO_3_12,GOO,k.roc.food,value,1
39,GOO_3_12,GOO,roc.wgt,value,0.001
40,GOO_2_14,GOO,ddepend,value,3
40,GOO_2_14,GOO,max.temp,value,12
40,GOO_2_14,GOO,k.roc.food,value,1
40,GOO_3_14,GOO,roc.wgt,value,0.001
41,GOO_3_14,GOO,ddepend,value,2
41,GOO_3_14,GOO,max.temp,value,14
41,GOO_2_16,GOO,k.roc.food,value,1
41,GOO_2_16,GOO,roc.wgt,value,0.001
42,GOO_2_16,GOO,ddepend,value,3
42,GOO_3_16,GOO,max.temp,value,14
42,GOO_3_16,GOO,k.roc.food,value,1
42,GOO_3_16,GOO,roc.wgt,value,0.001
43,GOO_2_18,GOO,ddepend,value,2
