"Group","Start_Time","End_Time","Change","Type"
"MAK",7300,19724,2,"Scalar"
"HER",7300,19724,2,"Scalar"
"MEN",7300,19724,2,"Scalar"
"BUT",7300,19724,2,"Scalar"
