"","1","2","3","4","5","6","7","8","9","10"
"ANC",0.206896551724138,1.22772277227723,1.26271186440678,1.47692307692308,1.54929577464789,1.53246753246753,1.47590361445783,1.42045454545455,1.36216216216216,1.3160621761658
"BFT",111.64,4190.77083333333,14767.0412371134,28937.5102040816,43224.45,57077.52,69056.62,78937.1,86835.01,93013.88
"BIL",127.64,8652.31313131313,31828.28,45282.45,73419.4,99679.37,123820.85,143401.73,159555.05,172585.14
"BLF",4.87378640776699,46.6292134831461,79.5842696629213,141.404494382022,206.318681318681,272.95652173913,335.849462365591,388.6,437.947916666667,480.103092783505
"BLS",2.5620253164557,1581.9435483871,5507.84,8259.06,9912.89,10810.4,11275.55,11511.41,11629.74,11688.81
"BPF",5.4113475177305,14.3103448275862,13.9950980392157,14.6,16.3951219512195,16.4471153846154,16.25,15.9907407407407,15.7181818181818,15.4464285714286
"BSB",1.23770491803279,40.4886363636364,110.760869565217,177.175257731959,223.883495145631,254.398148148148,270.769911504425,279.726495726496,282.239669421488,280.72
"BUT",4.63636363636364,18.5833333333333,17.8761904761905,19.6146788990826,20.8796296296296,20.9636363636364,20.7857142857143,20.6814159292035,20.3565217391304,20.5438596491228
"BWH",748.301662049861,21196.3287916233,5052.84839229273,6651833.94,6651850.35,6651850.53,6651850.53,6651850.53,6651850.53,6651850.53
"COD",2.03783783783784,88.6216216216216,302.290598290598,582.220472440945,868.992753623188,1129.12080536913,1353.91194968553,1531.36686390533,1672.46629213483,1782.76344086022
"DOG",0.584988962472406,75.4251012145749,276.291079812207,793.793650793651,1310.74257425743,1534.0099009901,1680.10891089109,1772.43564356436,1829.64356435644,1864.67326732673
"DRM",7.52991452991453,69.9444444444444,119.125,139.897435897436,146.471074380165,146.384,145.952755905512,144.449612403101,143.646153846154,143.769230769231
"DSH",144.82,12199.5071428571,25807.5161290323,29095.1538461538,28363.7428571429,26859.44,25610.6518987342,24556.2484848485,23703.9532163743,22903.1468926554
"FDE",12.3693693693694,67.3908045977011,112.4,144.333333333333,160.340206185567,171.775510204082,179.367346938776,185.587628865979,188.051546391753,187.489795918367
