"","1","2","3","4","5","6","7","8","9","10"
"ANC",5.11,5.46,5,4.99,5.01,5.01,5.01,5.01,4.99,5
"BFT",5,5,5,5,5,5,5,5,5,5
"BIL",2.7,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67
"BLF",5,6.91,5.02,5,5,5,5,5,5,5
"BLS",5,5,5,5,5,5,5,5,5,5
"BPF",5,5,5,5,5,5,5,5,5,5
"BSB",5,5,5,5,5,5,5,5,5,5
"BUT",5,6.57,5,5,5,5,5,5,5,5
"BWH",5,5,5,5,5,5,5,5,5,5
"COD",5,5,5,5,5,5,5,5,5,5
"DOG",5,5,5,5,5,5,5,5,5,5
"DRM",5,5,5,5,5,5,5,5,5,5
"DSH",5,5,5,5,5,5,5,5,5,5
"FDE",5,5.18,5,5,5,5,5,5,5,5
"FDF",5,5,5,5,5,5,5,5,5,5
"FLA",5,5.02,5,5,5,5,5,5,5,5
"FOU",5.07,5,5,5,5,5,5,5,5,5
"GOO",5,5,5,5,5,5,5,5,5,5
"HAD",5,5,5,5,5,5,5,5,5,5
"HAL",5,5,5,5,5,5,5,5,5,5
"HER",10,10,10,10,10,10,10,10,10,10
"INV",5,5,5,5,5,5,5,5,5,5
"LSK",4.99,5,5,5,5,5,5,5,5,5
"MAK",5.03,7.12,9.12,9.33,8.79,7.22,6.49,5.67,5,5
"MEN",10,10,10,10,10,10,10,10,10,10
"MPF",2.86,4.38,5.22,5,5,5,5,4.97,5,5
"OHK",5.01,5,5,5,5,5,5,5,5,5
"OPT",4.97,5,5,5,5,5,5,5,5,5
"PIN",1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67
"PLA",4.96,5,5,5,5,5,5,5,5,5
"POL",5,5,5,5,5,5,5,5,5,5
"POR",5,5,5,5,5,5,5,5,5,5
"PSH",5,5,5,5,5,5,5,5,5,5
"RED",5.56,5,5,5,5,5,5,5,5,5
"REP",5,5,5,5,5,5,5,5,5,5
"RHK",5.01,5,5,5,5,5,5,5,5,5
"RWH",5,5,5,5,5,5,5,5,5,4.6
"SAL",0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
"SB",1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67
"SCU",4.96,5,5,5,5,5,5,5,5,5
"SDF",5,5,5,5,5,5,5,5,5,5
"SHK",4.98,1.67,3.47,2.38,2.14,2.04,1.97,2.05,2.16,2.29
"SK",5,5,5,5,5,5,5,5,5,5
"SMO",5,5,5,5,5,5,5,5,5,5
"SSH",5,5,5.09,6.25,6.58,5.96,5,5,5,5
"STB",5,5,5,5,5,5,5,5,5,5
"SUF",5,5,5,5,5,5,5,5,5,5
"SWH",1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67
"TAU",5,5.14,5,5,5,5,5,5,5,5
"TUN",1.38,1.67,1.67,1.67,1.67,1.67,1.6,1.38,2.01,3.6
"TWH",1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,2.86,4.88
"TYL",4.99,5,5,5,5,5,5,5,5,5
"WHK",4.99,3.73,5,5,5,5,5,5,5,5
"WIF",5,5,5,5,5,5,5,5,5,5
"WOL",5,5,5,5,5,5,5,5,5,5
"WPF",4.97,5,5,5,5,5,5,5,5,5
"WSK",4.99,5,5,5,5,5,5,5,5,5
"WTF",5,5,5,5,5,5,5,5,5,5
"YTF",5.01,5,5,5,5,5,5,5,5,5
