"","1","2","3","4","5","6","7","8","9","10"
"ANC",0.0405172413793103,0.224752475247525,0.252542372881356,0.296153846153846,0.309154929577465,0.305844155844156,0.294578313253012,0.283522727272727,0.272972972972973,0.263212435233161
"BFT",22.329,838.154166666667,2953.40721649485,5787.50204081633,8644.891,11415.503,13811.323,15787.421,17367.002,18602.776
"BIL",47.336,5191.38383838384,19096.969,27169.468,44051.641,59807.62,74292.512,86041.038,95733.027,103551.085
"BLF",0.97378640776699,6.74943820224719,15.8685393258427,28.2797752808989,41.2626373626374,54.5913043478261,67.1698924731183,77.7189473684211,87.5885416666667,96.020618556701
"BLS",0.512658227848101,316.389516129032,1101.569,1651.812,1982.578,2162.08,2255.109,2302.281,2325.949,2337.762
"BPF",1.0822695035461,2.86206896551724,2.79950980392157,2.91954545454545,3.27853658536585,3.28942307692308,3.25,3.19861111111111,3.14363636363636,3.08883928571429
"BSB",0.247540983606557,8.09772727272727,22.1532608695652,35.4350515463918,44.7776699029126,50.8796296296296,54.153982300885,55.9452991452992,56.4487603305785,56.1432
"BUT",0.927272727272727,2.828125,3.57523809523809,3.92201834862385,4.17592592592593,4.19272727272727,4.15625,4.13628318584071,4.07130434782609,4.10964912280702
"BWH",149.660334256694,4239.26575832466,1010.56967769876,1330366.788,1330370.07,1330370.106,1330370.107,1330370.107,1330370.107,1330370.107
"COD",0.407567567567568,17.7234234234234,60.4581196581197,116.444094488189,173.797826086957,225.824832214765,270.783018867925,306.273372781065,334.493258426966,356.552688172043
"DOG",0.116997792494481,15.085020242915,55.2582159624413,158.75873015873,262.147524752475,306.80198019802,336.020792079208,354.487128712871,365.927722772277,372.933663366337
"DRM",1.50512820512821,13.987962962963,23.8241071428571,27.9786324786325,29.2950413223141,29.2768,29.1905511811024,28.8891472868217,28.7284615384615,28.7538461538462
"DSH",28.9645,2439.90142857143,5161.50403225806,5819.03,5672.74857142857,5371.88733333333,5122.13037974684,4911.2496969697,4740.79122807018,4580.62881355932
"FDE",2.47387387387387,13.0068965517241,22.4788888888889,28.8666666666667,32.0680412371134,34.3561224489796,35.8734693877551,37.1164948453608,37.6092783505155,37.4989795918367
"FDF",0.234146341463415,2.46666666666667,6.65087719298246,11.38,15.8054263565891,19.6782608695652,22.9746575342466,25.3677419354839,27.2331288343558,28.6723529411765
"FLA",0.023469387755102,0.118023255813953,0.264444444444444,0.475,0.723837209302326,0.954857142857143,1.14153005464481,1.3,1.422,1.52211538461538
