Child,Index,Parent,Change,Name,Long Name,,IsVertebrate,Parent_Name,Parent_index
-1,-1,-1,,-1,-1,,-1,jCEP,66
-1,-1,-1,,-1,-1,,-1,jPWN,67
ANC,18,FBP,1,Anchovies,Anchovies,1,1,Benthopelagics,12
BB,85,BB,0,Sed_Bact,Sediment Bacteria,2,0,Sediment Bacteria,58
BC,77,BC,0,Benthic_Carniv,Benthic Carnivore,3,0,Benthic Carnivore,50
BD,73,BD,0,Deposit_Feeder,Deposit Feeder,4,0,Deposit Feeder,46
BFF,65,BFF,1,Filter_Other,Other benthic filter feeder,5,0,Other benthic filter feeder,38
BFT,13,FVT,1,BluefinTuna,Atlantic bluefin tuna,6,1,Large piscivorous fish (tuna),8
BG,66,BG,0,Benthic_grazer,Benthic grazer,7,0,Benthic grazer,40
BIL,15,FVT,1,Billfish,Billfish,8,1,Large piscivorous fish (tuna),8
BLF,4,FVS,0,Bluefish,Bluefish,9,1,Shallow piscivorous fish,6
BLS,46,SHP,1,Blue_Shark,Blue shark,10,1,Pelagic sharks,25
BMS,69,BMS,0,Macrobenth_Shallow,Shallow macrozoobenthos,11,0,Shallow macrozoobenthos,43
BO,86,BO,0,Meiobenth,Meiobenthos,12,0,Meiobenthos,59
BPF,19,FBP,1,Benthopel_Fish,Other benthopelagic fish,13,1,Benthopelagics,12
BSB,28,FDC,1,Black_Sea_Bass,Black sea bass,14,1,Miscellaneous demersal fish,19
BUT,17,FBP,1,Butterfish,Butterfish,15,1,Benthopelagics,12
BWH,56,WHB,1,Baleen_Whale,Baleen whales,16,1,Baleen whales,32
CLA,64,BFF,1,Surf_Clam,Atlantic surf clam,17,0,Other benthic filter feeder,38
COD,23,FDS,0,Cod,Atlantic cod,18,1,Other shallow demersal fish,15
DC,89,DC,0,Carrion,Carrion3,19,0,Carrion,62
DCsed,92,DCsed,,Dcsed,,20,0,Dcsed,65
DF,80,DF,0,DinoFlag,Dinoflagellates,21,0,Dinoflagellates,53
DL,87,DL,0,Lab_Det,Labile detritus,22,0,Labile detritus,60
DLsed,90,DLsed,,Dlsed,,23,0,Dlsed,63
DOG,42,SHB,0,Spiny_Dogfish,Spiny dogfish,24,1,Demersal sharks ,22
DR,88,DR,0,Ref_Det,Refractory detritus,25,0,Refractory detritus,61
DRM,34,FDC,1,Drums_Croakers,Drums and croakers,26,1,Miscellaneous demersal fish,19
DRsed,91,DRsed,,Drsed,,27,0,Drsed,64
DSH,45,SHD,0,Demersal_Shark,Other demersal sharks,28,1,Other demersal sharks,23
FDE,22,FDE,1,Demersal_E_Fish,Shallow demersal fish,29,1,Shallow demersal fish,14
FDF,39,FDC,0,Demersal_DC_Fish,Miscellaneous demersal fish,30,1,Miscellaneous demersal fish,19
FLA,12,FVB,1,Other flatfish,Other flatfish,31,1,Other piscivorous fish,7
FOU,11,FVB,1,Fourspotflounder,Fourspot flounder,32,1,Other piscivorous fish,7
GOO,20,FDD,0,Monkfish,Monkfish,33,1,Deep demersal fish,13
HAD,40,FDO,0,Haddock,Haddock,34,1,Protected demersal fish,20
HAL,9,FVB,1,Halibut,Atlantic halibut,35,1,Other piscivorous fish,7
HER,2,FPS,0,Herring,Atlantic herring,36,1,Small planktivorous fish,3
INV,59,FDC,1,Invasive_Species,Invasive vertebrate species,37,1,Miscellaneous demersal fish,19
ISQ,61,CEP,1,Illex_Squid,Illex squid,38,0,Cephalopod,36
LOB,67,BML,0,Lobster,Lobster,39,0,Megazoobenthos,42
LSK,50,SSK,1,Little_Skate,Little skate,40,1,Skates and rays,27
LSQ,60,CEP,1,Loligo_Squid,Loligo squid,41,0,Cephalopod,36
MA,74,MA,0,Macroalgae,Macroalgae,42,0,Macroalgae,47
MAK,1,FPL,0,Mackerel,Atlantic mackerel,43,1,Large planktivorous fish,1
MB,75,MB,0,MicroPB,Microphtybenthos,44,0,Microphtybenthos,48
MEN,21,FDE,1,Menhaden,Atlantic menhaden,45,1,Shallow demersal fish,14
MPF,16,FMM,0,Mesopel_M_Fish,Migratory mesopelagic fish ,46,1,Migratory mesopelagics fish ,10
NSH,70,PWN,1,Northern_Shrimp,Northern shrimp other pandalids,47,0,Prawn,44
OHK,25,FDC,1,Offshore_Hake,Offshore hake,48,1,Miscellaneous demersal fish,19
OPT,32,FDC,1,Ocean_Pout,Ocean pout,49,1,Miscellaneous demersal fish,19
OSH,71,PWN,1,Other_Shrimp,Other shrimps,50,0,Prawn,44
PB,84,PB,0,Pelag_Bact,Pelagic Bacteria,51,0,Pelagic Bacteria,57
