Done,PPREY Max,code,Priority,pprey name,MAK,HER,WHK,BLF,WPF,SUF,WIF,WTF,FOU,HAL,PLA,FLA,BFT,TUN,BIL,MPF,BUT,BPF,ANC,GOO,MEN,FDE,COD,SHK,OHK,POL,RHK,BSB,SCU,TYL,RED,OPT,SAL,DRM,STB,TAU,WOL,SDF,FDF,HAD,YTF,DOG,SMO,SSH,DSH,BLS,POR,PSH,WSK,LSK,SK,SB,PIN,REP,RWH,BWH,SWH,TWH,INV,LSQ,ISQ,SCA,QHG,CLA,BFF,BG,LOB,RCB,BMS,NSH,OSH,ZL,BD,MA,MB,SG,BC,ZG,PL,DF,PS,ZM,ZS,PB,BB,BO,DL,DR,DC,DLsed,DRsed,DCsed
x,0.275,WHK,H,1WHK2,-1,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,2,2,2,0,2,1,2,3,2,2,2,0,0,0,2,0,0,0,0,0,0,-1,-1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,-1,-1,-1,-1,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0.09,WHK,H,2WHK2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,2,2,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,-1,-1,-1,-1,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0.2,BLF,H,1BLF1,-1,-1,-1,2,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,3,3,3,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,-1,2,-1,0,-1,-1,-1,-1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0.2,BLF,H,2BLF1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,-1,2,-1,0,-1,-1,-1,-1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0.2,BLF,H,1BLF2,-1,3,2,2,2,2,2,2,2,2,2,2,0,0,0,-1,3,3,3,0,2,2,2,2,2,-1,2,-1,2,-1,-1,3,0,-1,-1,0,0,-1,-1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0.2425,BLF,H,2BLF2,-1,3,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,-1,3,3,3,0,2,2,0,-1,-1,0,-1,-1,2,-1,-1,3,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.266667,WPF,L,1WPF1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1,WPF,L,2WPF1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.266667,WPF,L,1WPF2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.266667,WPF,L,2WPF2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
