Code,Index,IsTurnedOn,Name,LongName,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,NumMigrations,MultiYrMigrations,ExternalReproduction,RecruitType,isFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,isSiliconDep,isAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend,numMoveEntries,isBioEroder,isSupplemented
MAK,0,1,Mackerel,Atlantic mackerel,10,1,2,1,2,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
HER,1,1,Herring,Atlantic herring,7,1,2,1,2,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
WHK,2,1,White_Hake,White hake,12,1,2,1,2,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
BLF,3,1,Bluefish,Bluefish,12,1,2,1,1,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
WPF,4,1,Windowpane,Windowpane flounder,7,1,2,1,1,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
SUF,5,1,Summerflounder,Summer flounder,9,1,2,1,1,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
WIF,6,1,Winterflounder,Winter flounder,7,1,2,1,2,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
WTF,7,1,Witchflounder,Witch flounder,12,1,2,1,2,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
FOU,8,1,Fourspotflounder,Fourspot flounder,10,1,2,1,2,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
HAL,9,1,Halibut,Atlantic halibut,10,1,2,1,5,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
PLA,10,1,Plaice,American plaice,10,1,2,1,3,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
FLA,11,1,Other_Flatfish,Other flatfish,10,1,2,1,2,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
BFT,12,1,BluefinTuna,Atlantic bluefin tuna,10,1,2,1,3,1,1,1,1,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
TUN,13,1,Tunas,Other tunas,10,1,2,1,3,1,1,1,1,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
BIL,14,1,Billfish,Billfish,10,1,2,1,3,1,1,1,1,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
MPF,15,1,Mesopelagic_Mig_Fish,Migratory mesopelagic fish,10,1,2,1,1,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
BUT,16,1,Butterfish,Butterfish,3,1,2,1,1,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
BPF,17,1,Benthopelagic_Fish,Other benthopelagic fish,10,1,2,1,1,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
ANC,18,1,Anchovies,Anchovies,3,1,2,1,1,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
GOO,19,1,Monkfish,Goosefish,11,1,2,1,1,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
MEN,20,1,Menhaden,Atlantic menhaden,12,1,2,1,2,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
FDE,21,1,Shallow_Demersal_Fish,Shallow demersal fish,10,1,2,1,1,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
COD,22,1,Cod,Atlantic cod,12,1,2,1,2,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
SHK,23,1,Silver_Hake,Silver hake,12,1,2,1,1,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
OHK,24,1,Offshore_Hake,Offshore hake,5,1,2,1,1,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
POL,25,1,Pollock,Pollock,12,1,2,1,2,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
RHK,26,1,Red_Hake,Red hake,10,1,2,1,1,1,1,1,0,0,0,0,1,1,1,FISH,1,0,0,1,0,0,0,0,4,0,0
