Code,Name,Long.Name,1,2,3,4,5,6,7,8,9,10
PSH,Pelagic_Shark,Other pelagic sharks,302.4874614,309.0752021,309.2402054,309.2443383,309.2444418,309.2444444,309.2444444,309.2444444,309.2444444,309.2444444
RED,Redfish,Acadian redfish,16.14651666,22.77376714,26.52164588,28.64116664,29.83980956,30.51767262,30.90102142,31.11781492,31.24041716,31.30975184
REP,Turtle,Marine turtles,114.1776872,114.2998691,114.2999999,114.3,114.3,114.3,114.3,114.3,114.3,114.3
RHK,Red_Hake,Red hake,26.15536859,40.94689489,49.31187928,54.04249076,56.71777188,58.23071142,59.08631721,59.57018405,59.84382306,59.99857288
RWH,Right_Whale,Right whales,1584.939384,1584.96,1584.96,1584.96,1584.96,1584.96,1584.96,1584.96,1584.96,1584.96
SAL,Atlantic_Salmon,Atlantic salmon,61.36161749,95.03758718,113.5193512,123.6623584,129.2289587,132.2839737,133.9606016,134.8807544,135.385745,135.6628897
SB,Seabird,Seabirds,21.1125783,23.33782768,23.57236724,23.59708753,23.59969303,23.59996765,23.59999659,23.59999964,23.59999996,23.6
SCU,Scup,Scup,16.93898746,27.11077454,33.21888771,36.88678266,39.08933736,40.41196172,41.2061918,41.68312346,41.9695188,42.14149795
SDF,Atlantic_States_Demersals,Atlantic states demersal fish,43.24405924,64.90236922,82.16808084,95.93207248,106.9045403,115.6516432,122.6247153,128.1835539,132.6149849,136.1476617
SHK,Silver_Hake,Silver hake,10.77332817,19.77196827,27.28826429,33.56640246,38.81034425,43.19045262,46.84902667,49.90492458,52.45742508,54.58945271
SK,Skate,Northeast skate complex,71.7058253,94.1807692,103.4564971,107.2847215,108.8646839,109.5167568,109.7858765,109.8969461,109.942786,109.9617048
SMO,Smooth_Dogfish,Smooth dogfish,85.00987768,114.8636821,131.0038696,139.7299151,144.4475721,146.9981304,148.3770665,149.1225758,149.5256286,149.7435354
SSH,Sandbar_Shark,Sandbar shark,116.9447662,151.3635473,168.6271842,177.2862113,181.6293721,183.8077977,184.9004438,185.4484889,185.7233752,185.8612516
STB,Striped_Bass,Striped bass,60.20975062,74.73954061,83.78444025,89.41495588,92.9199927,95.10190353,96.46015885,97.30568264,97.83202733,98.15968072
SUF,Summerflounder,Summer flounder,40.83148763,62.25423973,73.49395531,79.39101305,82.48497836,84.10826607,84.95994432,85.406788,85.64123014,85.76423315
SWH,Small_Whale,Small toothed whales,271.5321687,271.779774,271.7799998,271.78,271.78,271.78,271.78,271.78,271.78,271.78
TAU,Tautog,Tautog,18.97210625,33.02698824,43.43910091,51.15258369,56.86687228,61.10012138,64.23618945,66.55944582,68.28055647,69.5555866
TUN,Tunas,Other tunas,111.6551854,128.8329283,132.6658008,133.5210303,133.7118578,133.7544372,133.7639379,133.7660578,133.7665308,133.7666364
TWH,Tooth_Whale,Toothed whales,2613.374736,2615.757825,2615.759998,2615.76,2615.76,2615.76,2615.76,2615.76,2615.76,2615.76
TYL,Tilefish,All tilefish,33.66627085,58.64066705,75.54975368,86.99816703,94.74939398,99.99741548,103.5506245,105.9563491,107.5851615,108.6879601
WHK,White_Hake,White hake,12.94211115,24.65261758,35.24872199,44.83647374,53.51183028,61.36161749,68.46439868,74.89126088,80.70652628,85.968396
WIF,Winterflounder,Winter flounder,38.0362156,52.66608921,58.43836012,60.71583103,61.61441563,61.96895551,62.10884054,62.1640327,62.18580897,62.19440088
WOL,Wolffish,Wolffish,19.12211344,35.92995333,50.703607,63.68926396,75.10331835,85.135975,93.954419,101.7056017,108.5186895,114.5072163
WPF,Windowpane,Windowpane flounder,20.61930823,31.93542452,38.14584081,41.55418953,43.42473098,44.45130588,45.01470214,45.32390056,45.49359225,45.58672103
WSK,Winter_Skate,Winter skate,51.43547349,79.66385984,95.15592674,103.6581533,108.3242742,110.8850956,112.2905042,113.0618088,113.4851098,113.7174223
WTF,Witchflounder,Witch flounder,15.54583725,27.09707854,35.68015921,42.05776592,46.79660839,50.31777691,52.9341601,54.87824797,56.32279081,57.39614972
YTF,Yellowtail_Flounder,Yellowtail flounder,14.23309568,24.41457111,31.69776826,36.90771657,40.63459103,43.30056627,45.20763989,46.57184229,47.54770823,48.24578229
