Code,Name,Long.Name,1,2,3,4,5,6,7,8,9,10
ANC,Anchovies,Anchovies,5.357583421,6.956710123,8.252937035,9.303638149,10.15531992,10.84567975,11.40527454,11.85887327,12.22655325,12.52458886
BFT,BluefinTuna,Atlantic bluefin tuna,147.9515423,217.0255898,257.520613,281.261033,295.1789789,303.3384478,308.1219793,310.9263498,312.5704267,313.5342754
BIL,Billfish,Billfish,185.7472589,259.1143195,301.3588575,325.6831385,339.6889881,347.7535152,352.3970462,355.0707777,356.6103045,357.4967594
BLF,Bluefish,Bluefish,27.04251454,41.56631964,52.21876028,60.03176044,65.76218163,69.96514161,73.04778982,75.30874876,76.96704221,78.1833125
BLS,Blue_Shark,Blue shark,280.5682363,281.9907311,281.99994,281.9999996,282,282,282,282,282,282
BPF,Benthopel_Fish,Other benthopelagic fish,17.62174154,24.59907479,27.36175175,28.45563442,28.88875756,29.06025278,29.12815636,29.1550428,29.16568849,29.16990366
BSB,Black_Sea_Bass,Black sea bass,27.039051,42.43262599,50.38881577,54.50098307,56.62636223,57.72486728,58.29263109,58.58608057,58.73775032,58.81614104
BUT,Butterfish,Butterfish,12.64473294,17.47590455,19.52027319,20.38537248,20.7514497,20.90635969,20.97191173,20.99965087,21.01138902,21.01635616
BWH,Baleen_Whale,Baleen whales,2097.36,2097.36,2097.36,2097.36,2097.36,2097.36,2097.36,2097.36,2097.36,2097.36
COD,Cod,Atlantic cod,40.86004115,71.79809425,94.04019488,110.0305689,121.5264283,129.7910745,135.7327247,140.0043181,143.075268,145.2830467
DOG,Spiny_Dogfish,Spiny dogfish,65.77819766,84.26927743,89.46735282,90.92859728,91.3393715,91.45484531,91.48730645,91.49643168,91.4989969,91.49971802
DRM,Drums_Croakers,Drums and croakers,35.210542,44.39346466,46.78837436,47.41296771,47.5758619,47.61834476,47.62942431,47.63231386,47.63306745,47.63326399
DSH,Demersal_Shark,Other demersal sharks,292.5847213,300.5014198,300.775859,300.7853726,300.7857024,300.7857139,300.7857143,300.7857143,300.7857143,300.7857143
FDE,Demersal_E_Fish,Shallow demersal fish,17.37704361,27.05098404,32.43654476,35.43472988,37.10384373,38.03305289,38.55035112,38.83833523,38.9986583,39.08791145
FDF,Demersal_DC_Fish,Miscellaneous demersal fish,10.94056932,19.67679137,26.65280636,32.22326748,36.67137102,40.22325385,43.05948989,45.32427037,47.13273431,48.57682211
FLA,Other flatfish,Other flatfish,4.837310521,7.683062395,10.02464567,11.95138153,13.53676658,14.84127635,15.9146722,16.7978995,17.52464954,18.12264466
FOU,Fourspotflounder,Fourspot flounder,16.37968127,26.21560745,32.12203764,35.66882285,37.79865169,39.0776045,39.84561,40.30679391,40.58373281,40.75003339
GOO,Monkfish,Goosefish,12.71523301,25.4648012,37.04732512,47.56963132,57.12876787,65.81289945,73.7021205,80.86919394,87.38022226,93.2952572
HAD,Haddock,Haddock,50.94294195,66.28666121,70.90810063,72.30005144,72.71929897,72.84557389,72.88360717,72.89506258,72.89851288,72.89955209
HAL,Halibut,Atlantic halibut,45.78364552,86.96572824,120.3472757,147.4058322,169.3390718,187.1178103,201.5289756,213.2104392,222.6792496,230.3545181
HER,Herring,Atlantic herring,4.51958289,12.51066821,18.31338713,22.52702588,25.5867556,27.80857539,29.42194769,30.59349644,31.44421543,32.06196421
INV,Invasive_Species,Invasive vertebrate species,31.87718469,39.90651099,41.86681708,42.34541264,42.46225854,42.49078567,42.49775038,42.49945077,42.49986591,42.49996726
LSK,Little_Skate,Little skate,47.28260293,52.0366049,52.61876301,52.69005201,52.6987818,52.69985082,52.69998173,52.69999776,52.69999973,52.69999997
MAK,Mackerel,Atlantic mackerel,20.74872838,25.44594631,29.03170616,31.76900169,33.85859698,35.45375117,36.67145917,37.60103249,38.3106497,38.85235692
MEN,Menhaden,Atlantic menhaden,8.103382106,14.46499229,19.45921366,23.379958,26.45796257,28.87436906,30.77138391,32.26064714,33.42980243,34.34765502
MPF,Mesopel_M_Fish,Migratory mesopelagic fish,4.115706848,5.453275231,6.424549224,7.129838899,7.641984317,8.01387822,8.283928619,8.480025456,8.622420986,8.725821362
OHK,Offshore_Hake,Offshore hake,32.81210638,40.5862052,42.42810501,42.8645022,42.96789681,42.99239386,42.9981979,42.99957303,42.99989884,42.99997603
OPT,Ocean_Pout,Ocean pout,33.49836338,57.79885504,75.42699671,88.21486054,97.4914743,104.2209456,109.1026606,112.6439701,115.2129184,117.0764932
PIN,Pinniped,Pinnipeds,198.0310264,207.8904107,208.3812805,208.4057195,208.4069362,208.4069968,208.4069998,208.407,208.407,208.407
PLA,Plaice,American plaice,23.93031483,38.30036308,46.92951353,52.11128022,55.22290821,57.09142706,58.21346436,58.88724281,59.29184378,59.53480488
POL,Pollock,Pollock,42.34746865,67.77693634,83.04721926,92.21695665,97.7233434,101.0299043,103.0154795,104.2078086,104.923797,105.3537449
POR,Porbeagle_Shark,Porbeagle shark,269.1214865,279.5773498,279.9835793,279.999362,279.9999752,279.999999,280,280,280,280
