Child,Index,Parent,Change,Name,Long Name,,IsVertebrate,Parent_Name,Parent_index
MAK,1,FPL,0,Mackerel,Atlantic mackerel,,1,Large planktivorous fish,1
HER,2,FPS,0,Herring,Atlantic herring,,1,Small planktivorous fish,3
WHK,3,FVD,0,White_Hake,White hake,,1,Deep piscivorous fish,4
BLF,4,FVS,0,Bluefish,Bluefish,,1,Shallow piscivorous fish,6
WPF,5,FVB,1,Windowpane,Windowpane flounder,,1,Other piscivorous fish,7
SUF,6,FVB,1,Summerflounder,Summer flounder,,1,Other piscivorous fish,7
WIF,7,FVB,1,Winterflounder,Winter flounder,,1,Other piscivorous fish,7
WTF,8,FVB,1,Witchflounder,Witch flounder,,1,Other piscivorous fish,7
HAL,9,FVB,1,Halibut,Atlantic halibut,,1,Other piscivorous fish,7
PLA,10,FVB,1,Plaice,American plaice,,1,Other piscivorous fish,7
FOU,11,FVB,1,Fourspotflounder,Fourspot flounder,,1,Other piscivorous fish,7
FLA,12,FVB,1,Other flatfish,Other flatfish,,1,Other piscivorous fish,7
BFT,13,FVT,1,BluefinTuna,Atlantic bluefin tuna,,1,Large piscivorous fish (tuna),8
TUN,14,FVT,1,Tunas,Other tunas,,1,Large piscivorous fish (tuna),8
BIL,15,FVT,1,Billfish,Billfish,,1,Large piscivorous fish (tuna),8
MPF,16,FMM,0,Mesopel_M_Fish,Migratory mesopelagic fish ,,1,Migratory mesopelagics fish ,10
BUT,17,FBP,1,Butterfish,Butterfish,,1,Benthopelagics,12
ANC,18,FBP,1,Anchovies,Anchovies,,1,Benthopelagics,12
BPF,19,FBP,1,Benthopel_Fish,Other benthopelagic fish,,1,Benthopelagics,12
GOO,20,FDD,0,Monkfish,Monkfish,,1,Deep demersal fish,13
MEN,21,FDE,1,Menhaden,Atlantic menhaden,,1,Shallow demersal fish,14
FDE,22,FDE,1,Demersal_E_Fish,Shallow demersal fish,,1,Shallow demersal fish,14
COD,23,FDS,0,Cod,Atlantic cod,,1,Other shallow demersal fish,15
SHK,24,FDB,0,Silver_Hake,Silver hake,,1,Flat deep demersal fish,18
OHK,25,FDC,1,Offshore_Hake,Offshore hake,,1,Miscellaneous demersal fish,19
