PL.ts,PS.ts,DF.ts,month,days
127725.9916,38317.79749,46832.8636,11,3570
101693.9697,30508.19091,37287.78889,12,3600
92893.56432,27868.0693,34060.97359,1,3630
87892.60817,26367.78245,32227.28966,2,3660
105523.3714,31657.01141,38691.90284,3,3690
181310.589,54393.17669,66480.54929,4,3720
135955.175,40786.55249,49850.23082,5,3750
119919.6669,35975.90008,43970.54454,6,3780
120783.1823,36234.95468,44287.16684,7,3810
140476.186,42142.85579,51507.93485,8,3840
156774.6263,47032.38788,57484.02963,9,3870
145434.2881,43630.28642,53325.90562,10,3900
147241.5187,44172.4556,53988.55685,11,3930
108048.4763,32414.54288,39617.77463,12,3960
100048.3104,30014.49312,36684.38048,1,3990
96979.16993,29093.75098,35559.02897,2,4020
131188.0706,39356.42119,48102.29257,3,4050
224000.2659,67200.07978,82133.43085,4,4080
99743.8019,29923.14057,36572.72736,5,4110
97283.00321,29184.90096,35670.43451,6,4140
125151.9887,37545.59662,45889.06254,7,4170
131633.9028,39490.17085,48265.76437,8,4200
120026.4282,36007.92847,44009.69035,9,4230
124168.0703,37250.4211,45528.29245,10,4260
136011.6052,40803.48155,49870.92189,11,4290
112784.0908,33835.22724,41354.16663,12,4320
107805.6244,32341.68733,39528.72896,1,4350
103215.4068,30964.62204,37845.64917,2,4380
80956.63313,24286.98994,29684.09882,3,4410
162117.5272,48635.25817,59443.09332,4,4440
108099.0054,32429.70163,39636.30199,5,4470
96255.12907,28876.53872,35293.54733,6,4500
120966.8878,36290.06634,44354.52552,7,4530
137109.5319,41132.85956,50273.49501,8,4560
139885.4899,41965.64696,51291.34629,9,4590
179171.6539,53751.49618,65696.27311,10,4620
166241.4175,49872.42524,60955.18641,11,4650
164458.7401,49337.62204,60301.53805,12,4680
181002.1329,54300.63988,66367.44874,1,4710
108514.1382,32554.24147,39788.51736,2,4740
97941.20846,29382.36254,35911.77643,3,4770
176952.3392,53085.70175,64882.52436,4,4800
80073.4469,24022.03407,29360.26386,5,4830
73806.7365,22142.02095,27062.47005,6,4860
78115.94575,23434.78372,28642.51344,7,4890
119222.7756,35766.83268,43715.01771,8,4920
123529.4976,37058.84928,45294.14912,9,4950
139139.7742,41741.93227,51017.91722,10,4980
157604.4804,47281.34413,57788.30949,11,5010
160764.6144,48229.38432,58947.02528,12,5040
186501.956,55950.58681,68384.05054,1,5070
147081.7059,44124.51177,53929.95883,2,5100
160955.3294,48286.59883,59016.95413,3,5130
170887.3032,51266.19096,62658.67783,4,5160
114910.6541,34473.19623,42133.90651,5,5190
126177.3833,37853.21498,46265.04053,6,5220
120751.6404,36225.49212,44275.60148,7,5250
123418.4433,37025.53298,45253.4292,8,5280
117984.3556,35395.30669,43260.9304,9,5310
144788.212,43436.4636,53089.01107,10,5340
200252.7576,60075.82728,73426.01113,11,5370
170242.5151,51072.75452,62422.25552,12,5400
135156.2644,40546.87932,49557.29695,1,5430
91318.42664,27395.52799,33483.4231,2,5460
79302.92502,23790.8775,29077.73917,3,5490
121121.942,36336.58259,44411.37872,4,5520
109826.8253,32948.04758,40269.83593,5,5550
120978.1098,36293.43295,44358.64028,6,5580
114249.3578,34274.80735,41891.43121,7,5610
93732.66017,28119.79805,34368.64206,8,5640
87394.99477,26218.49843,32044.83142,9,5670
113252.2629,33975.67887,41525.82973,10,5700
120030.0196,36009.00588,44011.00719,11,5730
108972.1979,32691.65936,39956.47255,12,5760
92429.09878,27728.72963,33890.66955,1,5790
97828.30677,29348.49203,35870.37915,2,5820
164348.3625,49304.50874,60261.06624,3,5850
226179.9861,67853.99584,82932.66158,4,5880
144576.6045,43372.98134,53011.42164,5,5910
139067.9256,41720.37767,50991.5727,6,5940
125352.9684,37605.89053,45962.7551,7,5970
103425.2001,31027.56002,37922.57336,8,6000
126810.0171,38043.00514,46497.00628,9,6030
