id,n,nm,name,type,intx
pPREY1ANC1,92,1ANC1,ANC,11,Juv Pred - Juv Prey
pPREY1ANC2,92,1ANC2,ANC,12,Juv Pred - Adt Prey
pPREY2ANC1,92,2ANC1,ANC,21,Adt Pred - Juv Prey
pPREY2ANC2,92,2ANC2,ANC,22,Adt Pred - Adt Prey
pPREYBC,92,BC,BC,NA,Invert Pred
pPREYBD,92,BD,BD,NA,Invert Pred
pPREYBFF,92,BFF,BFF,NA,Invert Pred
pPREY1BFT1,92,1BFT1,BFT,11,Juv Pred - Juv Prey
pPREY1BFT2,92,1BFT2,BFT,12,Juv Pred - Adt Prey
pPREY2BFT1,92,2BFT1,BFT,21,Adt Pred - Juv Prey
pPREY2BFT2,92,2BFT2,BFT,22,Adt Pred - Adt Prey
pPREYBG,92,BG,BG,NA,Invert Pred
pPREY1BIL1,92,1BIL1,BIL,11,Juv Pred - Juv Prey
pPREY1BIL2,92,1BIL2,BIL,12,Juv Pred - Adt Prey
pPREY2BIL1,92,2BIL1,BIL,21,Adt Pred - Juv Prey
pPREY2BIL2,92,2BIL2,BIL,22,Adt Pred - Adt Prey
pPREY1BLF1,92,1BLF1,BLF,11,Juv Pred - Juv Prey
pPREY1BLF2,92,1BLF2,BLF,12,Juv Pred - Adt Prey
pPREY2BLF1,92,2BLF1,BLF,21,Adt Pred - Juv Prey
pPREY2BLF2,92,2BLF2,BLF,22,Adt Pred - Adt Prey
pPREY1BLS1,92,1BLS1,BLS,11,Juv Pred - Juv Prey
pPREY1BLS2,92,1BLS2,BLS,12,Juv Pred - Adt Prey
pPREY2BLS1,92,2BLS1,BLS,21,Adt Pred - Juv Prey
pPREY2BLS2,92,2BLS2,BLS,22,Adt Pred - Adt Prey
pPREYBMS,92,BMS,BMS,NA,Invert Pred
pPREYBO,92,BO,BO,NA,Invert Pred
pPREY1BPF1,92,1BPF1,BPF,11,Juv Pred - Juv Prey
pPREY1BPF2,92,1BPF2,BPF,12,Juv Pred - Adt Prey
pPREY2BPF1,92,2BPF1,BPF,21,Adt Pred - Juv Prey
pPREY2BPF2,92,2BPF2,BPF,22,Adt Pred - Adt Prey
pPREY1BSB1,92,1BSB1,BSB,11,Juv Pred - Juv Prey
pPREY1BSB2,92,1BSB2,BSB,12,Juv Pred - Adt Prey
pPREY2BSB1,92,2BSB1,BSB,21,Adt Pred - Juv Prey
pPREY2BSB2,92,2BSB2,BSB,22,Adt Pred - Adt Prey
pPREY1BUT1,92,1BUT1,BUT,11,Juv Pred - Juv Prey
pPREY1BUT2,92,1BUT2,BUT,12,Juv Pred - Adt Prey
pPREY2BUT1,92,2BUT1,BUT,21,Adt Pred - Juv Prey
pPREY2BUT2,92,2BUT2,BUT,22,Adt Pred - Adt Prey
pPREY1BWH1,92,1BWH1,BWH,11,Juv Pred - Juv Prey
pPREY1BWH2,92,1BWH2,BWH,12,Juv Pred - Adt Prey
pPREY2BWH1,92,2BWH1,BWH,21,Adt Pred - Juv Prey
pPREY2BWH2,92,2BWH2,BWH,22,Adt Pred - Adt Prey
pPREYCLA,92,CLA,CLA,NA,Invert Pred
pPREY1COD1,92,1COD1,COD,11,Juv Pred - Juv Prey
pPREY1COD2,92,1COD2,COD,12,Juv Pred - Adt Prey
pPREY2COD1,92,2COD1,COD,21,Adt Pred - Juv Prey
