Code,Species,Cohort,SN,RN,weight_g,weight_kg,weight_t,weight_lbs,li_a,li_b,length_cm,,vbert_cm,grams,SN,RN
ANC,Anchovies,1,49.19490507,130.3664984,20.47,0.02047,0.0000205,0.045128571,0.016,3,10.85590298,,5.357583421,2.460519485,0.005913289,0.015670215
ANC,Anchovies,2,86.10910835,228.1891371,35.82999998,0.03583,0.0000358,0.078991535,0.016,3,13.08304821,,6.956710123,5.38681058,0.012945952,0.034306772
ANC,Anchovies,3,123.0233117,326.011776,51.19,0.05119,0.0000512,0.112854498,0.016,3,14.73516655,,8.252937035,8.99384871,0.021614633,0.057278777
ANC,Anchovies,4,164.5638068,436.094088,68.47500001,0.068475,0.0000685,0.150961355,0.016,3,16.2356876,,9.303638149,12.88482176,0.030965686,0.082059067
ANC,Anchovies,5,206.1043018,546.1763998,85.75999998,0.08576,0.0000858,0.189068211,0.016,3,17.50068024,,10.15531992,16.75717522,0.04027199,0.106720775
ANC,Anchovies,6,244.7128095,648.4889451,101.825,0.101825,0.000101825,0.224485432,0.016,3,18.53153861,,10.84567975,20.41222334,0.049056052,0.129998538
ANC,Anchovies,7,283.321317,750.8014901,117.89,0.11789,0.00011789,0.259902652,0.016,3,19.45893176,,11.40527454,23.73762225,0.057047879,0.151176878
ANC,Anchovies,8,314.4436434,833.275655,130.84,0.13084,0.00013084,0.288452481,0.016,3,20.14683599,,11.85887327,26.68395913,0.064128717,0.1699411
ANC,Anchovies,9,345.5659698,915.7498198,143.79,0.14379,0.00014379,0.31700231,0.016,3,20.79072179,,12.22655325,29.24368614,0.070280428,0.186243135
ANC,Anchovies,10,372.7469359,987.77938,155.1,0.1551,0.0001551,0.341936562,0.016,3,21.32213089,,12.52458886,31.43477943,0.075546213,0.200197466
BFT,BluefinTuna,1,829.488459,2197.74442,345.1501478,0.345150148,0.00034515,0.760924919,0.026,2.79,30.04624614,,,,,
BFT,BluefinTuna,2,67705.01032,179418.2774,28172.05479,28.17205479,0.028172055,62.10867544,0.026,2.79,145.5549385,,,,,
BFT,BluefinTuna,3,124433.1019,329747.72,51776.6137,51.7766137,0.051776614,114.1477581,0.026,2.79,181.035417,,,,,
BFT,BluefinTuna,4,157775.1923,418104.2597,65650.25752,65.65025752,0.065650258,144.7338707,0.026,2.79,197.1142183,,,,,
BFT,BluefinTuna,5,174502.5333,462431.7133,72610.50411,72.61050411,0.072610504,160.0785696,0.026,2.79,204.3636362,,,,,
BFT,BluefinTuna,6,182386.1888,483323.4003,75890.89316,75.89089316,0.075890893,167.3105809,0.026,2.79,207.6260462,,,,,
BFT,BluefinTuna,7,186004.1284,492910.9401,77396.31783,77.39631783,0.077396318,170.6294702,0.026,2.79,209.0929592,,,,,
BFT,BluefinTuna,8,187644.9615,497259.1481,78079.06848,78.07906848,0.078079068,172.134676,0.026,2.79,209.7522124,,,,,
BFT,BluefinTuna,9,188385.8135,499222.4057,78387.337,78.387337,0.078387337,172.8142909,0.026,2.79,210.0486598,,,,,
BFT,BluefinTuna,10,188718.3336,500103.5842,78525.69861,78.52569861,0.078525699,173.1193257,0.026,2.79,210.1814725,,,,,
BIL,Billfish,1,829.488459,2197.74442,345.1501478,0.345150148,0.00034515,0.760924919,0.0214,2.96,26.39274475,,,,,
BIL,Billfish,2,67705.01032,179418.2774,28172.05479,28.17205479,0.028172055,62.10867544,0.0214,2.96,116.779462,,,,,
BIL,Billfish,3,124433.1019,329747.72,51776.6137,51.7766137,0.051776614,114.1477581,0.0214,2.96,143.4373055,,,,,
