ANC,Anchovies,Anchoa hepsetus
BFT,BluefinTuna,Thunnus thynnus
BIL,Billfish,
BLF,Bluefish,Pomatomas saltatrix
BLS,Blue_Shark,Prionace glauca
BPF,Benthopelagic_Fish,
BSB,Black_Sea_Bass,Centropristis striata
BUT,Butterfish,Peprilus triacanthus
BWH,Baleen_Whale,
COD,Cod,Gadhus morhua
DOG,Spiny_Dogfish,Squalus acanthias
DRM,Drums_Croakers,
DSH,Demersal_Shark,
FDE,Shallow_Demersal_Fish,
FDF,Misc_Demersal_Fish,
FLA,Other_Flatfish,
FOU,Fourspotflounder,Hippoglossina oblonga
GOO,Monkfish,Lophius americanus
HAD,Haddock,Melanogrammus aeglefinus
HAL,Halibut,Hippoglossus hippoglossus
HER,Herring,Clupea harengus
INV,Invasive_Species,
LSK,Little_Skate,Leucoraja erinacea
MAK,Mackerel,Scomber scombrus
MEN,Menhaden,Brevoortia tyrannus
MPF,Mesopelagic_Mig_Fish,
OHK,Offshore_Hake,Merluccius albidus
OPT,Ocean_Pout,Zoarces americanus
PIN,Pinniped,
PLA,Plaice,Hippoglossoides platessoides
POL,Pollock,Pollachius pollachius
POR,Porbeagle_Shark,Lamna nasus
PSH,Pelagic_Shark,
RED,Redfish,Sebastes  fasciatus
REP,Turtle,
RHK,Red_Hake,Urophysis chuss
RWH,Right_Whale,Eubalaena glacialis
SAL,Atlantic_Salmon,Salmo salmar
SB,Seabird,
SCU,Scup,Stenotomus chrysops
SDF,Atlantic_States_Demersals,
SHK,Silver_Hake,Merluccius bilinearis
SK,Northeast_skate_complex,
SMO,Smooth_Dogfish,Mustlus canis
SSH,Sandbar_Shark,Carcharhinus plumbeus
STB,Striped_Bass,Saxatillis morone
SUF,Summerflounder,Paralichthys dentatus
SWH,Small_Whale,
TAU,Tautog,Tautoga onitis
TUN,Tunas,
TWH,Tooth_Whale,
TYL,Tilefish,Lopholatilus chamaeleonticeps
WHK,White_Hake,Urophysis tenuis
WIF,Winterflounder,Pseudopleuronectes americanus
WOL,Wolffish,Anarhichas lupus
WPF,Windowpane,Scophthalmus aquosus
WSK,Winter_Skate,Leucoraja ocellata
WTF,Witchflounder,Glyptocephalus cynoglossus
YTF,Yellowtail_Flounder,Pleuronectes ferruginea
