"MAK","HER","WHK","BLF","WPF","SUF","WIF","WTF","FOU","HAL","PLA","FLA","BFT","TUN","BIL","MPF","BUT","BPF","ANC","GOO","MEN","FDE","COD","SHK","OHK","POL","RHK","BSB","SCU","TYL","RED","OPT","SAL","DRM","STB","TAU","WOL","SDF","FDF","HAD","YTF","DOG","SMO","SSH","DSH","BLS","POR","PSH","WSK","LSK","SK","SB","PIN","REP","RWH","BWH","SWH","TWH","INV","LSQ","ISQ","SCA","QHG","CLA","BFF","BG","LOB","RCB","BMS","NSH","OSH","ZL","BD","MA","MB","SG","BC","ZG","PL","DF","PS","ZM","ZS","PB","BB","BO","DL","DR","DC","Dlsed","Drsed","Dcsed"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.034285714,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.034285714,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.034285714,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.034285714,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75e-05,0.000675,0.000675,0.000675,0.045,0,0,0,0,0,0,0.3375,0,0,0,0.1125,0,0,0,0,0,0,0,0,0.001125,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,1.5e-05,0.018,0,0,0,0,0.3,0.3,0.09,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085714286,0.000428571,0.3,0,0.085714286,0,0,0,0.128571429,0.085714286,0,0,0,0
0.0075,0.0075,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.01875,0.3,0.0225,0,0,0,0.02625,0,0.015,0,0,0,0,0,0,0,0,0.01125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0075,0.0075,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.01875,0.3,0.0225,0,0,0,0.02625,0,0.015,0,0,0,0,0,0,0,0,0.01125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0075,0.0075,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.01875,0.3,0.0225,0,0,0,0.02625,0,0.015,0,0,0,0,0,0,0,0,0.01125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0075,0.0075,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.01875,0.3,0.0225,0,0,0,0.02625,0,0.015,0,0,0,0,0,0,0,0,0.01125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0015,0.3,0,0,0,0,0,0,0,0,0,0,0
0.015,0.01125,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.03,0.3,0.03375,0,0,0,0.00375,0,0.01875,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0.00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0.01125,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.03,0.3,0.03375,0,0,0,0.00375,0,0.01875,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0.00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0.01125,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.03,0.3,0.03375,0,0,0,0.00375,0,0.01875,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0.00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015,0.01125,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.03,0.3,0.03375,0,0,0,0.00375,0,0.01875,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0.00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0675,0.03,0.0375,0.06,0.015,0.015,0.0525,0,0,0,0,0.045,0.015,0,0,0.03,0.3,0.0075,0.015,0,0.015,0.06,0,0.015,0,0,0.015,0.015,0.0075,0,0.015,0.0675,0,0.0075,0,0,0,0,0.0075,0.0075,0.0075,0.015,0,0,0,0,0,0,0.0075,0,0.0675,0,0,0,0,0,0,0,0.15,0.015,0,0.0225,0.045,0,0.03,0.0075,0,0,0.015,0.015,0.015,0.015,0.0375,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0675,0.03,0.0375,0.06,0.015,0.015,0.0525,0,0,0,0,0.045,0.015,0,0,0.03,0.3,0.0075,0.015,0,0.015,0.06,0,0.015,0,0,0.015,0.015,0.0075,0,0.015,0.0675,0,0.0075,0,0,0,0,0.0075,0.0075,0.0075,0.015,0,0,0,0,0,0,0.0075,0,0.0675,0,0,0,0,0,0,0,0.15,0.015,0,0.0225,0.045,0,0.03,0.0075,0,0,0.015,0.015,0.015,0.015,0.0375,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0675,0.03,0.0375,0.06,0.015,0.015,0.0525,0,0,0,0,0.045,0.015,0,0,0.03,0.3,0.0075,0.015,0,0.015,0.06,0,0.015,0,0,0.015,0.015,0.0075,0,0.015,0.0675,0,0.0075,0,0,0,0,0.0075,0.0075,0.0075,0.015,0,0,0,0,0,0,0.0075,0,0.0675,0,0,0,0,0,0,0,0.15,0.015,0,0.0225,0.045,0,0.03,0.0075,0,0,0.015,0.015,0.015,0.015,0.0375,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0675,0.03,0.0375,0.06,0.015,0.015,0.0525,0,0,0,0,0.045,0.015,0,0,0.03,0.3,0.0075,0.015,0,0.015,0.06,0,0.015,0,0,0.015,0.015,0.0075,0,0.015,0.0675,0,0.0075,0,0,0,0,0.0075,0.0075,0.0075,0.015,0,0,0,0,0,0,0.0075,0,0.0675,0,0,0,0,0,0,0,0.15,0.015,0,0.0225,0.045,0,0.03,0.0075,0,0,0.015,0.015,0.015,0.015,0.0375,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1125,0.1125,0,0.5625,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.225,0.225,0.225,0.1125,0.3375,0.3375,0.3375,0.1125,0.675,0.675,0.045,0.3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0.09,0.5625,0.5625,0.5625,0.045,0.045,0.045,0.03375,0.03375,0.03375,0,0,1.125e-05,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0,0
0.1125,0.1125,0,0.5625,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.225,0.225,0.225,0.1125,0.3375,0.3375,0.3375,0.1125,0.675,0.675,0.045,0.3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0.09,0.5625,0.5625,0.5625,0.045,0.045,0.045,0.03375,0.03375,0.03375,0,0,1.125e-05,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0,0
0.1125,0.1125,0,0.5625,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.225,0.225,0.225,0.1125,0.3375,0.3375,0.3375,0.1125,0.675,0.675,0.045,0.3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0.09,0.5625,0.5625,0.5625,0.045,0.045,0.045,0.03375,0.03375,0.03375,0,0,1.125e-05,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0,0
0.1125,0.1125,0,0.5625,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.225,0.225,0.225,0.1125,0.3375,0.3375,0.3375,0.1125,0.675,0.675,0.045,0.3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0.09,0.5625,0.5625,0.5625,0.045,0.045,0.045,0.03375,0.03375,0.03375,0,0,1.125e-05,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0.003375,0.003375,0.003375,0.009,0.0005625,0.1125,0.1125,0.0225,0.0225,0,0.3375,0,0,0,0.01125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
