"FPL","FPO","FPS","FVD","FVV","FVS","FVB","FVT","FVO","FMM","FMN","FBP","FDD","FDE","FDS","FDM","FDP","FDB","FDC","FDO","FDF","SHB","SHD","SHC","SHP","SHR","SSK","SB","SP","PIN","REP","WHB","WHS","WHT","WDG","CEP","BFS","BFF","BFD","BG","BMD","BML","BMS","PWN","ZL","BD","MA","MB","SG","BC","ZG","PL","DF","PS","ZM","ZS","PB","BB","BO","DL","DR","DC","Dlsed","Drsed","Dcsed","jCEP","jPWN"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00051,5e-07,0.00026,0,0,0,0,6e-05,5e-05,3e-05,0,5e-05,3e-05,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,1e-06,7e-04,0,2e-04,0,0,0,0.000345,0.00023,0,0.000115,0.000575,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053,7.75e-06,0.011425,0,0.0113,0,0,0,0.00346125,0.0017825,0,0.00152875,0.00539375,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5e-05,6e-04,0,0.035,0,0,0,0,0,0.345,0,0,0,0.115,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00275,0.035,0,0.08,0,0.0115,0.15,0.3,0,0.3,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.23,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044,0.003,0,0.008,0,5e-04,0.115,0.015,0,0.2875,0,0,0,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00575,0.23,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1e-05,5e-08,5.5e-05,0,0,0,0,0.001,5e-04,3e-04,0,5e-04,3e-04,0,0,0
