name,name,name,number,MAK,HER,WHK,BLF,WPF,SUF,WIF,WTF,FOU,HAL,PLA,FLA,BFT,TUN,BIL,MPF,BUT,BPF,ANC,GOO,MEN,FDE,COD,SHK,OHK,POL,RHK,BSB,SCU,TYL,RED,OPT,SAL,DRM,STB,TAU,WOL,SDF,FDF,HAD,YTF,DOG,SMO,SSH,DSH,BLS,POR,PSH,WSK,LSK,SK,SB,PIN,REP,RWH,BWH,SWH,TWH,INV,LSQ,ISQ,SCA,QHG,CLA,BFF,BG,LOB,RCB,BMS,NSH,OSH,ZL,BD,MA,MB,SG,BC,ZG,PL,DF,PS,ZM,ZS,PB,BB,BO,DL,DR,DC,Dlsed,Drsed,Dcsed
pPREY2BFT2,BFT,pPREY2BFT2,92,0.0075,0.0075,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.01875,0.3,0.0225,0,0,0,0.02625,0,0.015,0,0,0,0,0,0,0,0,0.01125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
pPREYBG,BG,pPREYBG,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0015,0.3,0,0,0,0,0,0,0,0,0.25,0.1,NA
pPREY1BIL1,BIL,pPREY1BIL1,92,0.015,0.01125,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.03,0.3,0.03375,0,0,0,0.00375,0,0.01875,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0.00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
pPREY1BIL2,BIL,pPREY1BIL2,92,0.015,0.01125,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.03,0.3,0.03375,0,0,0,0.00375,0,0.01875,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0.00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
pPREY2BIL1,BIL,pPREY2BIL1,92,0.015,0.01125,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.03,0.3,0.03375,0,0,0,0.00375,0,0.01875,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0.00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
pPREY2BIL2,BIL,pPREY2BIL2,92,0.015,0.01125,0,0,0,0,0,0,0,0,0,0,0,0.075,0.075,0.03,0.3,0.03375,0,0,0,0.00375,0,0.01875,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0.00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
pPREY1BLF1,BLF,pPREY1BLF1,92,0.0675,0.03,0.0375,0.06,0.015,0.015,0.0525,0,0,0,0,0.045,0.015,0,0,0.03,0.3,0.0075,0.015,0,0.015,0.06,0,0.015,0,0,0.015,0.015,0.0075,0,0.015,0.0675,0,0.0075,0,0,0,0,0.0075,0.0075,0.0075,0.015,0,0,0,0,0,0,0.0075,0,0.0675,0,0,0,0,0,0,0,0.15,0.015,0,0.0225,0.045,0,0.03,0.0075,0,0,0.015,0.015,0.015,0.015,0.0375,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
pPREY1BLF2,BLF,pPREY1BLF2,92,0.0675,0.03,0.0375,0.06,0.015,0.015,0.0525,0,0,0,0,0.045,0.015,0,0,0.03,0.3,0.0075,0.015,0,0.015,0.06,0,0.015,0,0,0.015,0.015,0.0075,0,0.015,0.0675,0,0.0075,0,0,0,0,0.0075,0.0075,0.0075,0.015,0,0,0,0,0,0,0.0075,0,0.0675,0,0,0,0,0,0,0,0.15,0.015,0,0.0225,0.045,0,0.03,0.0075,0,0,0.015,0.015,0.015,0.015,0.0375,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
pPREY2BLF1,BLF,pPREY2BLF1,92,0.0675,0.03,0.0375,0.06,0.015,0.015,0.0525,0,0,0,0,0.045,0.015,0,0,0.03,0.3,0.0075,0.015,0,0.015,0.06,0,0.015,0,0,0.015,0.015,0.0075,0,0.015,0.0675,0,0.0075,0,0,0,0,0.0075,0.0075,0.0075,0.015,0,0,0,0,0,0,0.0075,0,0.0675,0,0,0,0,0,0,0,0.15,0.015,0,0.0225,0.045,0,0.03,0.0075,0,0,0.015,0.015,0.015,0.015,0.0375,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
pPREY2BLF2,BLF,pPREY2BLF2,92,0.0675,0.03,0.0375,0.06,0.015,0.015,0.0525,0,0,0,0,0.045,0.015,0,0,0.03,0.3,0.0075,0.015,0,0.015,0.06,0,0.015,0,0,0.015,0.015,0.0075,0,0.015,0.0675,0,0.0075,0,0,0,0,0.0075,0.0075,0.0075,0.015,0,0,0,0,0,0,0.0075,0,0.0675,0,0,0,0,0,0,0,0.15,0.015,0,0.0225,0.045,0,0.03,0.0075,0,0,0.015,0.015,0.015,0.015,0.0375,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
pPREY1BLS1,BLS,pPREY1BLS1,92,0.1125,0.1125,0,0.5625,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.225,0.225,0.225,0.1125,0.3375,0.3375,0.3375,0.1125,0.675,0.675,0.045,0.3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0.09,0.5625,0.5625,0.5625,0.045,0.045,0.045,0.03375,0.03375,0.03375,0,0,1.13E-05,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0,NA
pPREY1BLS2,BLS,pPREY1BLS2,92,0.1125,0.1125,0,0.5625,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.225,0.225,0.225,0.1125,0.3375,0.3375,0.3375,0.1125,0.675,0.675,0.045,0.3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0.09,0.5625,0.5625,0.5625,0.045,0.045,0.045,0.03375,0.03375,0.03375,0,0,1.13E-05,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0,NA
pPREY2BLS1,BLS,pPREY2BLS1,92,0.1125,0.1125,0,0.5625,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.225,0.225,0.225,0.1125,0.3375,0.3375,0.3375,0.1125,0.675,0.675,0.045,0.3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0.09,0.5625,0.5625,0.5625,0.045,0.045,0.045,0.03375,0.03375,0.03375,0,0,1.13E-05,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0,NA
pPREY2BLS2,BLS,pPREY2BLS2,92,0.1125,0.1125,0,0.5625,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.225,0.225,0.225,0.1125,0.3375,0.3375,0.3375,0.1125,0.675,0.675,0.045,0.3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0.09,0.5625,0.5625,0.5625,0.045,0.045,0.045,0.03375,0.03375,0.03375,0,0,1.13E-05,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0,NA
pPREYBMS,BMS,pPREYBMS,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0.003375,0.003375,0.003375,0.009,0.0005625,0.1125,0.1125,0.0225,0.0225,0,0.3375,0,0,0,0.01125,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.1,NA
pPREYBO,BO,pPREYBO,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3.00E-04,0.18,0,0,0,0,0.036,0.322,0.23,0,0.345,0.23,NA
pPREY1BPF1,BPF,pPREY1BPF1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.0225,0,0,0.0075,0,0.03,7.50E-08,0.0675,0,0,0,0,0.3,0,0,0,1.50E-07,0,0,0,0,0,0,0,0,0,NA
pPREY1BPF2,BPF,pPREY1BPF2,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.0225,0,0,0.0075,0,0.03,7.50E-08,0.0675,0,0,0,0,0.3,0,0,0,1.50E-07,0,0,0,0,0,0,0,0,0,NA
pPREY2BPF1,BPF,pPREY2BPF1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.0225,0,0,0.0075,0,0.03,7.50E-08,0.0675,0,0,0,0,0.3,0,0,0,1.50E-07,0,0,0,0,0,0,0,0,0,NA
pPREY2BPF2,BPF,pPREY2BPF2,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.0225,0,0,0.0075,0,0.03,7.50E-08,0.0675,0,0,0,0,0.3,0,0,0,1.50E-07,0,0,0,0,0,0,0,0,0,NA
pPREY1BSB1,BSB,pPREY1BSB1,92,0,0,0,0,0.003,0,0,0,0,0,0,0.0015,0,0,0,0.03,0.03,0,0.0045,0,0,0.012,0,0.0015,0,0,0.0135,0.003,0.0015,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.015,0,0.0135,0,0,0,0,0,0,0,0.3,0.009,0,0.006,0.0045,0.06,0.0045,0.003,0.0045,0,6.00E-08,0.0045,0.003,0.0045,0.0045,0,0,0,0,0.009,0,0,0,0.0045,0,0,0,0,0,0,0,0,0,NA
pPREY1BSB2,BSB,pPREY1BSB2,92,0,0,0,0,0.003,0,0,0,0,0,0,0.0015,0,0,0,0.03,0.03,0,0.0045,0,0,0.012,0,0.0015,0,0,0.0135,0.003,0.0015,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.015,0,0.0135,0,0,0,0,0,0,0,0.3,0.009,0,0.006,0.0045,0.06,0.0045,0.003,0.0045,0,6.00E-08,0.0045,0.003,0.0045,0.0045,0,0,0,0,0.009,0,0,0,0.0045,0,0,0,0,0,0,0,0,0,NA
pPREY2BSB1,BSB,pPREY2BSB1,92,0,0,0,0,0.003,0,0,0,0,0,0,0.0015,0,0,0,0.03,0.03,0,0.0045,0,0,0.012,0,0.0015,0,0,0.0135,0.003,0.0015,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.015,0,0.0135,0,0,0,0,0,0,0,0.3,0.009,0,0.006,0.0045,0.06,0.0045,0.003,0.0045,0,6.00E-08,0.0045,0.003,0.0045,0.0045,0,0,0,0,0.009,0,0,0,0.0045,0,0,0,0,0,0,0,0,0,NA
pPREY2BSB2,BSB,pPREY2BSB2,92,0,0,0,0,0.003,0,0,0,0,0,0,0.0015,0,0,0,0.03,0.03,0,0.0045,0,0,0.012,0,0.0015,0,0,0.0135,0.003,0.0015,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.015,0,0.0135,0,0,0,0,0,0,0,0.3,0.009,0,0.006,0.0045,0.06,0.0045,0.003,0.0045,0,6.00E-08,0.0045,0.003,0.0045,0.0045,0,0,0,0,0.009,0,0,0,0.0045,0,0,0,0,0,0,0,0,0,NA
pPREY1BUT1,BUT,pPREY1BUT1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0.2,0,0.03,1.00E-07,0.04,0,0,0,0,1.00E-07,0,0,0,0.3,0,0,0,0,0,0,0,0,0,NA
pPREY1BUT2,BUT,pPREY1BUT2,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0.2,0,0.03,1.00E-07,0.04,0,0,0,0,1.00E-07,0,0,0,0.3,0,0,0,0,0,0,0,0,0,NA
pPREY2BUT1,BUT,pPREY2BUT1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0.2,0,0.03,1.00E-07,0.04,0,0,0,0,1.00E-07,0,0,0,0.3,0,0,0,0,0,0,0,0,0,NA
pPREY2BUT2,BUT,pPREY2BUT2,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0.2,0,0.03,1.00E-07,0.04,0,0,0,0,1.00E-07,0,0,0,0.3,0,0,0,0,0,0,0,0,0,NA
pPREY1BWH1,BWH,pPREY1BWH1,92,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.06,0.06,0.06,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.006,0,0,0,0,0,0,0,0,0.27,0.27,0.012,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0.1,0,0,0,0,NA
pPREY1BWH2,BWH,pPREY1BWH2,92,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.06,0.06,0.06,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.006,0,0,0,0,0,0,0,0,0.27,0.27,0.012,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,NA
pPREY2BWH1,BWH,pPREY2BWH1,92,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.06,0.06,0.06,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.006,0,0,0,0,0,0,0,0,0.27,0.27,0.012,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,NA
pPREY2BWH2,BWH,pPREY2BWH2,92,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.06,0.06,0.06,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.006,0,0,0,0,0,0,0,0,0.27,0.27,0.012,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0.1,0.05,0,0,0,NA
pPREYCLA,CLA,pPREYCLA,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085714286,0.000428571,0.3,0,0.085714286,0,0,0,0.345,0.085714286,0,0.115,0.0575,NA
pPREY1COD1,COD,pPREY1COD1,92,0.025714286,0.017142857,0.004285714,0.017142857,0.03,0,0.021428571,0.017142857,0.03,0,0.004285714,0.008571429,0,0,0,0.008571429,0.3,0.004285714,0,0.017142857,0,0.021428571,0.017142857,0.012857143,0,0.021428571,0.004285714,0.012857143,0.008571429,0,0.017142857,0.012857143,0,0,0,0,0.008571429,0.038571429,0.004285714,0.004285714,0.008571429,0.008571429,0,0,0.004285714,0,0,0,0.042857143,0,0.008571429,0,0,0,0,0,0,0,0.042857143,0.008571429,0.008571429,0.008571429,0.008571429,0.025714286,0.008571429,0.004285714,0.008571429,0.034285714,0.042857143,0.03,0.004285714,0.008571429,0.004285714,0,0,0,0,0.034285714,0,0,0,0.017142857,0,0,0,0,0,0,0,0,0,NA
