ZL,ZM,ZS,ZG,Time
3676.795294,3970.938917,15530.78332,6294.673542,0
3278.354389,3540.62274,13847.76894,5612.542713,30
5857.283667,6325.866361,24741.16621,10027.66964,60
10011.69388,10812.62939,42289.39494,17140.01992,90
14147.45845,15279.25513,59758.86449,24220.44887,120
11488.0977,12407.14552,48525.72469,19667.62327,150
11215.69013,12112.94534,47375.07509,19201.2615,180
11100.89186,11988.96321,46890.16723,19004.72687,210
8439.440581,9114.595827,35648.19701,14448.32227,240
8178.56515,8832.850362,34546.25919,14001.70354,270
7707.213185,8323.79024,32555.2685,13194.74897,300
4593.869273,4961.378815,19404.50381,7864.704196,330
3676.795294,3970.938917,15530.78332,6294.673542,360
3278.354389,3540.62274,13847.76894,5612.542713,390
5857.283667,6325.866361,24741.16621,10027.66964,420
10011.69388,10812.62939,42289.39494,17140.01992,450
14147.45845,15279.25513,59758.86449,24220.44887,480
11488.0977,12407.14552,48525.72469,19667.62327,510
11215.69013,12112.94534,47375.07509,19201.2615,540
11100.89186,11988.96321,46890.16723,19004.72687,570
8439.440581,9114.595827,35648.19701,14448.32227,600
8178.56515,8832.850362,34546.25919,14001.70354,630
7707.213185,8323.79024,32555.2685,13194.74897,660
4593.869273,4961.378815,19404.50381,7864.704196,690
3676.795294,3970.938917,15530.78332,6294.673542,720
3278.354389,3540.62274,13847.76894,5612.542713,750
5857.283667,6325.866361,24741.16621,10027.66964,780
10011.69388,10812.62939,42289.39494,17140.01992,810
14147.45845,15279.25513,59758.86449,24220.44887,840
11488.0977,12407.14552,48525.72469,19667.62327,870
11215.69013,12112.94534,47375.07509,19201.2615,900
11100.89186,11988.96321,46890.16723,19004.72687,930
8439.440581,9114.595827,35648.19701,14448.32227,960
8178.56515,8832.850362,34546.25919,14001.70354,990
7707.213185,8323.79024,32555.2685,13194.74897,1020
4593.869273,4961.378815,19404.50381,7864.704196,1050
3676.795294,3970.938917,15530.78332,6294.673542,1080
3278.354389,3540.62274,13847.76894,5612.542713,1110
5857.283667,6325.866361,24741.16621,10027.66964,1140
10011.69388,10812.62939,42289.39494,17140.01992,1170
14147.45845,15279.25513,59758.86449,24220.44887,1200
11488.0977,12407.14552,48525.72469,19667.62327,1230
11215.69013,12112.94534,47375.07509,19201.2615,1260
11100.89186,11988.96321,46890.16723,19004.72687,1290
8439.440581,9114.595827,35648.19701,14448.32227,1320
8178.56515,8832.850362,34546.25919,14001.70354,1350
7707.213185,8323.79024,32555.2685,13194.74897,1380
4593.869273,4961.378815,19404.50381,7864.704196,1410
3676.795294,3970.938917,15530.78332,6294.673542,1440
3278.354389,3540.62274,13847.76894,5612.542713,1470
5857.283667,6325.866361,24741.16621,10027.66964,1500
10011.69388,10812.62939,42289.39494,17140.01992,1530
14147.45845,15279.25513,59758.86449,24220.44887,1560
11488.0977,12407.14552,48525.72469,19667.62327,1590
11215.69013,12112.94534,47375.07509,19201.2615,1620
11100.89186,11988.96321,46890.16723,19004.72687,1650
8439.440581,9114.595827,35648.19701,14448.32227,1680
8178.56515,8832.850362,34546.25919,14001.70354,1710
7707.213185,8323.79024,32555.2685,13194.74897,1740
4593.869273,4961.378815,19404.50381,7864.704196,1770
3676.795294,3970.938917,15530.78332,6294.673542,1800
3278.354389,3540.62274,13847.76894,5612.542713,1830
5857.283667,6325.866361,24741.16621,10027.66964,1860
10011.69388,10812.62939,42289.39494,17140.01992,1890
14147.45845,15279.25513,59758.86449,24220.44887,1920
11488.0977,12407.14552,48525.72469,19667.62327,1950
11215.69013,12112.94534,47375.07509,19201.2615,1980
11100.89186,11988.96321,46890.16723,19004.72687,2010
8439.440581,9114.595827,35648.19701,14448.32227,2040
8178.56515,8832.850362,34546.25919,14001.70354,2070
7707.213185,8323.79024,32555.2685,13194.74897,2100
4593.869273,4961.378815,19404.50381,7864.704196,2130
3676.795294,3970.938917,15530.78332,6294.673542,2160
3278.354389,3540.62274,13847.76894,5612.542713,2190
5857.283667,6325.866361,24741.16621,10027.66964,2220
10011.69388,10812.62939,42289.39494,17140.01992,2250
14147.45845,15279.25513,59758.86449,24220.44887,2280
11488.0977,12407.14552,48525.72469,19667.62327,2310
11215.69013,12112.94534,47375.07509,19201.2615,2340
11100.89186,11988.96321,46890.16723,19004.72687,2370
8439.440581,9114.595827,35648.19701,14448.32227,2400
8178.56515,8832.850362,34546.25919,14001.70354,2430
7707.213185,8323.79024,32555.2685,13194.74897,2460
4593.869273,4961.378815,19404.50381,7864.704196,2490
3676.795294,3970.938917,15530.78332,6294.673542,2520
3278.354389,3540.62274,13847.76894,5612.542713,2550
5857.283667,6325.866361,24741.16621,10027.66964,2580
10011.69388,10812.62939,42289.39494,17140.01992,2610
14147.45845,15279.25513,59758.86449,24220.44887,2640
11488.0977,12407.14552,48525.72469,19667.62327,2670
11215.69013,12112.94534,47375.07509,19201.2615,2700
11100.89186,11988.96321,46890.16723,19004.72687,2730
8439.440581,9114.595827,35648.19701,14448.32227,2760
8178.56515,8832.850362,34546.25919,14001.70354,2790
7707.213185,8323.79024,32555.2685,13194.74897,2820
4593.869273,4961.378815,19404.50381,7864.704196,2850
3676.795294,3970.938917,15530.78332,6294.673542,2880
3278.354389,3540.62274,13847.76894,5612.542713,2910
5857.283667,6325.866361,24741.16621,10027.66964,2940
10011.69388,10812.62939,42289.39494,17140.01992,2970
14147.45845,15279.25513,59758.86449,24220.44887,3000
11488.0977,12407.14552,48525.72469,19667.62327,3030
11215.69013,12112.94534,47375.07509,19201.2615,3060
11100.89186,11988.96321,46890.16723,19004.72687,3090
8439.440581,9114.595827,35648.19701,14448.32227,3120
8178.56515,8832.850362,34546.25919,14001.70354,3150
7707.213185,8323.79024,32555.2685,13194.74897,3180
4593.869273,4961.378815,19404.50381,7864.704196,3210
3676.795294,3970.938917,15530.78332,6294.673542,3240
3278.354389,3540.62274,13847.76894,5612.542713,3270
5857.283667,6325.866361,24741.16621,10027.66964,3300
10011.69388,10812.62939,42289.39494,17140.01992,3330
14147.45845,15279.25513,59758.86449,24220.44887,3360
11488.0977,12407.14552,48525.72469,19667.62327,3390
11215.69013,12112.94534,47375.07509,19201.2615,3420
11100.89186,11988.96321,46890.16723,19004.72687,3450
8439.440581,9114.595827,35648.19701,14448.32227,3480
8178.56515,8832.850362,34546.25919,14001.70354,3510
7707.213185,8323.79024,32555.2685,13194.74897,3540
4593.869273,4961.378815,19404.50381,7864.704196,3570
3676.795294,3970.938917,15530.78332,6294.673542,3600
3278.354389,3540.62274,13847.76894,5612.542713,3630
5857.283667,6325.866361,24741.16621,10027.66964,3660
10011.69388,10812.62939,42289.39494,17140.01992,3690
14147.45845,15279.25513,59758.86449,24220.44887,3720
11488.0977,12407.14552,48525.72469,19667.62327,3750
11215.69013,12112.94534,47375.07509,19201.2615,3780
11100.89186,11988.96321,46890.16723,19004.72687,3810
8439.440581,9114.595827,35648.19701,14448.32227,3840
8178.56515,8832.850362,34546.25919,14001.70354,3870
7707.213185,8323.79024,32555.2685,13194.74897,3900
4593.869273,4961.378815,19404.50381,7864.704196,3930
3676.795294,3970.938917,15530.78332,6294.673542,3960
3278.354389,3540.62274,13847.76894,5612.542713,3990
5857.283667,6325.866361,24741.16621,10027.66964,4020
10011.69388,10812.62939,42289.39494,17140.01992,4050
14147.45845,15279.25513,59758.86449,24220.44887,4080
11488.0977,12407.14552,48525.72469,19667.62327,4110
11215.69013,12112.94534,47375.07509,19201.2615,4140
11100.89186,11988.96321,46890.16723,19004.72687,4170
8439.440581,9114.595827,35648.19701,14448.32227,4200
8178.56515,8832.850362,34546.25919,14001.70354,4230
7707.213185,8323.79024,32555.2685,13194.74897,4260
4593.869273,4961.378815,19404.50381,7864.704196,4290
3676.795294,3970.938917,15530.78332,6294.673542,4320
3278.354389,3540.62274,13847.76894,5612.542713,4350
5857.283667,6325.866361,24741.16621,10027.66964,4380
10011.69388,10812.62939,42289.39494,17140.01992,4410
14147.45845,15279.25513,59758.86449,24220.44887,4440
11488.0977,12407.14552,48525.72469,19667.62327,4470
11215.69013,12112.94534,47375.07509,19201.2615,4500
11100.89186,11988.96321,46890.16723,19004.72687,4530
8439.440581,9114.595827,35648.19701,14448.32227,4560
8178.56515,8832.850362,34546.25919,14001.70354,4590
7707.213185,8323.79024,32555.2685,13194.74897,4620
4593.869273,4961.378815,19404.50381,7864.704196,4650
3676.795294,3970.938917,15530.78332,6294.673542,4680
3278.354389,3540.62274,13847.76894,5612.542713,4710
5857.283667,6325.866361,24741.16621,10027.66964,4740
10011.69388,10812.62939,42289.39494,17140.01992,4770
14147.45845,15279.25513,59758.86449,24220.44887,4800
11488.0977,12407.14552,48525.72469,19667.62327,4830
11215.69013,12112.94534,47375.07509,19201.2615,4860
11100.89186,11988.96321,46890.16723,19004.72687,4890
8439.440581,9114.595827,35648.19701,14448.32227,4920
8178.56515,8832.850362,34546.25919,14001.70354,4950
7707.213185,8323.79024,32555.2685,13194.74897,4980
4593.869273,4961.378815,19404.50381,7864.704196,5010
3676.795294,3970.938917,15530.78332,6294.673542,5040
3278.354389,3540.62274,13847.76894,5612.542713,5070
5857.283667,6325.866361,24741.16621,10027.66964,5100
10011.69388,10812.62939,42289.39494,17140.01992,5130
14147.45845,15279.25513,59758.86449,24220.44887,5160
11488.0977,12407.14552,48525.72469,19667.62327,5190
11215.69013,12112.94534,47375.07509,19201.2615,5220
