ZL,ZM,ZS,ZG,Time
11100.89186,11988.96321,46890.16723,19004.72687,5250
8439.440581,9114.595827,35648.19701,14448.32227,5280
8178.56515,8832.850362,34546.25919,14001.70354,5310
7707.213185,8323.79024,32555.2685,13194.74897,5340
4593.869273,4961.378815,19404.50381,7864.704196,5370
3676.795294,3970.938917,15530.78332,6294.673542,5400
3278.354389,3540.62274,13847.76894,5612.542713,5430
5857.283667,6325.866361,24741.16621,10027.66964,5460
10011.69388,10812.62939,42289.39494,17140.01992,5490
14147.45845,15279.25513,59758.86449,24220.44887,5520
11488.0977,12407.14552,48525.72469,19667.62327,5550
11215.69013,12112.94534,47375.07509,19201.2615,5580
11100.89186,11988.96321,46890.16723,19004.72687,5610
8439.440581,9114.595827,35648.19701,14448.32227,5640
8178.56515,8832.850362,34546.25919,14001.70354,5670
7707.213185,8323.79024,32555.2685,13194.74897,5700
4593.869273,4961.378815,19404.50381,7864.704196,5730
3676.795294,3970.938917,15530.78332,6294.673542,5760
3278.354389,3540.62274,13847.76894,5612.542713,5790
5857.283667,6325.866361,24741.16621,10027.66964,5820
10011.69388,10812.62939,42289.39494,17140.01992,5850
14147.45845,15279.25513,59758.86449,24220.44887,5880
11488.0977,12407.14552,48525.72469,19667.62327,5910
11215.69013,12112.94534,47375.07509,19201.2615,5940
11100.89186,11988.96321,46890.16723,19004.72687,5970
8439.440581,9114.595827,35648.19701,14448.32227,6000
8178.56515,8832.850362,34546.25919,14001.70354,6030
7707.213185,8323.79024,32555.2685,13194.74897,6060
4593.869273,4961.378815,19404.50381,7864.704196,6090
3676.795294,3970.938917,15530.78332,6294.673542,6120
3278.354389,3540.62274,13847.76894,5612.542713,6150
5857.283667,6325.866361,24741.16621,10027.66964,6180
10011.69388,10812.62939,42289.39494,17140.01992,6210
14147.45845,15279.25513,59758.86449,24220.44887,6240
11488.0977,12407.14552,48525.72469,19667.62327,6270
11215.69013,12112.94534,47375.07509,19201.2615,6300
11100.89186,11988.96321,46890.16723,19004.72687,6330
8439.440581,9114.595827,35648.19701,14448.32227,6360
8178.56515,8832.850362,34546.25919,14001.70354,6390
7707.213185,8323.79024,32555.2685,13194.74897,6420
4593.869273,4961.378815,19404.50381,7864.704196,6450
3676.795294,3970.938917,15530.78332,6294.673542,6480
3278.354389,3540.62274,13847.76894,5612.542713,6510
5857.283667,6325.866361,24741.16621,10027.66964,6540
10011.69388,10812.62939,42289.39494,17140.01992,6570
14147.45845,15279.25513,59758.86449,24220.44887,6600
11488.0977,12407.14552,48525.72469,19667.62327,6630
11215.69013,12112.94534,47375.07509,19201.2615,6660
11100.89186,11988.96321,46890.16723,19004.72687,6690
8439.440581,9114.595827,35648.19701,14448.32227,6720
8178.56515,8832.850362,34546.25919,14001.70354,6750
7707.213185,8323.79024,32555.2685,13194.74897,6780
4593.869273,4961.378815,19404.50381,7864.704196,6810
3676.795294,3970.938917,15530.78332,6294.673542,6840
3278.354389,3540.62274,13847.76894,5612.542713,6870
5857.283667,6325.866361,24741.16621,10027.66964,6900
10011.69388,10812.62939,42289.39494,17140.01992,6930
14147.45845,15279.25513,59758.86449,24220.44887,6960
11488.0977,12407.14552,48525.72469,19667.62327,6990
11215.69013,12112.94534,47375.07509,19201.2615,7020
11100.89186,11988.96321,46890.16723,19004.72687,7050
8439.440581,9114.595827,35648.19701,14448.32227,7080
8178.56515,8832.850362,34546.25919,14001.70354,7110
7707.213185,8323.79024,32555.2685,13194.74897,7140
4593.869273,4961.378815,19404.50381,7864.704196,7170
