Time FPL FPS FVD FVS FVB FVT FMM FBP FDD FDE FDS FDB FDC FDO FDF SHB SHD SHP SSK SB PIN REP WHB WHT CEP BFS BFF BG BML BMS PWN ZL BD BC ZG PL DF PS ZM ZS PB BB BO DL DR DC DIN RelFPL RelFPS RelFVD RelFVS RelFVB RelFVT RelFMM RelFBP RelFDD RelFDE RelFDS RelFDB RelFDC RelFDO RelFDF RelSHB RelSHD RelSHP RelSSK RelSB RelPIN RelREP RelWHB RelWHT RelCEP RelBFS RelBFF RelBG RelBML RelBMS RelPWN RelZL RelBD RelBC RelZG RelPL RelDF RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 597491.218443 1236505.056101 10828.444013 92376.175587 90041.897848 54170.555865 19.803139 39987.268301 63254.026016 123544.177458 111794.856474 114548.048671 262894.674852 221499.343733 73046.378607 216179.797804 18575.688534 7190.168334 78086.849672 1849.967029 7717.479449 804.437654 103070.326583 19753.505071 37182.854138 56370.081442 1812530.540998 5035438.607494 20570.604788 803480.247045 19488.888086 527309.679439 375230138.323282 6025037.335526 903571.980459 2494086.809665 914946.360139 742789.123928 562723.720864 2228999.914508 31842.855922 15062593.338816 60250373.355264 15062593.338816 60250373.355264 0.000000 3228194716.681930 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 5242.779605 1.692570
3.650000e+02 894991.557536 2264613.567303 17788.985225 161503.883024 142135.193773 66910.490143 16.583866 53882.236895 84530.483724 623827.239848 137618.994988 142169.061136 371743.047213 179563.405993 69254.325624 225491.516794 19634.404927 9510.296911 116475.049788 1888.019948 5456.827175 651.608146 158971.025636 20018.019446 46978.491370 61418.005775 1810152.352483 5023440.793909 21090.071745 802276.972081 27109.145933 961744.704938 375490488.524441 5894090.868491 895945.808349 173024913.268973 882124.454659 6506977.262671 580711.258822 3461889.972112 12783523.573632 54126000.946775 102342205.443085 342711019.027135 20231272.244209 0.000000 3583097020.159898 1.497916 1.831463 1.642802 1.748328 1.578545 1.235182 0.837436 1.347485 1.336365 5.049426 1.230996 1.241130 1.414038 0.810672 0.948087 1.043074 1.056995 1.322681 1.491609 1.020570 0.707074 0.810017 1.542355 1.013391 1.263445 1.089550 0.998688 0.997617 1.025253 0.998502 1.391005 1.823871 1.000694 0.978266 0.991560 69.374054 0.964127 8.760195 1.031965 1.553114 401.456565 3.593405 1.698615 22.752458 0.335787 1.000000 1.109938 1.154298 2.652831 37.761905 147.436314 8086.937141 0.099470
7.300000e+02 1243370.791843 3117747.395076 25277.749259 193770.916868 154019.797545 97432.706435 14.632818 66526.980682 87831.741950 1305718.199928 167327.791297 159670.772045 480508.040787 184548.358997 86938.517472 250058.007265 21248.746607 12216.103984 139398.784147 2049.350927 4328.817494 592.648117 160527.836391 16747.493913 62740.939808 73405.778631 1807823.249018 5012124.376362 21631.953140 800875.867888 41253.191899 6692730.317484 383140019.314008 5789074.619749 929362.437426 223052822.767867 831373.087824 4467818.047074 653016.676637 8350880.065129 15019123.089359 171570226.869440 395865462.921366 1087744789.850497 75097354.346415 0.000000 3822486211.985539 2.080986 2.521419 2.334384 2.097629 1.710535 1.798629 0.738914 1.663704 1.388556 10.568836 1.496740 1.393920 1.827759 0.833178 1.190182 1.156713 1.143901 1.699001 1.785176 1.107777 0.560911 0.736723 1.557459 0.847824 1.687362 1.302212 0.997403 0.995370 1.051595 0.996759 2.116755 12.692220 1.021080 0.960836 1.028543 89.432662 0.908658 6.014921 1.160457 3.746469 471.663821 11.390484 6.570340 72.214974 1.246421 1.000000 1.184094 1.074298 3.051061 37.380952 223.672031 8166.240422 0.100598
1.095000e+03 1626201.739273 4136458.213708 34510.768124 221679.825085 162275.939496 149924.849827 14.629578 83648.152977 98056.202209 2344911.619747 216633.787472 173295.543085 551779.195194 182344.412555 87943.645501 282765.777456 22925.307185 15090.308192 162661.676074 2433.953575 3723.121062 553.627141 163382.350560 15524.175304 87861.058436 87849.462539 1805304.849101 4998888.754689 22178.627348 799023.695858 47009.488209 43055565.614681 395427963.188357 5709204.107398 976433.911213 227143367.910023 783860.200079 2582175.266520 683490.636661 8174788.086214 15022223.405014 316891324.942310 520995708.969247 1977590698.627541 87193176.846848 0.000000 4428638508.263794 2.721717 3.345282 3.187048 2.399751 1.802227 2.767645 0.738750 2.091870 1.550197 18.980349 1.937780 1.512863 2.098860 0.823228 1.203943 1.308012 1.234157 2.098742 2.083087 1.315674 0.482427 0.688216 1.585154 0.785895 2.362946 1.558441 0.996013 0.992741 1.078171 0.994453 2.412118 81.651385 1.053828 0.947580 1.080638 91.072759 0.856728 3.476323 1.214611 3.667469 471.761184 21.038298 8.647178 131.291515 1.447181 1.000000 1.371862 0.993515 3.468080 37.333333 262.599397 8311.466328 0.101999
1.460000e+03 1988294.390873 5458126.007470 42294.329113 248196.447210 168267.803506 215249.722288 15.738804 97462.893885 126354.959949 3837319.764433 292830.113895 190322.546307 598194.390291 178171.101639 93892.384256 322805.049446 24620.974094 18229.365541 187856.952008 3203.545885 3303.344775 518.675173 167218.396262 14706.198274 135019.163313 104769.439383 1802624.589632 4983960.423143 22749.755518 796195.009710 42232.274411 155372969.816898 409649631.444893 5645546.220673 1083884.348816 191352948.192605 738911.370558 4294979.853643 665087.479352 7335115.262423 16969415.067504 495231922.251144 570593444.339233 3058249724.316495 98099052.474892 0.000000 5319951750.461319 3.327738 4.414156 3.905855 2.686802 1.868772 3.973556 0.794763 2.437348 1.997580 31.060304 2.619352 1.661508 2.275415 0.804387 1.285380 1.493225 1.325441 2.535318 2.405744 1.731677 0.428034 0.644767 1.622372 0.744486 3.631221 1.858600 0.994535 0.989777 1.105935 0.990933 2.166993 294.652224 1.091729 0.937014 1.199555 76.722650 0.807601 5.782233 1.181908 3.290765 532.911216 32.878264 9.470372 203.036068 1.628190 1.000000 1.647965 0.909476 3.967733 37.238095 283.064954 8506.571855 0.103670
1.825000e+03 2291626.286210 7214518.233525 47404.619415 272853.113206 176922.829545 277056.586135 17.114891 107345.335955 150356.526760 5591537.663012 362407.287382 212000.297725 651141.184299 177202.287547 99690.899270 374607.213006 26382.581907 21635.311165 216262.790959 3921.766950 3068.801703 494.336530 172103.490119 14504.733229 203021.958774 121979.300133 1799813.861324 4968185.499847 23326.327522 791984.633340 35734.111823 324199312.665050 422472335.932499 5597116.738350 1329164.464000 140325500.994658 696732.246710 3833289.717896 510547.018089 4332214.568489 18610052.740244 682489184.656434 580284363.320759 4172651850.659534 96758812.248281 0.000000 6487964602.452611 3.835414 5.834605 4.377787 2.953717 1.964894 5.114524 0.864251 2.684488 2.377027 45.259419 3.241717 1.850754 2.476814 0.800013 1.364762 1.732850 1.420275 3.009013 2.769516 2.119912 0.397643 0.614512 1.669768 0.734287 5.460096 2.163901 0.992984 0.986644 1.133964 0.985693 1.833563 614.817678 1.125902 0.928976 1.471011 56.263279 0.761501 5.160670 0.907278 1.943569 584.434160 45.310205 9.631216 277.020813 1.605945 1.000000 2.009781 0.860544 4.590168 37.047619 292.312852 8755.034988 0.105349
2.190000e+03 2494904.423148 8837769.942147 49858.927890 281531.643531 181787.411550 327529.396318 18.270425 111024.226702 153461.178923 7355954.924398 402390.814202 226185.690370 696995.409015 177390.745099 100313.644191 439087.762375 27979.442577 24840.022904 236816.412404 4427.326010 2897.889728 469.990893 177635.775458 14254.059714 281914.096418 142360.155421 1796904.283152 4951380.112727 23928.262208 785875.103336 40989.083584 415752175.113704 433139077.167816 5558391.720063 1822907.433013 106478971.269868 656751.035203 3686584.643484 393116.240681 3322025.109071 21798407.232451 872278838.390883 575742724.366706 5285928733.087347 93874136.089018 0.000000 7952279829.977283 4.175634 7.147379 4.604441 3.047665 2.018920 6.046262 0.922602 2.776489 2.426109 59.541089 3.599368 1.974592 2.651234 0.800864 1.373287 2.031123 1.506240 3.454721 3.032731 2.393192 0.375497 0.584248 1.723442 0.721596 7.581830 2.525456 0.991379 0.983307 1.163226 0.978089 2.103203 788.440249 1.154329 0.922549 2.017446 42.692568 0.717803 4.963165 0.698595 1.490366 684.561940 57.910269 9.555837 350.930853 1.558067 1.000000 2.463383 0.814601 5.258386 37.047619 295.468506 9036.435738 0.107380
2.555000e+03 2621656.875456 9727811.877349 51315.066315 289315.885946 185796.202111 368216.133647 18.973761 114016.752562 156331.706498 8999562.813220 426395.684581 234421.437862 723565.623110 175123.493109 99810.126119 515066.910411 29472.875824 27555.281276 261249.114532 4846.713848 2785.406684 452.771959 183601.582828 14360.347706 362947.557384 165773.197252 1793877.663992 4933896.532869 24535.339111 778679.864006 49971.740282 422570371.994876 441413782.439238 5528810.928441 2578819.551711 108977874.576434 619215.089010 3746251.269307 394399.690990 2780561.855128 21682546.574371 1042389752.568219 557260096.382178 6272733163.179285 85201816.925453 0.000000 9263753215.737173 4.387775 7.867183 4.738914 3.131932 2.063442 6.797348 0.958119 2.851326 2.471490 72.844896 3.814090 2.046490 2.752302 0.790628 1.366394 2.382586 1.586637 3.832356 3.345622 2.619892 0.360922 0.562843 1.781323 0.726977 9.761154 2.940801 0.989709 0.979835 1.192738 0.969134 2.564114 801.370406 1.176381 0.917639 2.854028 43.694499 0.676777 5.043492 0.700876 1.247448 680.923427 69.203870 9.249073 416.444434 1.414129 1.000000 2.869639 0.747788 5.549577 36.952381 292.815471 9339.915281 0.109755
2.920000e+03 2664056.594449 9761883.058486 52587.302351 289750.467353 186517.022422 404700.828706 19.034129 113650.167070 154242.951112 10492362.971354 442889.402422 238029.251463 739966.018338 172678.969404 98130.477678 602680.344607 30802.170230 29687.729223 285385.097089 5144.052657 2686.267375 434.264348 189663.034815 14270.591181 447614.303478 194187.843512 1790784.449401 4915585.543219 25168.647829 769645.793119 58555.781301 431167976.221657 448042480.081463 5505226.001410 3825612.905556 102579857.873870 583652.059941 3033229.841462 431028.124375 2967843.152977 22727922.582774 1209230424.847694 545529520.560037 7245114781.336341 83049970.125404 0.000000 10566822222.191776 4.458738 7.894738 4.856404 3.136636 2.071447 7.470864 0.961167 2.842159 2.438469 84.928025 3.961626 2.077986 2.814686 0.779591 1.343400 2.787866 1.658198 4.128934 3.654714 2.780619 0.348076 0.539836 1.840132 0.722433 12.038191 3.444874 0.988002 0.976198 1.223525 0.957890 3.004573 817.675065 1.194047 0.913725 4.233877 41.129225 0.637908 4.083568 0.765968 1.331468 713.752643 80.280361 9.054376 481.000490 1.378414 1.000000 3.273291 0.661777 5.544933 37.047619 290.773471 9648.293534 0.112697
3.285000e+03 2647694.713588 8810416.858021 53363.579685 295545.397265 187820.080864 438050.975669 18.584679 114236.399428 155601.370253 11777855.642760 454315.877800 238452.316758 745712.444815 169541.166364 96721.376095 703724.077094 32077.049705 31419.378959 297603.881606 5406.326706 2635.238946 420.711265 195921.109193 14459.055317 523025.238598 226609.899401 1787551.444660 4896810.625914 25806.951234 760181.713474 60720.604616 427874517.823032 453087364.961495 5487411.797944 5687498.926750 108838368.304019 550277.347509 2903251.317221 430308.384406 2465802.995869 21831007.191733 1363970529.597940 533763370.056425 8140911155.885693 78243769.819313 0.000000 11724618621.522358 4.431353 7.125257 4.928093 3.199368 2.085919 8.086514 0.938471 2.856819 2.459944 95.333150 4.063835 2.081679 2.836545 0.765425 1.324109 3.255272 1.726830 4.369770 3.811191 2.922391 0.341464 0.522988 1.900849 0.731974 14.066302 4.020039 0.986219 0.972470 1.254555 0.946111 3.115653 811.429288 1.207492 0.910768 6.294461 43.638565 0.601431 3.908581 0.764689 1.106237 685.585716 90.553499 8.859088 540.472080 1.298644 1.000000 3.631943 0.559991 5.013823 36.857143 288.033941 9966.701049 0.116085
