#
#Atlantis2 Updated to Version 6536
#
#
#
#Atlantis path https://svnserv.csiro.au/svn/ext/atlantis/Atlantis/trunk/atlantis Relative ^/Atlantis/trunk/atlantis
#
#
#
#Atlantis SVN Last Change Date 2020-11-17 00:11:57 +0000 (Tue, 17 Nov 2020)

# Log file for run of Atlantis - only ecological errors and important events are recorded here #
# Key to indices used in Atlantis, which may appear in logged errors here:
atlantisMerged -i neus_init.nc 0 -o neus_output.nc -r at_run.prm -f at_force_LINUX.prm -p at_physics.prm -b at_biology.prm -h at_harvest.prm -e at_economics.prm -s neus_groups.csv -q neus_fisheries.csv -t . -d Master_12152020
Counter: 12, sp: BFT-0, MigrateAway: 4381, MigrateBack: 4575 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 13, sp: BFT-0, MigrateAway: 4746, MigrateBack: 4940 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 14, sp: BFT-0, MigrateAway: 5111, MigrateBack: 5305 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 15, sp: BFT-0, MigrateAway: 5476, MigrateBack: 5670 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 16, sp: BFT-0, MigrateAway: 5841, MigrateBack: 6035 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 17, sp: BFT-0, MigrateAway: 6206, MigrateBack: 6400 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 18, sp: BFT-0, MigrateAway: 6571, MigrateBack: 6765 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 19, sp: BFT-0, MigrateAway: 6936, MigrateBack: 7130 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 20, sp: BFT-0, MigrateAway: 7301, MigrateBack: 7495 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 21, sp: BFT-0, MigrateAway: 7666, MigrateBack: 7860 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 22, sp: BFT-0, MigrateAway: 8031, MigrateBack: 8225 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 23, sp: BFT-0, MigrateAway: 8396, MigrateBack: 8590 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 24, sp: BFT-0, MigrateAway: 8761, MigrateBack: 8955 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
