Name,SOURCE
NEMAP_Footprint,NEMAP_Trawl
RI_1_Footprint,RI_Trawl
RI_2_Footprint,RI_Trawl
MA_Footprint,MA_Trawl
ME_NH_Footprint,ME-NH_Trawl
Long_Island_Footprint,CT-DEEP
NJ_Footprint,NJ_Trawl
DE_Coastl_Footprint,DE_Juv_Trawl
MD_Footprint,MD_Trawl
NC_Footprint_1,NC120
NC_2_Footprint,NC120
NC_3_Footprint,NC120
NC_4_Footprintw,NC120
NH_Seine_1_Footprint,NH_Juv Seine
NH_Seine_2_Footprint,NH_Juv Seine
NH_Seine_3_Footprint,NH_Juv Seine
Long_Island_Seine_1_Footprint,NY_WLI Seine
Long_Island_Seine_2_Footprint,NY_WLI Seine
Long_Island_Seine_3_Footprint,NY_WLI Seine
Long_Island_Seine_4_Footprint,NY_WLI Seine
Long_Island_Seine_5_Footprint,NY_WLI Seine
Long_Island_Seine_6_Footprint,NY_WLI Seine
Long_Island_Seine_7_Footprint,NY_WLI Seine
Long_Island_Seine_8_Footprint,NY_WLI Seine
Long_Island_Seine_9_Footprint,NY_WLI Seine
Long_Island_Seine_10_Footprint,NY_WLI Seine
Long_Island_Seine_11_Footprint,NY_WLI Seine
Long_Island_Seine_12_Footprint,NY_WLI Seine
MA_Footprint_MarthasVineyard,MA_Trawl
