Code,Functional_Group,Species,Scientific_Name,SVSPP,NESPP3,Species_Itis,isFishedSpecies
FDF,Miscellaneous demersal fish,Offshore lizardfish,NA,437,NA,NA,FALSE
FDF,Miscellaneous demersal fish,Oyster toadfish,BATRACHOIDIDAE,185,451,164412,FALSE
FDF,Miscellaneous demersal fish,Pipefish unclassified,NA,421,NA,NA,FALSE
FDF,Miscellaneous demersal fish,Red lizardfish,NA,438,NA,NA,FALSE
FDF,Miscellaneous demersal fish,Roughhead grenadier,MACROURUS BERGLAX,92,137,165421,FALSE
FDF,Miscellaneous demersal fish,Sand perch,DIPLECTRUM FORMOSUM,530,311,167793,FALSE
FDF,Miscellaneous demersal fish,Sculpins unclassified,COTTIDAE,160,326,167196,FALSE
FDF,Miscellaneous demersal fish,Sea raven,HEMITRIPTERUS AMERICANUS,164,327,167289,FALSE
FDF,Miscellaneous demersal fish,Searobin uncl,TRIGLIDAE,174,341,166972,FALSE
FDF,Miscellaneous demersal fish,Sheepshead,ARCHOSARGUS PROBATOCEPHALUS,631,356,169189,FALSE
FDF,Miscellaneous demersal fish,Shorthorn sculpin,NA,162,NA,NA,FALSE
FDF,Miscellaneous demersal fish,Shortjaw lizardfish,NA,434,NA,NA,FALSE
FDF,Miscellaneous demersal fish,Shortnose sturgeon,ACIPENSER BREVIROSTRUM,379,422,161069,FALSE
FDF,Miscellaneous demersal fish,Spotted hake,UROPHYCIS REGIA,78,662,164731,FALSE
FDF,Miscellaneous demersal fish,Striped searobin,PRIONOTUS EVOLANS,172,342,166975,FALSE
FDF,Miscellaneous demersal fish,Sturgeon unclassified,ACIPENSERIDAE,NA,421,161064,FALSE
FDF,Miscellaneous demersal fish,Threebeard rockling,NA,85,NA,NA,FALSE
FDF,Miscellaneous demersal fish,Threespine stickleback,NA,115,NA,NA,FALSE
FDF,Miscellaneous demersal fish,Tomcod,MICROGADUS TOMCOD,453,453,164720,FALSE
FDF,Miscellaneous demersal fish,Trumpetfish,NA,119,NA,NA,FALSE
FDF,Miscellaneous demersal fish,Whitenose pipefish,NA,491,NA,NA,FALSE
FDF,Miscellaneous demersal fish,Wrymouth,NA,191,NA,NA,FALSE
FDF,Miscellaneous demersal fish,Northern stargazer,ASTROSCOPUS GUTTATUS,NA,31,171055,FALSE
FLA,Other flatfish,Gulfstream flounder,CITHARICHTHYS ARCTIFRONS,109,129,172719,FALSE
FLA,Other flatfish,Hogchoker,TRINECTES MACULATUS,118,128,172982,FALSE
FLA,Other flatfish,Greenland halibut,REINHARDTIUS HIPPOGLOSSOIDES,NA,158,172930,FALSE
FLA,Other flatfish,Nk flounders,PLEURONECTIFORMES,NA,126,172702,FALSE
FLA,Other flatfish,Southern flounder,PARALICHTHYS LETHOSTIGMA,NA,130,172738,FALSE
FOU,Fourspot flounder,Fourspot flounder,PARALICHTHYS OBLONGUS,104,127,172739,TRUE
GOO,Goosefish,Goosefish,LOPHIUS AMERICANUS,197,11,164499,TRUE
GOO,Goosefish,Goosefish,LOPHIUS AMERICANUS,197,12,164499,TRUE
GOO,Goosefish,Blackfin goosefish,LOPHIUS GASTROPHYSUS,NA,13,164500,FALSE
HAD,Haddock,Haddock,MELANOGRAMMUS AEGLEFINUS,74,147,164744,TRUE
HAD,Haddock,Haddock,MELANOGRAMMUS AEGLEFINUS,74,148,164744,TRUE
HAL,Atlantic halibut,Atlantic halibut,HIPPOGLOSSUS HIPPOGLOSSUS,101,159,172933,TRUE
HER,Atlantic herring,Atlantic herring,CLUPEA HARENGUS,32,168,161722,TRUE
HER,Atlantic herring,Nk herring,CLUPEIDAE,NA,167,161700,FALSE
INV,Invasive vertebrate species,All Invasive vertebrate species,NA,NA,NA,NA,FALSE
ISQ,Illex squid,Illex squid,ILLEX ILLECEBROSUS,502,802,82521,TRUE
LOB,Lobster,Lobster,HOMARUS AMERICANUS,301,727,97314,TRUE
LSK,Little skate,Little skate,LEUCORAJA ERINACEA,26,366,564130,TRUE
LSQ,Loligo squid,Loligo squid,LOLIGO PEALEII,503,801,82372,TRUE
MA,Macroalgae,Macroalgae,NA,NA,NA,NA,TRUE
MA,Macroalgae,Fingered kelp,LAMINARIA DIGITATA,NA,820,11228,FALSE
MA,Macroalgae,Rockweed,FUCACEAE,NA,832,11329,FALSE
MAK,Atlantic mackerel,Atlantic mackerel,SCOMBER SCOMBRUS,121,212,172414,TRUE
MB,Microphtybenthos,Microphtybenthos,NA,NA,NA,NA,FALSE
MEN,Atlantic menhaden,Atlantic menhaden,BREVOORTIA,36,221,161731,TRUE
MPF,Migratory mesopelagic fish,Lanternfish,MYCTOPHIDAE,56,655,162575,FALSE
MPF,Migratory mesopelagic fish,Weitzmans pearlsides,NA,229,NA,NA,FALSE
MPF,Migratory mesopelagic fish,Cobia,RACHYCENTRON CANADUM,NA,57,168566,FALSE
NSH,Northern shrimp other pandalids,Aesop shrimp,NA,297,NA,NA,FALSE
NSH,Northern shrimp other pandalids,Bristled longbeak,NA,296,NA,NA,FALSE
NSH,Northern shrimp other pandalids,Northern shrimp and other pandalids,PANDALUS BOREALIS,306,736,96967,FALSE
OHK,Offshore hake,Offshore hake,MERLUCCIUS ALBIDUS,69,508,164793,TRUE
OPT,Ocean pout,Ocean pout,ZOARCES AMERICANUS,193,250,630979,TRUE
OSH,Other shrimps,Brown shrimp,FARFANTEPENAEUS AZTECUS,913,731,551570,FALSE
