Species,Cohort,Nums.Value,
51,Benthopelagic_Fish,10,8442797.4467533
52,Billfish,1,17500.9509641
53,Billfish,2,11159.0990168
54,Billfish,3,7115.3556807
55,Billfish,4,4536.95109055
56,Billfish,5,2892.88773773
57,Billfish,6,1844.58666111
58,Billfish,7,1176.16038317
59,Billfish,8,749.952971205
60,Billfish,9,478.191126745
61,Billfish,10,304.908124328
62,Black_Sea_Bass,1,465883519.171
63,Black_Sea_Bass,2,297060447.1911
64,Black_Sea_Bass,3,189414103.8626
65,Black_Sea_Bass,4,120775764.9507
66,Black_Sea_Bass,5,77010027.7628
67,Black_Sea_Bass,6,49103761.6552
68,Black_Sea_Bass,7,31309940.78104
69,Black_Sea_Bass,8,19964099.66828
70,Black_Sea_Bass,9,12729671.97101
71,Black_Sea_Bass,10,8116797.20936
72,Blue_Shark,1,19967.9128225
73,Blue_Shark,2,12732.1033451
74,Blue_Shark,3,8118.3475229
75,Blue_Shark,4,5176.4869245
76,Blue_Shark,5,3300.6737895
77,Blue_Shark,6,2104.6025278
78,Blue_Shark,7,1341.95381971
79,Blue_Shark,8,855.66753362
80,Blue_Shark,9,545.59770784
81,Blue_Shark,10,347.88845796
82,BluefinTuna,1,17500.9509641
83,BluefinTuna,2,11159.0990168
84,BluefinTuna,3,7115.3556807
85,BluefinTuna,4,4536.95109055
86,BluefinTuna,5,2892.88773773
87,BluefinTuna,6,1844.58666111
88,BluefinTuna,7,1176.16038317
89,BluefinTuna,8,749.952971205
90,BluefinTuna,9,478.191126745
91,BluefinTuna,10,304.908124328
92,Bluefish,1,2489945.787043
93,Bluefish,2,1587659.5297355
94,Bluefish,3,1012336.4113467
95,Bluefish,4,645494.1948116
96,Bluefish,5,411585.2703171
97,Bluefish,6,262438.3550825
98,Bluefish,7,167338.08331576
99,Bluefish,8,106699.47275398
100,Bluefish,9,68034.58758678
101,Bluefish,10,43380.76832783
102,Butterfish,1,484595103.76912
103,Butterfish,2,308991480.372967
104,Butterfish,3,197021666.470128
105,Butterfish,4,125626561.022773
106,Butterfish,5,80103031.895523
107,Butterfish,6,51075948.168409
108,Butterfish,7,32567462.4189541
109,Butterfish,8,20765930.8687239
110,Butterfish,9,13240942.1159236
111,Butterfish,10,8442797.4467533
112,Cod,1,17402358.181401
113,Cod,2,11096233.481417
114,Cod,3,7075270.844381
115,Cod,4,4511391.8708198
116,Cod,5,2876590.4599774
117,Cod,6,1834195.0577995
118,Cod,7,1169534.4044796
119,Cod,8,745728.0606178
120,Cod,9,475497.20489388
121,Cod,10,303190.4038456
122,Demersal_Shark,1,2730006.9017558
123,Demersal_Shark,2,1740729.254641
124,Demersal_Shark,3,1109937.97701
125,Demersal_Shark,4,707727.70073877
126,Demersal_Shark,5,451267.10566944
127,Demersal_Shark,6,287740.61045373
128,Demersal_Shark,7,183471.51361081
129,Demersal_Shark,8,116986.60209699
130,Demersal_Shark,9,74593.95085795
131,Demersal_Shark,10,47563.203015008
132,Drums_Croakers,1,465883519.171
133,Drums_Croakers,2,297060447.1911
134,Drums_Croakers,3,189414103.8626
135,Drums_Croakers,4,120775764.9507
136,Drums_Croakers,5,77010027.7628
137,Drums_Croakers,6,49103761.6552
138,Drums_Croakers,7,31309940.78104
139,Drums_Croakers,8,19964099.66828
140,Drums_Croakers,9,12729671.97101
141,Drums_Croakers,10,8116797.20936
142,Fourspotflounder,1,106249568.8021
143,Fourspotflounder,2,67747716.1667
144,Fourspotflounder,3,43197851.0383
145,Fourspotflounder,4,27544165.90885
146,Fourspotflounder,5,17562935.59648
147,Fourspotflounder,6,11198622.16181
148,Fourspotflounder,7,7140556.74965
149,Fourspotflounder,8,4553020.00198
150,Fourspotflounder,9,2903133.728179
151,Fourspotflounder,10,1851119.792992
152,Haddock,1,103763887.95651
153,Haddock,2,66162776.080853
154,Haddock,3,42187248.613888
155,Haddock,4,26899777.358397
156,Haddock,5,17152055.316132
157,Haddock,6,10936633.329108
158,Haddock,7,6973505.294018
159,Haddock,8,4446503.2904509
160,Haddock,9,2835215.6744637
161,Haddock,10,1807813.3300173
