Lat1,Lon1,inside_lat,inside_long,Area,Size.km,MeanDepth,Lat2,Lon2,neighbour,nrLayers
35.7855463315,-76.4591865256,35.6534205985,-75.7323325444,0,12615.790945,-100,36.8986476105,-75.9834305552,NA,2
36.8986476105,-75.9834305552,35.6534205985,-75.7323325444,0,12615.790945,-100,35.8384462477,-75.5682453247,1,2
35.8384462477,-75.5682453247,35.6534205985,-75.7323325444,0,12615.790945,-100,35.8299400816,-75.2786404961,1,2
35.8299400816,-75.2786404961,35.6534205985,-75.7323325444,0,12615.790945,-100,35.4829077674,-75.2215983467,2,2
35.4829077674,-75.2215983467,35.6534205985,-75.7323325444,0,12615.790945,-100,35.5095685325,-74.874943613,2,2
35.5095685325,-74.874943613,35.6534205985,-75.7323325444,0,12615.790945,-100,35.491790705,-74.7771696713,NA,2
35.491790705,-74.7771696713,35.6534205985,-75.7323325444,0,12615.790945,-100,34.7998477417,-74.8414989048,29,2
34.7998477417,-74.8414989048,35.6534205985,-75.7323325444,0,12615.790945,-100,34.7612808685,-74.8446796806,NA,2
34.7612808685,-74.8446796806,35.6534205985,-75.7323325444,0,12615.790945,-100,35.7855463315,-76.4591865256,NA,2
36.8986476105,-75.9834305552,38.1558890244,-75.0612824122,1,12352.862582,-17.6,36.905054383,-75.9859823607,NA,1
36.905054383,-75.9859823607,38.1558890244,-75.0612824122,1,12352.862582,-17.6,38.4160587586,-75.0259891857,NA,1
38.4160587586,-75.0259891857,38.1558890244,-75.0612824122,1,12352.862582,-17.6,38.7449276238,-75.0348699276,NA,1
38.7449276238,-75.0348699276,38.1558890244,-75.0612824122,1,12352.862582,-17.6,39.7670740394,-74.0660109263,NA,1
39.7670740394,-74.0660109263,38.1558890244,-75.0612824122,1,12352.862582,-17.6,40.1670486627,-74.0126726063,NA,1
40.1670486627,-74.0126726063,38.1558890244,-75.0612824122,1,12352.862582,-17.6,40.1670537388,-74.006386549,NA,1
40.1670537388,-74.006386549,38.1558890244,-75.0612824122,1,12352.862582,-17.6,40.1670502477,-73.8217375613,4,1
40.1670502477,-73.8217375613,38.1558890244,-75.0612824122,1,12352.862582,-17.6,40.0050536777,-73.8377470099,5,1
40.0050536777,-73.8377470099,38.1558890244,-75.0612824122,1,12352.862582,-17.6,39.3937620462,-73.914915562,2,1
39.3937620462,-73.914915562,38.1558890244,-75.0612824122,1,12352.862582,-17.6,38.5671580983,-74.8482167953,2,1
38.5671580983,-74.8482167953,38.1558890244,-75.0612824122,1,12352.862582,-17.6,38.3805021671,-74.7948902481,2,1
38.3805021671,-74.7948902481,38.1558890244,-75.0612824122,1,12352.862582,-17.6,37.7316583995,-75.1771088002,2,1
37.7316583995,-75.1771088002,38.1558890244,-75.0612824122,1,12352.862582,-17.6,37.6783305208,-75.3282142681,2,1
37.6783305208,-75.3282142681,38.1558890244,-75.0612824122,1,12352.862582,-17.6,36.7006177834,-75.6926658764,2,1
36.7006177834,-75.6926658764,38.1558890244,-75.0612824122,1,12352.862582,-17.6,35.8299400816,-75.2786404961,2,1
35.8299400816,-75.2786404961,38.1558890244,-75.0612824122,1,12352.862582,-17.6,35.8384462477,-75.5682453247,0,1
35.8384462477,-75.5682453247,38.1558890244,-75.0612824122,1,12352.862582,-17.6,36.8986476105,-75.9834305552,0,1
35.4829077674,-75.2215983467,37.9180246873,-74.7139256357,2,29964.601483,-36.5,35.8299400816,-75.2786404961,0,1
35.8299400816,-75.2786404961,37.9180246873,-74.7139256357,2,29964.601483,-36.5,36.7006177834,-75.6926658764,1,1
36.7006177834,-75.6926658764,37.9180246873,-74.7139256357,2,29964.601483,-36.5,37.6783305208,-75.3282142681,1,1
37.6783305208,-75.3282142681,37.9180246873,-74.7139256357,2,29964.601483,-36.5,37.7316583995,-75.1771088002,1,1
37.7316583995,-75.1771088002,37.9180246873,-74.7139256357,2,29964.601483,-36.5,38.3805021671,-74.7948902481,1,1
38.3805021671,-74.7948902481,37.9180246873,-74.7139256357,2,29964.601483,-36.5,38.5671580983,-74.8482167953,1,1
