Species,Cohort,N.Type,RN,SN,weight mg,g,kg,weight (lbs)
Demersal_B_Fish,10,Reserve,11463.59048,4325.883201,1799999.9999361,1799.9999999361,1.7999999999,3.9683159999
Demersal_D_Fish,1,Reserve,86.61379476,32.68445085,13599.999998685,13.5999999987,0.0136,0.029982832
Demersal_D_Fish,2,Reserve,410.778659,155.0108147,64499.99999667,64.4999999967,0.0645,0.14219799
Demersal_D_Fish,3,Reserve,1207.498198,455.6596972,189600.00000492,189.6000000049,0.1896,0.417995952
Demersal_D_Fish,4,Reserve,2950.600817,1113.434271,463300.0001631,463.3000001631,0.4633000002,1.0214004464
Demersal_D_Fish,5,Reserve,5676.387887,2142.033165,891299.9999565,891.2999999565,0.8913,1.9649778059
Demersal_D_Fish,6,Reserve,10697.44052,4036.770007,1679699.9999127,1679.6999999127,1.6796999999,3.7031002138
Demersal_D_Fish,7,Reserve,17466.05383,6590.963711,2742500.0001471,2742.5000001471,2.7425000001,6.0461703503
Demersal_D_Fish,8,Reserve,28742.40567,10846.19082,4513100.000202,4513.100000202,4.5131000002,9.9496705224
Demersal_D_Fish,9,Reserve,47758.59168,18022.11007,7499000.000127,7499.000000127,7.4990000001,16.5324453803
Demersal_D_Fish,10,Reserve,72973.07739,27537.01034,11458150.002474,11458.150002474,11.4581500025,25.2608666585
Demersal_DC_Fish,1,Reserve,337.9848595,127.5414564,53070.00000804,53.070000008,0.05307,0.1169991834
Demersal_DC_Fish,2,Reserve,920.8447489,347.4885845,144590.00001045,144.5900000105,0.14459,0.3187660058
Demersal_DC_Fish,3,Reserve,1940.913242,732.4200913,304759.99998993,304.7599999899,0.30476,0.6718799912
Demersal_DC_Fish,4,Reserve,2955.281782,1115.200673,464035.0000353,464.0350000353,0.464035,1.0230208418
Demersal_DC_Fish,5,Reserve,4108.646359,1550.432588,645134.9998668,645.1349998668,0.6451349999,1.4222775234
Demersal_DC_Fish,6,Reserve,5237.555275,1976.435953,822395.0000433,822.3950000433,0.822395,1.813068465
Demersal_DC_Fish,7,Reserve,6030.517304,2275.666907,946905.0000027,946.9050000027,0.946905,2.0875657011
Demersal_DC_Fish,8,Reserve,6496.034608,2451.333814,1020000.0000054,1020.0000000054,1.02,2.2487124
Demersal_DC_Fish,9,Reserve,7005.527518,2643.59529,1100000.000169,1100.000000169,1.1000000002,2.4250820004
Demersal_DC_Fish,10,Reserve,8151.886566,3076.18361,1280000.000121,1280.000000121,1.2800000001,2.8219136003
Demersal_E_Fish,1,Reserve,127.3732276,48.0653689,19999.99999929,19.9999999993,0.02,0.0440924
Demersal_E_Fish,2,Reserve,318.433069,120.1634223,50000.00001903,50.000000019,0.05,0.110231
Demersal_E_Fish,3,Reserve,509.4929104,192.2614756,79999.99999716,79.9999999972,0.08,0.1763696
Demersal_E_Fish,4,Reserve,643.2347994,242.730113,101000.0000193,101.0000000193,0.101,0.22266662
Demersal_E_Fish,5,Reserve,675.0781062,254.7464552,106000.00000872,106.0000000087,0.106,0.23368972
Demersal_E_Fish,6,Reserve,750.8014901,283.321317,117890.0000037,117.8900000037,0.11789,0.2599026518
Demersal_E_Fish,7,Reserve,833.275655,314.4436434,130840.00001874,130.8400000187,0.13084,0.2884524808
Demersal_E_Fish,8,Reserve,915.7498198,345.5659698,143790.00003378,143.7900000338,0.14379,0.3170023099
Demersal_E_Fish,9,Reserve,987.77938,372.7469359,155100.00002799,155.100000028,0.1551,0.3419365621
Demersal_E_Fish,10,Reserve,1083.309301,408.7959625,170099.99999625,170.0999999963,0.1701,0.375005862
Demersal_F_Fish,1,Reserve,98.07738524,37.01033405,15399.999998205,15.3999999982,0.0154,0.033951148
Demersal_F_Fish,2,Reserve,625.4025475,236.0009613,98199.99999693,98.1999999969,0.0982,0.216493684
Demersal_F_Fish,3,Reserve,1373.72026,518.3850036,215699.99999796,215.699999998,0.2157,0.475536534
Demersal_F_Fish,4,Reserve,2310.550348,871.9057917,362799.99992637,362.7999999264,0.3627999999,0.7998361358
Demersal_F_Fish,5,Reserve,3290.687334,1241.768805,516699.9997605,516.6999997605,0.5166999998,1.1391271535
Demersal_F_Fish,6,Reserve,4396.923816,1659.216534,690399.9997974,690.3999997974,0.6903999998,1.5220696476
Demersal_F_Fish,7,Reserve,5613.975006,2118.481134,881499.9998574,881.4999998574,0.8814999999,1.9433725297
Demersal_F_Fish,8,Reserve,6500.492671,2453.016102,1020700.0000422,1020.7000000422,1.0207,2.2502556341
Demersal_F_Fish,9,Reserve,7108.062965,2682.287911,1116099.9997671,1116.0999997671,1.1160999998,2.4605763815
Demersal_F_Fish,10,Reserve,7706.080269,2907.954819,1210000.0001859,1210.0000001859,1.2100000002,2.6675902004
Demersal_M_Fish,1,Reserve,0,0,0,0,0,0
Demersal_M_Fish,2,Reserve,0,0,0,0,0,0
Demersal_M_Fish,3,Reserve,0,0,0,0,0,0
Demersal_M_Fish,4,Reserve,0,0,0,0,0,0
Demersal_M_Fish,5,Reserve,0,0,0,0,0,0
Demersal_M_Fish,6,Reserve,0,0,0,0,0,0
Demersal_M_Fish,7,Reserve,0,0,0,0,0,0
Demersal_M_Fish,8,Reserve,0,0,0,0,0,0
Demersal_M_Fish,9,Reserve,0,0,0,0,0,0
Demersal_M_Fish,10,Reserve,0,0,0,0,0,0
Demersal_O_Fish,1,Reserve,769.9711609,290.555155,120899.9999955,120.8999999955,0.1209,0.266538558
Demersal_O_Fish,2,Reserve,5265.609228,1987.02235,826799.999835,826.799999835,0.8267999998,1.8227798156
Demersal_O_Fish,3,Reserve,10551.59817,3981.73516,1656800.000076,1656.800000076,1.6568000001,3.6526144162
Demersal_O_Fish,4,Reserve,15055.5155,5681.326604,2363999.9999244,2363.9999999244,2.3639999999,5.2117216798
Demersal_O_Fish,5,Reserve,17801.36385,6717.495794,2795149.9998834,2795.1499998834,2.7951499999,6.1622435927
Demersal_O_Fish,6,Reserve,19288.12785,7278.538813,3028600.0000893,3028.6000000893,3.0286000001,6.6769121322
Demersal_O_Fish,7,Reserve,20590.20068,7769.887048,3233050.0006728,3233.0500006728,3.2330500007,7.1276466925
Demersal_O_Fish,8,Reserve,21440.09853,8090.60322,3366499.999842,3366.499999842,3.3664999998,7.4218532297
Demersal_O_Fish,9,Reserve,21971.88176,8291.276134,3449999.9993574,3449.9999993574,3.4499999994,7.6059389986
Demersal_O_Fish,10,Reserve,22927.18097,8651.766403,3600000.0002883,3600.0000002883,3.6000000003,7.9366320006
Demersal_P_Fish,1,Reserve,0,0,0,0,0,0
Demersal_P_Fish,2,Reserve,0,0,0,0,0,0
Demersal_P_Fish,3,Reserve,0,0,0,0,0,0
Demersal_P_Fish,4,Reserve,0,0,0,0,0,0
Demersal_P_Fish,5,Reserve,0,0,0,0,0,0
Demersal_P_Fish,6,Reserve,0,0,0,0,0,0
Demersal_P_Fish,7,Reserve,0,0,0,0,0,0
Demersal_P_Fish,8,Reserve,0,0,0,0,0,0
Demersal_P_Fish,9,Reserve,0,0,0,0,0,0
Demersal_P_Fish,10,Reserve,0,0,0,0,0,0
Demersal_S_Fish,1,Reserve,819.6467196,309.3006489,128700.00000729,128.7000000073,0.1287,0.283734594
Demersal_S_Fish,2,Reserve,8538.464311,3222.062004,1340699.9998644,1340.6999998644,1.3406999999,2.9557340337
Demersal_S_Fish,3,Reserve,20993.65538,7922.134104,3296400.0006744,3296.4000006744,3.2964000007,7.2673093695
Demersal_S_Fish,4,Reserve,38758.08098,14625.69094,6085750.000134,6085.750000134,6.0857500001,13.4167661653
Demersal_S_Fish,5,Reserve,62715.71136,23666.30617,9847549.997337,9847.549997337,9.8475499973,21.7101056751
Demersal_S_Fish,6,Reserve,105805.7558,39926.70031,16613499.998991,16613.499998991,16.613499999,36.6264543678
Demersal_S_Fish,7,Reserve,131958.6638,49795.72218,20719999.999098,20719.999999098,20.7199999991,45.679726398
Demersal_S_Fish,8,Reserve,140110.5503,52871.90579,21999999.999219,21999.999999219,21.9999999992,48.5016399983
Demersal_S_Fish,9,Reserve,152847.8731,57678.44268,23999999.999148,23999.999999148,23.9999999991,52.9108799981
Demersal_S_Fish,10,Reserve,159216.5345,60081.71113,25000000.001193,25000.000001193,25.0000000012,55.1155000026
Dugong,1,Reserve,0,0,0,0,0,0
Dugong,2,Reserve,0,0,0,0,0,0
Dugong,3,Reserve,0,0,0,0,0,0
Dugong,4,Reserve,0,0,0,0,0,0
Dugong,5,Reserve,0,0,0,0,0,0
Dugong,6,Reserve,0,0,0,0,0,0
Dugong,7,Reserve,0,0,0,0,0,0
Dugong,8,Reserve,0,0,0,0,0,0
Dugong,9,Reserve,0,0,0,0,0,0
Dugong,10,Reserve,0,0,0,0,0,0
Mesopel_M_Fish,1,Reserve,7.06921413,2.667627974,1109.9999999814,1.11,0.00111,0.0024471282
Mesopel_M_Fish,2,Reserve,10.25354482,3.869262196,1609.9999997556,1.6099999998,0.00161,0.0035494382
Mesopel_M_Fish,3,Reserve,13.43787551,5.070896419,2109.9999999459,2.1099999999,0.00211,0.0046517482
