Species,Cohort,N.Type,RN,SN,weight mg,g,kg
Benthopel_Fish,1,Reserve,359,135,55188,55.188,0.055188
Benthopel_Fish,2,Reserve,833,314,128363.2,128.3632,0.1283632
Benthopel_Fish,3,Reserve,1474,556,227292.8,227.2928,0.2272928
Benthopel_Fish,4,Reserve,2227,840,343392,343.392,0.343392
Benthopel_Fish,5,Reserve,3037,1146,468484.8,468.4848,0.4684848
Benthopel_Fish,6,Reserve,3860,1457,595621.6,595.6216,0.5956216
Benthopel_Fish,7,Reserve,4664,1760,719488,719.488,0.719488
Benthopel_Fish,8,Reserve,5424,2047,836813.6,836.8136,0.8368136
Benthopel_Fish,9,Reserve,6128,2312,945145.6,945.1456,0.9451456
Benthopel_Fish,10,Reserve,6768,2554,1044075.2,1044.0752,1.0440752
Demersal_B_Fish,1,Reserve,822,431,176192.8,176.1928,0.1761928
Demersal_B_Fish,2,Reserve,1965,862,352385.6,352.3856,0.3523856
Demersal_B_Fish,3,Reserve,3221,1368,559238.4,559.2384,0.5592384
Demersal_B_Fish,4,Reserve,4375,1892,773449.6,773.4496,0.7734496
Demersal_B_Fish,5,Reserve,5337,2398,980302.4,980.3024,0.9803024
Demersal_B_Fish,6,Reserve,6095,2861,1169576.8,1169.5768,1.1695768
Demersal_B_Fish,7,Reserve,6669,3270,1336776,1336.776,1.336776
Demersal_B_Fish,8,Reserve,7096,3622,1480673.6,1480.6736,1.4806736
Demersal_B_Fish,9,Reserve,7407,3921,1602904.8,1602.9048,1.6029048
Demersal_B_Fish,10,Reserve,7631,4169,1704287.2,1704.2872,1.7042872
Demersal_D_Fish,1,Reserve,1007,380,155344,155.344,0.155344
Demersal_D_Fish,2,Reserve,5552,2095,856436,856.436,0.856436
Demersal_D_Fish,3,Reserve,7861,2966,1212500.8,1212.5008,1.2125008
Demersal_D_Fish,4,Reserve,8962,3381,1382152.8,1382.1528,1.3821528
Demersal_D_Fish,5,Reserve,9438,3561,1455736.8,1455.7368,1.4557368
Demersal_D_Fish,6,Reserve,9636,3636,1486396.8,1486.3968,1.4863968
Demersal_D_Fish,7,Reserve,9718,3667,1499069.6,1499.0696,1.4990696
Demersal_D_Fish,8,Reserve,9751,3679,1503975.2,1503.9752,1.5039752
Demersal_D_Fish,9,Reserve,9764,3684,1506019.2,1506.0192,1.5060192
