"Area","iface","neighbour","length.km","L","R","Lat1","Lon1","Lat2","Lon2","Size.km","MeanDepth","inside_lat","inside_long"
0,0,1,123.7460497,1,0,36.8986476104926,-75.9834305552021,35.8384462477152,-75.5682453246776,12615.790945,-100,35.6534205984948,-75.7323325443932
0,1,1,26.24730662,1,0,35.8384462477152,-75.5682453246776,35.8299400815888,-75.278640496056,12615.790945,-100,35.6534205984948,-75.7323325443932
0,2,2,38.93770348,2,0,35.8299400815888,-75.278640496056,35.4829077674404,-75.2215983467069,12615.790945,-100,35.6534205984948,-75.7323325443932
0,3,2,31.65838362,2,0,35.4829077674404,-75.2215983467069,35.5095685325298,-74.8749436129883,12615.790945,-100,35.6534205984948,-75.7323325443932
0,4,3,9.104798012,3,0,35.5095685325298,-74.8749436129883,35.4917907050021,-74.7771696712775,12615.790945,-100,35.6534205984948,-75.7323325443932
1,0,0,123.7460497,1,0,36.8986476104926,-75.9834305552021,35.8384462477152,-75.5682453246776,12352.862582,-17.6,38.1558890243532,-75.0612824121502
1,1,0,26.24730662,1,0,35.8384462477152,-75.5682453246776,35.8299400815888,-75.278640496056,12352.862582,-17.6,38.1558890243532,-75.0612824121502
1,5,2,103.7856339,2,1,36.7006177833838,-75.6926658763708,35.8299400815888,-75.278640496056,12352.862582,-17.6,38.1558890243532,-75.0612824121502
1,6,2,113.5064399,2,1,37.6783305207923,-75.3282142681345,36.7006177833838,-75.6926658763708,12352.862582,-17.6,38.1558890243532,-75.0612824121502
1,7,2,14.6119555,2,1,37.7316583995412,-75.1771088002245,37.6783305207923,-75.3282142681345,12352.862582,-17.6,38.1558890243532,-75.0612824121502
1,8,2,79.60101784,2,1,38.3805021670961,-74.7948902481448,37.7316583995412,-75.1771088002245,12352.862582,-17.6,38.1558890243532,-75.0612824121502
1,9,2,21.27317033,2,1,38.5671580983199,-74.8482167953071,38.3805021670961,-74.7948902481448,12352.862582,-17.6,38.1558890243532,-75.0612824121502
1,10,2,122.4850584,2,1,39.3937620462252,-73.9149155619844,38.5671580983199,-74.8482167953071,12352.862582,-17.6,38.1558890243532,-75.0612824121502
1,11,2,68.26335854,2,1,40.0050536776559,-73.8377470099279,39.3937620462252,-73.9149155619844,12352.862582,-17.6,38.1558890243532,-75.0612824121502
1,20,5,18.05715277,1,5,40.0050536776559,-73.8377470099279,40.1670502476736,-73.8217375613162,12352.862582,-17.6,38.1558890243532,-75.0612824121502
