"Code","1","2","3","4","5","6","7","8","9","10"
"RED",3.39,75.85,276.63,593.82,988.86,1421.49,1859.16,2279.13,2667.49,3016.98
"REP",6164.38,892378.9,1484982.97,1643376.8,1679503.41,1687476.83,1689224.2,1689606.54,1689690.16,1689708.44
"RHK",128.92,2040.42,5737.98,9899.57,13673.92,16741.93,19084.57,20806.35,22041.55,22913.79
"RWH",6426133.5,459204770.96,578465941.28,592120873.32,593572484.45,593725621.19,593741763.24,593743464.58,593743643.9,593743662.81
"SAL",1314.26,20266.81,55732.91,94361.3,128323.09,155133.5,175049.07,189310.5,199291.28,206174.23
"SB",1100.88,5365.76,6978.11,7377.16,7468.23,7488.67,7493.23,7494.25,7494.47,7494.51
"SCU",46.32,848.66,2590.15,4738.94,6846.67,8683.06,10176.13,11338.8,12219.07,12873.08
"SDF",577.28,4173.12,12406.46,25686.07,43680.13,65664.3,90751.99,118037.39,146677.77,175935.44
"SHK",88.62,485.27,1196.1,2135.87,3206.96,4326.38,5432.51,6483.97,7455.85,8335.72
"SK",501.29,19357.96,60564.01,105965.63,144841.6,174334.37,195282.56,209602.64,219167.83,225466.27
"SMO",1048.28,35015.11,53789.76,58734.85,59878.1,60135.21,60192.66,60205.51,60208.36,60209.01
"SSH",159.87,26950.36,117541.21,255359.77,411631.93,564659.2,702295.11,819618.78,916117.88,993557.85
"STB",376.64,5871.94,17059.63,30617.73,43936.25,55667.57,65359.13,73048.03,78987.31,83492.62
"SUF",555.97,8626.04,23332.3,38762.67,51801.68,61697.96,68773.88,73657.99,76957.11,79155.69
"SWH",28588.37,1707584.1,2459415.77,2609176.11,2635805.05,2640450.88,2641258.77,2641399.15,2641423.57,2641427.8
"TAU",44.46,898.52,3143.78,6584.13,10785.2,15323.17,19868.34,24197.16,28176.72,31742.22
"TUN",6788.42,78826.68,174956.29,250942.39,300652.76,330512.94,347704.69,357386.43,362774.96,365754.97
"TWH",1699180.78,101492054.61,146177960.09,155079122.46,156661841.92,156937970.84,156985987.94,156994333.05,156995783.23,156996035.22
"TYL",129.54,4519.83,16751.86,34780.59,55378.49,75983.84,95024.28,111739.24,125910,137632.81
"WHK",220.79,1430.84,4035.55,8108.07,13542.27,20141.28,27671.6,35895.23,44588.36,53551.16
"WIF",3121.55,18367.13,26083.92,28559.06,29274.02,29474.92,29530.91,29546.49,29550.84,29552.04
"WOL",25.7,538.05,2077.36,4862.79,8923.12,14176.49,20480.33,27663.28,35545.89,43953.48
"WPF",56.5,795.44,2114.96,3518.53,4736.09,5689.51,6394.11,6897,7248.21,7490.06
"WSK",180.53,8499.46,31569.98,63941.61,98838.79,131730.84,160393.08,184160.9,203231.74,218192.36
"WTF",19.53,395.48,1387.29,2912.48,4781.43,6807.1,8842.64,10787.47,12580.86,14192.44
"YTF",196.04,897.79,1874.6,2879.23,3776.51,4517.71,5101.57,5547.71,5881.79,6128.61
