"Species","Cohort","Nums.Value"
"Anchovies",1,484595103.76912
"Anchovies",2,308991480.372967
"Anchovies",3,197021666.470128
"Anchovies",4,125626561.022773
"Anchovies",5,80103031.895523
"Anchovies",6,51075948.168409
"Anchovies",7,32567462.4189541
"Anchovies",8,20765930.8687239
"Anchovies",9,13240942.1159236
"Anchovies",10,8442797.4467533
"Atlantic_Salmon",1,465883519.171
"Atlantic_Salmon",2,297060447.1911
"Atlantic_Salmon",3,189414103.8626
"Atlantic_Salmon",4,120775764.9507
"Atlantic_Salmon",5,77010027.7628
"Atlantic_Salmon",6,49103761.6552
"Atlantic_Salmon",7,31309940.78104
"Atlantic_Salmon",8,19964099.66828
"Atlantic_Salmon",9,12729671.97101
"Atlantic_Salmon",10,8116797.20936
"Atlantic_States_Demersals",1,465883519.171
"Atlantic_States_Demersals",2,297060447.1911
"Atlantic_States_Demersals",3,189414103.8626
"Atlantic_States_Demersals",4,120775764.9507
"Atlantic_States_Demersals",5,77010027.7628
"Atlantic_States_Demersals",6,49103761.6552
"Atlantic_States_Demersals",7,31309940.78104
"Atlantic_States_Demersals",8,19964099.66828
"Atlantic_States_Demersals",9,12729671.97101
"Atlantic_States_Demersals",10,8116797.20936
"Baleen_Whale",1,541.89113787
"Baleen_Whale",2,345.525044595
"Baleen_Whale",3,220.316495537
"Baleen_Whale",4,140.479999812
"Baleen_Whale",5,89.574002613
"Baleen_Whale",6,57.114905727
"Baleen_Whale",7,36.418071762
"Baleen_Whale",8,23.221187792
"Baleen_Whale",9,14.806483041
"Baleen_Whale",10,9.441030414
"Benthopelagic_Fish",1,484595103.76912
"Benthopelagic_Fish",2,308991480.372967
"Benthopelagic_Fish",3,197021666.470128
"Benthopelagic_Fish",4,125626561.022773
"Benthopelagic_Fish",5,80103031.895523
"Benthopelagic_Fish",6,51075948.168409
"Benthopelagic_Fish",7,32567462.4189541
"Benthopelagic_Fish",8,20765930.8687239
"Benthopelagic_Fish",9,13240942.1159236
"Benthopelagic_Fish",10,8442797.4467533
"Billfish",1,17500.9509641
"Billfish",2,11159.0990168
"Billfish",3,7115.3556807
"Billfish",4,4536.95109055
"Billfish",5,2892.88773773
"Billfish",6,1844.58666111
"Billfish",7,1176.16038317
"Billfish",8,749.952971205
"Billfish",9,478.191126745
"Billfish",10,304.908124328
"Black_Sea_Bass",1,465883519.171
"Black_Sea_Bass",2,297060447.1911
"Black_Sea_Bass",3,189414103.8626
"Black_Sea_Bass",4,120775764.9507
"Black_Sea_Bass",5,77010027.7628
"Black_Sea_Bass",6,49103761.6552
"Black_Sea_Bass",7,31309940.78104
"Black_Sea_Bass",8,19964099.66828
"Black_Sea_Bass",9,12729671.97101
"Black_Sea_Bass",10,8116797.20936
"Blue_Shark",1,19967.9128225
"Blue_Shark",2,12732.1033451
"Blue_Shark",3,8118.3475229
"Blue_Shark",4,5176.4869245
"Blue_Shark",5,3300.6737895
"Blue_Shark",6,2104.6025278
"Blue_Shark",7,1341.95381971
"Blue_Shark",8,855.66753362
"Blue_Shark",9,545.59770784
"Blue_Shark",10,347.88845796
"BluefinTuna",1,17500.9509641
"BluefinTuna",2,11159.0990168
"BluefinTuna",3,7115.3556807
"BluefinTuna",4,4536.95109055
"BluefinTuna",5,2892.88773773
"BluefinTuna",6,1844.58666111
"BluefinTuna",7,1176.16038317
"BluefinTuna",8,749.952971205
"BluefinTuna",9,478.191126745
