Code,Index,IsTurnedOn,Name,Long Name,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,isFished,IsImpacted,isTAC,GroupType,isPredator,IsCover,isSiliconDep,isAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend,numMoveEntries
MAK,0,0,Mackerel,Atlantic mackerel,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
HER,1,0,Herring,Atlantic herring,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
WHK,2,0,White_Hake,White hake,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
BLF,3,0,Bluefish,Bluefish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
WPF,4,0,Windowpane,Windowpane flounder,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
SUF,5,0,Summerflounder,Summer flounder,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
WIF,6,0,Winterflounder,Winter flounder,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
WTF,7,0,Witchflounder,Witch flounder,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FOU,8,0,Fourspotflounder,Fourspot Flounder,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
HAL,9,0,Halibut,Atlantic halibut,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
PLA,10,0,Plaice,American plaice,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FLA,11,0,Other_Flatfish,Other flatfish,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
BFT,12,0,BluefinTuna,Atlantic bluefin tuna,10,1,2,1,3,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
TUN,13,0,Tunas,Other tunas,10,1,2,1,3,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
BIL,14,0,Billfish,Billfish,10,1,2,1,3,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
MPF,15,0,Mesopelagic_Mig_Fish,Migratory mesopelagic fish ,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
BUT,16,0,Butterfish,Butterfish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
BPF,17,0,Benthopelagic_Fish,Other benthopelagic fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
ANC,18,0,Anchovies,Anchovies,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
GOO,19,0,Monkfish,Monkfish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
MEN,20,0,Menhaden,Atlantic menhaden,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
FDE,21,0,Shallow_Demersal_Fish,Shallow demersal fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
COD,22,0,Cod,Atlantic cod,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
SHK,23,0,Silver_Hake,Silver hake,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0,4
