Code,Name,LongName,Ecological,Economic,Society,Overall,Estimated Parameters,
RED,Redfish,Acadian redfish,H,H,,H,Y,x
COD,Cod,Atlantic cod,L,L,H,H,Y,x
HER,Herring,Atlantic herring,H,H,,H,Y,x
CLA,Surf_Clam,Atlantic surf clam,H,H,,H,NA,x
BG,Benthic_grazer,Benthic grazer,H,L,L,H,NA,x
BSB,Black_Sea_Bass,Black sea bass,,H,,H,Y,x
BLF,Bluefish,Bluefish,H,H,,H,Y,x
DRM,Drums_Croakers,Drums and croakers,H,M,,H,Y,x
HAD,Haddock,Haddock,H,H,H,H,Y,x
LSK,Little_Skate,Little skate,H,L,L,H,Y,x
LOB,Lobster,Lobster,H,H,H,H,NA,x
LSQ,Loligo_Squid,Loligo squid,H,H,,H,NA,x
MAK,Mackerel,Atlantic mackerel,L,M,,H,Y,
MPF,Mesopelagic_Mig_Fish,Migratory mesopelagic fish ,H,L,,H,NA,
GOO,Monkfish,Goosefish,H,H,,H,Y,
QHG,Quahog,Ocean quahog,H,M,H,H,NA,
PIN,Pinniped,Pinnipeds,H,L,H,H,NA,x
POL,Pollock,Pollock,H,H,,H,Y,x
RHK,Red_Hake,Red hake,H,L,,H,Y,x
SCU,Scup,Scup,,H,,H,Y,x
SCA,Scallop,Sea scallop,H,H,H,H,NA,x
SHK,Silver_Hake,Silver hake,H,H,,H,,x
DOG,Spiny_Dogfish,Spiny dogfish,H,L,,H,Y,x
STB,Striped_Bass,Striped bass,M,H,,H,,
SUF,Summerflounder,Summer flounder,H,H,,H,,x
WHK,White_Hake,White hake,L,H,,H,,x
WIF,Winterflounder,Winter flounder,H,H,,H,,x
WSK,Winter_Skate,Winter skate,H,L,L,H,,x
YTF,Yellowtail_Flounder,Yellowtail flounder,L,L,H,H,,x
PLA,Plaice,American plaice,H,L,L,L,Y,
ANC,Anchovies,Anchovies,L,L,L,L,NA,
BFT,BluefinTuna,Atlantic bluefin tuna,L,L,,L,NA,
HAL,Halibut,Atlantic halibut,L,L,L,L,Y,
MEN,Menhaden,Atlantic menhaden,L,L,L,L,Y,
SAL,Atlantic_Salmon,Atlantic salmon,L,L,L,L,,
SDF,Atlantic_States_Demersals,Atlantic states demersal fish,L,L,,L,,
BWH,Baleen_Whale,Baleen whales,L,L,H,L,NA,
BC,Benthic_Carniv,Benthic Carnivore,,L,L,L,NA,
BIL,Billfish,Billfish,L,L,,L,NA,
BLS,Blue_Shark,Blue shark,?,L,,L,NA,
BUT,Butterfish,Butterfish,L,L,L,L,Y,
ZL,Carniv_Zoo,Carnivorous zooplankton,,L,L,L,,
DC,Carrion,Carrion,,L,L,L,NA,
BD,Deposit_Feeder,Deposit Feeder,,L,L,L,NA,
PL,Diatom,Diatom,,L,L,L,,
DF,DinoFlag,Dinoflagellates,,L,L,L,NA,
FOU,Fourspotflounder,Fourspot Flounder,H,L,L,L,,
ZG,Gelat_Zoo,Gelatinous zooplankton,H,L,L,L,,
ISQ,Illex_Squid,Illex squid,L,L,,L,,
INV,Invasive_Species,Invasive vertebrate species,L,L,L,L,,
DL,Lab_Det,Labile detritus,,L,L,L,NA,
MA,Macroalgae,Macroalgae,,L,L,L,,
REP,Turtle,Marine turtles,L,L,H,L,,
BO,Meiobenth,Meiobenthos,,L,L,L,NA,
ZM,Zoo,Mesozooplankton,,L,L,L,,
MB,MicroPB,Microphtybenthos,,L,L,L,,
ZS,MicroZoo,Microzooplankton,,L,L,L,,
FDF,Misc_Demersal_Fish,Miscellaneous demersal fish,L,L,,L,,
SK,Skate,Northeast skate complex,L,L,L,L,,
NSH,Northern_Shrimp,Northern shrimp other pandalids,L,L,L,L,,
OPT,Ocean_Pout,Ocean pout,L,L,,L,Y,
OHK,Offshore_Hake,Offshore hake,L,L,L,L,Y,
BFF,Filter_Other,Other benthic filter feeder,L,L,L,L,NA,
BPF,Benthopelagic_Fish,Other benthopelagic fish,L,L,L,L,,
DSH,Demersal_Shark,Other demersal sharks,?,L,,L,NA,
FLA,Other_Flatfish,Other flatfish,L,L,,L,,
PSH,Pelagic_Shark,Other pelagic sharks,?,L,,L,,
OSH,Other_Shrimp,Other shrimps,L,L,L,L,,
TUN,Tunas,Other tunas,L,L,,L,,
PB,Pelag_Bact,Pelagic Bacteria,,L,L,L,,
PS,PicoPhytopl,Pico-phytoplankton,,L,L,L,,
POR,Porbeagle_Shark,Porbeagle shark,?,L,,L,,
RCB,Red_Crab,Red deep-sea crab,L,L,L,L,,
DR,Ref_Det,Refractory detritus,,L,L,L,NA,
RWH,Right_Whale,Right whales,L,L,H,L,,
SSH,Sandbar_Shark,Sandbar shark,?,L,,L,,
SB,Seabird,Seabirds,L,L,H,L,,
SG,Seagrass,Seagrass,,L,L,L,,
BB,Sed_Bact,Sediment Bacteria,,L,L,L,NA,
FDE,Shallow_Demersal_Fish,Shallow demersal fish,L,L,L,L,,
BMS,Macrobenth_Shallow,Shallow macrozoobenthos,L,L,L,L,NA,
SWH,Small_Whale,Small toothed whales,L,L,H,L,,
SMO,Smooth_Dogfish,Smooth dogfish,?,L,,L,,
TAU,Tautog,Tautog,L,L,,L,,
TYL,Tilefish,Tilefish,L,L,,L,,
TWH,Tooth_Whale,Toothed whales ,L,L,L,L,,
WPF,Windowpane,Windowpane flounder,L,L,L,L,,
WTF,Witchflounder,Witch flounder,L,L,L,L,,
WOL,Wolffish,Wolffish,L,L,,L,,
