"experiment.id","ID","run.id","scalar","target.species","OutputDir","sh.script"
"fspike_UnfishedRecovery",1,"fspike_UnfishedRecovery_1",0,"MAK","fspike_UnfishedRecovery/fspike_UnfishedRecovery_MAK_0/","/runAtlantis_fspike_UnfishedRecovery_1.sh"
"fspike_UnfishedRecovery",2,"fspike_UnfishedRecovery_2",1,"MAK","fspike_UnfishedRecovery/fspike_UnfishedRecovery_MAK_1/","/runAtlantis_fspike_UnfishedRecovery_2.sh"
"fspike_UnfishedRecovery",3,"fspike_UnfishedRecovery_3",2,"MAK","fspike_UnfishedRecovery/fspike_UnfishedRecovery_MAK_2/","/runAtlantis_fspike_UnfishedRecovery_3.sh"
"fspike_UnfishedRecovery",4,"fspike_UnfishedRecovery_4",5,"MAK","fspike_UnfishedRecovery/fspike_UnfishedRecovery_MAK_5/","/runAtlantis_fspike_UnfishedRecovery_4.sh"
"fspike_UnfishedRecovery",5,"fspike_UnfishedRecovery_5",10,"MAK","fspike_UnfishedRecovery/fspike_UnfishedRecovery_MAK_10/","/runAtlantis_fspike_UnfishedRecovery_5.sh"
"fspike_UnfishedRecovery",6,"fspike_UnfishedRecovery_6",25,"MAK","fspike_UnfishedRecovery/fspike_UnfishedRecovery_MAK_25/","/runAtlantis_fspike_UnfishedRecovery_6.sh"
"fspike_UnfishedRecovery",7,"fspike_UnfishedRecovery_7",50,"MAK","fspike_UnfishedRecovery/fspike_UnfishedRecovery_MAK_50/","/runAtlantis_fspike_UnfishedRecovery_7.sh"
"fspike_UnfishedRecovery",8,"fspike_UnfishedRecovery_8",100,"MAK","fspike_UnfishedRecovery/fspike_UnfishedRecovery_MAK_100/","/runAtlantis_fspike_UnfishedRecovery_8.sh"
"fspike_UnfishedRecovery",9,"fspike_UnfishedRecovery_9",0,"HER","fspike_UnfishedRecovery/fspike_UnfishedRecovery_HER_0/","/runAtlantis_fspike_UnfishedRecovery_9.sh"
"fspike_UnfishedRecovery",10,"fspike_UnfishedRecovery_10",1,"HER","fspike_UnfishedRecovery/fspike_UnfishedRecovery_HER_1/","/runAtlantis_fspike_UnfishedRecovery_10.sh"
