"Code","recruit.numbers"
"BLF",43367500
"BSB",31237429060
"BUT",8377000
"DOG",NA
"FDF",NA
"HAD",10761000
"HER",602132000
"MAK",180570007.324219
"PLA",20930000
"POL",22200000
"RED",45467000
"SCU",1.12e+08
"SUF",50731000
"TYL",1499300
"WHK",4616500
"WIF",13393000
"YTF",6822000
