Yr,Value,StdDev,CV,upper,lower
1963,1956810,451274,0.230617178,2841307.04,1072312.96
1964,1968280,451545,0.229410958,2853308.2,1083251.8
1965,1979940,452722,0.228654404,2867275.12,1092604.88
1966,1974760,454676,0.230243675,2865924.96,1083595.04
1967,1967620,458339,0.232940812,2865964.44,1069275.56
1968,1958870,461014,0.235346909,2862457.44,1055282.56
1969,1949050,463050,0.237577281,2856628,1041472
1970,1938830,464461,0.239557362,2849173.56,1028486.44
1971,1921340,463715,0.241349787,2830221.4,1012458.6
1972,1878170,460204,0.245027873,2780169.84,976170.16
1973,1823470,453741,0.248833817,2712802.36,934137.64
1974,1756360,445154,0.253452595,2628861.84,883858.16
1975,1689730,435612,0.257799767,2543529.52,835930.48
1976,1642710,426296,0.259507765,2478250.16,807169.84
1977,1609410,418696,0.260154964,2430054.16,788765.84
1978,1602530,415354,0.259186411,2416623.84,788436.16
1979,1652670,421067,0.254779841,2477961.32,827378.68
1980,1746690,435498,0.249327585,2600266.08,893113.92
1981,1867080,456758,0.244637616,2762325.68,971834.32
1982,1969160,477172,0.242322615,2904417.12,1033902.88
1983,2069140,495507,0.239474854,3040333.72,1097946.28
1984,2143680,509217,0.237543383,3141745.32,1145614.68
1985,2176800,515631,0.236875689,3187436.76,1166163.24
1986,2176910,515259,0.236692835,3186817.64,1167002.36
1987,2155800,510545,0.236823917,3156468.2,1155131.8
1988,2123390,502920,0.236847682,3109113.2,1137666.8
1989,2082520,493849,0.237140099,3050464.04,1114575.96
1990,2062130,488897,0.237083501,3020368.12,1103891.88
1991,2056100,487995,0.23734011,3012570.2,1099629.8
1992,2061870,489677,0.237491694,3021636.92,1102103.08
1993,2077880,494086,0.237783703,3046288.56,1109471.44
1994,2112000,502015,0.237696496,3095949.4,1128050.6
1995,2173550,515919,0.23736238,3184751.24,1162348.76
1996,2228520,526986,0.236473534,3261412.56,1195627.44
1997,2234540,525969,0.235381331,3265439.24,1203640.76
1998,2205610,516079,0.233984703,3217124.84,1194095.16
1999,2159450,501441,0.232207738,3142274.36,1176625.64
2000,2098070,483508,0.230453703,3045745.68,1150394.32
2001,2027290,463809,0.228782759,2936355.64,1118224.36
2002,1946720,442910,0.227516027,2814823.6,1078616.4
2003,1849660,419627,0.2268671,2672128.92,1027191.08
2004,1734330,393512,0.226895689,2505613.52,963046.48
2005,1620180,367937,0.227096372,2341336.52,899023.48
2006,1517060,344447,0.227049029,2192176.12,841943.88
2007,1427680,324699,0.227431217,2064090.04,791269.96
2008,1360090,309864,0.2278261,1967423.44,752756.56
2009,1312890,299249,0.22793151,1899418.04,726361.96
2010,1277930,291349,0.227985101,1848974.04,706885.96
2011,1250470,285040,0.227946292,1809148.4,691791.6
2012,1241760,283363,0.228194659,1797151.48,686368.52
2013,1252030,286676,0.228968954,1813914.96,690145.04
2014,1267680,292661,0.230863467,1841295.56,694064.44
2015,1276400,297850,0.233351614,1860186,692614
2016,1272750,300314,0.235956786,1861365.44,684134.56
2017,1262220,301285,0.238694522,1852738.6,671701.4
2018,1253410,303111,0.24182909,1847507.56,659312.44
2019,1223800,299016,0.244334042,1809871.36,637728.64
