"box","variable","value","Code","phase","season"
0,"FMAK_S1",0,"MAK","adult",1
1,"FMAK_S1",0.04,"MAK","adult",1
2,"FMAK_S1",0.1,"MAK","adult",1
3,"FMAK_S1",0.22,"MAK","adult",1
4,"FMAK_S1",0.01,"MAK","adult",1
5,"FMAK_S1",0.16,"MAK","adult",1
6,"FMAK_S1",0.15,"MAK","adult",1
7,"FMAK_S1",0.04,"MAK","adult",1
8,"FMAK_S1",0,"MAK","adult",1
9,"FMAK_S1",0.09,"MAK","adult",1
10,"FMAK_S1",0,"MAK","adult",1
11,"FMAK_S1",0,"MAK","adult",1
12,"FMAK_S1",0.01,"MAK","adult",1
13,"FMAK_S1",0.02,"MAK","adult",1
14,"FMAK_S1",0.12,"MAK","adult",1
15,"FMAK_S1",0.03,"MAK","adult",1
16,"FMAK_S1",0,"MAK","adult",1
17,"FMAK_S1",0,"MAK","adult",1
18,"FMAK_S1",0,"MAK","adult",1
19,"FMAK_S1",0,"MAK","adult",1
20,"FMAK_S1",0.01,"MAK","adult",1
21,"FMAK_S1",0,"MAK","adult",1
22,"FMAK_S1",0,"MAK","adult",1
23,"FMAK_S1",0,"MAK","adult",1
24,"FMAK_S1",0,"MAK","adult",1
25,"FMAK_S1",0,"MAK","adult",1
26,"FMAK_S1",0,"MAK","adult",1
27,"FMAK_S1",0,"MAK","adult",1
28,"FMAK_S1",0,"MAK","adult",1
29,"FMAK_S1",0,"MAK","adult",1
0,"FMAK_S2",0,"MAK","adult",2
1,"FMAK_S2",0.02,"MAK","adult",2
2,"FMAK_S2",0.04,"MAK","adult",2
3,"FMAK_S2",0.08,"MAK","adult",2
4,"FMAK_S2",0.01,"MAK","adult",2
5,"FMAK_S2",0.08,"MAK","adult",2
6,"FMAK_S2",0.1,"MAK","adult",2
7,"FMAK_S2",0.05,"MAK","adult",2
8,"FMAK_S2",0.04,"MAK","adult",2
9,"FMAK_S2",0.08,"MAK","adult",2
10,"FMAK_S2",0.02,"MAK","adult",2
11,"FMAK_S2",0.03,"MAK","adult",2
12,"FMAK_S2",0.06,"MAK","adult",2
13,"FMAK_S2",0.08,"MAK","adult",2
14,"FMAK_S2",0.1,"MAK","adult",2
15,"FMAK_S2",0.08,"MAK","adult",2
16,"FMAK_S2",0.02,"MAK","adult",2
17,"FMAK_S2",0.01,"MAK","adult",2
18,"FMAK_S2",0.01,"MAK","adult",2
19,"FMAK_S2",0.02,"MAK","adult",2
20,"FMAK_S2",0.03,"MAK","adult",2
21,"FMAK_S2",0.03,"MAK","adult",2
22,"FMAK_S2",0.01,"MAK","adult",2
23,"FMAK_S2",0,"MAK","adult",2
24,"FMAK_S2",0,"MAK","adult",2
25,"FMAK_S2",0,"MAK","adult",2
26,"FMAK_S2",0,"MAK","adult",2
27,"FMAK_S2",0,"MAK","adult",2
28,"FMAK_S2",0,"MAK","adult",2
29,"FMAK_S2",0,"MAK","adult",2
0,"FMAK_S3",0,"MAK","adult",3
1,"FMAK_S3",0,"MAK","adult",3
2,"FMAK_S3",0,"MAK","adult",3
3,"FMAK_S3",0,"MAK","adult",3
4,"FMAK_S3",0.02,"MAK","adult",3
5,"FMAK_S3",0.03,"MAK","adult",3
6,"FMAK_S3",0.06,"MAK","adult",3
7,"FMAK_S3",0.05,"MAK","adult",3
8,"FMAK_S3",0.06,"MAK","adult",3
9,"FMAK_S3",0.06,"MAK","adult",3
10,"FMAK_S3",0.04,"MAK","adult",3
11,"FMAK_S3",0.05,"MAK","adult",3
12,"FMAK_S3",0.1,"MAK","adult",3
13,"FMAK_S3",0.13,"MAK","adult",3
14,"FMAK_S3",0.08,"MAK","adult",3
15,"FMAK_S3",0.11,"MAK","adult",3
16,"FMAK_S3",0.04,"MAK","adult",3
17,"FMAK_S3",0.01,"MAK","adult",3
18,"FMAK_S3",0.01,"MAK","adult",3
19,"FMAK_S3",0.04,"MAK","adult",3
20,"FMAK_S3",0.04,"MAK","adult",3
21,"FMAK_S3",0.05,"MAK","adult",3
22,"FMAK_S3",0.02,"MAK","adult",3
23,"FMAK_S3",0,"MAK","adult",3
24,"FMAK_S3",0,"MAK","adult",3
25,"FMAK_S3",0,"MAK","adult",3
26,"FMAK_S3",0,"MAK","adult",3
27,"FMAK_S3",0,"MAK","adult",3
28,"FMAK_S3",0,"MAK","adult",3
29,"FMAK_S3",0,"MAK","adult",3
0,"FMAK_S4",0,"MAK","adult",4
1,"FMAK_S4",0.02,"MAK","adult",4
2,"FMAK_S4",0.04,"MAK","adult",4
3,"FMAK_S4",0.08,"MAK","adult",4
4,"FMAK_S4",0.01,"MAK","adult",4
5,"FMAK_S4",0.08,"MAK","adult",4
6,"FMAK_S4",0.1,"MAK","adult",4
7,"FMAK_S4",0.05,"MAK","adult",4
8,"FMAK_S4",0.04,"MAK","adult",4
9,"FMAK_S4",0.08,"MAK","adult",4
10,"FMAK_S4",0.02,"MAK","adult",4
11,"FMAK_S4",0.03,"MAK","adult",4
12,"FMAK_S4",0.06,"MAK","adult",4
13,"FMAK_S4",0.08,"MAK","adult",4
14,"FMAK_S4",0.1,"MAK","adult",4
15,"FMAK_S4",0.08,"MAK","adult",4
16,"FMAK_S4",0.02,"MAK","adult",4
17,"FMAK_S4",0.01,"MAK","adult",4
18,"FMAK_S4",0.01,"MAK","adult",4
19,"FMAK_S4",0.02,"MAK","adult",4
20,"FMAK_S4",0.03,"MAK","adult",4
21,"FMAK_S4",0.03,"MAK","adult",4
22,"FMAK_S4",0.01,"MAK","adult",4
23,"FMAK_S4",0,"MAK","adult",4
24,"FMAK_S4",0,"MAK","adult",4
25,"FMAK_S4",0,"MAK","adult",4
26,"FMAK_S4",0,"MAK","adult",4
27,"FMAK_S4",0,"MAK","adult",4
28,"FMAK_S4",0,"MAK","adult",4
29,"FMAK_S4",0,"MAK","adult",4
0,"FMAK_S1juv",0,"MAK","juv",1
1,"FMAK_S1juv",0.04,"MAK","juv",1
2,"FMAK_S1juv",0.1,"MAK","juv",1
3,"FMAK_S1juv",0.22,"MAK","juv",1
4,"FMAK_S1juv",0.01,"MAK","juv",1
5,"FMAK_S1juv",0.16,"MAK","juv",1
6,"FMAK_S1juv",0.15,"MAK","juv",1
7,"FMAK_S1juv",0.04,"MAK","juv",1
8,"FMAK_S1juv",0,"MAK","juv",1
9,"FMAK_S1juv",0.09,"MAK","juv",1
10,"FMAK_S1juv",0,"MAK","juv",1
11,"FMAK_S1juv",0,"MAK","juv",1
12,"FMAK_S1juv",0.01,"MAK","juv",1
13,"FMAK_S1juv",0.02,"MAK","juv",1
14,"FMAK_S1juv",0.12,"MAK","juv",1
15,"FMAK_S1juv",0.03,"MAK","juv",1
16,"FMAK_S1juv",0,"MAK","juv",1
17,"FMAK_S1juv",0,"MAK","juv",1
18,"FMAK_S1juv",0,"MAK","juv",1
19,"FMAK_S1juv",0,"MAK","juv",1
20,"FMAK_S1juv",0.01,"MAK","juv",1
21,"FMAK_S1juv",0,"MAK","juv",1
22,"FMAK_S1juv",0,"MAK","juv",1
23,"FMAK_S1juv",0,"MAK","juv",1
24,"FMAK_S1juv",0,"MAK","juv",1
25,"FMAK_S1juv",0,"MAK","juv",1
26,"FMAK_S1juv",0,"MAK","juv",1
27,"FMAK_S1juv",0,"MAK","juv",1
28,"FMAK_S1juv",0,"MAK","juv",1
29,"FMAK_S1juv",0,"MAK","juv",1
0,"FMAK_S2juv",0,"MAK","juv",2
1,"FMAK_S2juv",0.02,"MAK","juv",2
2,"FMAK_S2juv",0.04,"MAK","juv",2
3,"FMAK_S2juv",0.08,"MAK","juv",2
4,"FMAK_S2juv",0.01,"MAK","juv",2
5,"FMAK_S2juv",0.08,"MAK","juv",2
6,"FMAK_S2juv",0.1,"MAK","juv",2
7,"FMAK_S2juv",0.05,"MAK","juv",2
8,"FMAK_S2juv",0.04,"MAK","juv",2
9,"FMAK_S2juv",0.08,"MAK","juv",2
10,"FMAK_S2juv",0.02,"MAK","juv",2
11,"FMAK_S2juv",0.03,"MAK","juv",2
12,"FMAK_S2juv",0.06,"MAK","juv",2
13,"FMAK_S2juv",0.08,"MAK","juv",2
14,"FMAK_S2juv",0.1,"MAK","juv",2
15,"FMAK_S2juv",0.08,"MAK","juv",2
16,"FMAK_S2juv",0.02,"MAK","juv",2
17,"FMAK_S2juv",0.01,"MAK","juv",2
18,"FMAK_S2juv",0.01,"MAK","juv",2
19,"FMAK_S2juv",0.02,"MAK","juv",2
20,"FMAK_S2juv",0.03,"MAK","juv",2
21,"FMAK_S2juv",0.03,"MAK","juv",2
22,"FMAK_S2juv",0.01,"MAK","juv",2
23,"FMAK_S2juv",0,"MAK","juv",2
24,"FMAK_S2juv",0,"MAK","juv",2
25,"FMAK_S2juv",0,"MAK","juv",2
26,"FMAK_S2juv",0,"MAK","juv",2
27,"FMAK_S2juv",0,"MAK","juv",2
28,"FMAK_S2juv",0,"MAK","juv",2
29,"FMAK_S2juv",0,"MAK","juv",2
0,"FMAK_S3juv",0,"MAK","juv",3
1,"FMAK_S3juv",0,"MAK","juv",3
2,"FMAK_S3juv",0,"MAK","juv",3
3,"FMAK_S3juv",0,"MAK","juv",3
4,"FMAK_S3juv",0.02,"MAK","juv",3
5,"FMAK_S3juv",0.03,"MAK","juv",3
6,"FMAK_S3juv",0.06,"MAK","juv",3
7,"FMAK_S3juv",0.05,"MAK","juv",3
8,"FMAK_S3juv",0.06,"MAK","juv",3
9,"FMAK_S3juv",0.06,"MAK","juv",3
10,"FMAK_S3juv",0.04,"MAK","juv",3
11,"FMAK_S3juv",0.05,"MAK","juv",3
12,"FMAK_S3juv",0.1,"MAK","juv",3
13,"FMAK_S3juv",0.13,"MAK","juv",3
14,"FMAK_S3juv",0.08,"MAK","juv",3
15,"FMAK_S3juv",0.11,"MAK","juv",3
16,"FMAK_S3juv",0.04,"MAK","juv",3
