"Code","Name","LongName","missing_cohorts","tot.biomass","tot.bio.SE","tot.abundance","tot.abund.SE","init.biomass.tonnes","init.numbers","group.scale.fract","q","tot.abundance.adj","new.init.scalar"
"ANC","Anchovies","Anchovies",2,727065.725859864,178855.624328346,293062340.166667,68907273.27718,2574.87935,292013790,0.399902990882725,0.02,36641678963.1626,125.479276040911
"BIL","Billfish","Billfish",2,131473.226751546,131473.226751546,22284,22283.5977544993,4486.34667,47759.043756438,0.399903186356478,0.175,318419.925625782,6.66721735991329
"BLF","Bluefish","Bluefish",2,1564628.8618645,631727.585126787,1775176.6,660262.753002435,1849.13149,3056458,0.399902763263883,0.175,25365831.9410528,8.29909389923004
"BPF","Benthopelagic_Fish","Other benthopelagic fish",2,3473187.91015983,845325.179995729,106010127.454545,26525262.0863706,222997.691,1322430924.54927,0.399903186313822,0.16,1656809246.00327,1.25285125691383
"BSB","Black_Sea_Bass","Black sea bass",2,206006.652729357,116916.500724033,1368535.8,561295.719222054,444.205975,640771,0.399904177935643,0.145,23601098.5925568,36.8323450851502
"BUT","Butterfish","Butterfish",2,13168098.1993208,6659872.37131148,257021101.090909,123709496.976909,5673.34763,50783972,0.399903024521201,0.175,3672620400.88897,72.3184945220309
"COD","Cod","Atlantic cod",2,68998696.2534363,7650844.84174159,28381844.1818182,3173659.29697569,131357.4661,36746372,0.399903097916714,0.142,499801434.814357,13.6013817857817
"DOG","Spiny_Dogfish","Spiny dogfish",2,178941998.437481,56069700.3137473,113549043.818182,31184849.8552855,218190.5548,56064704,0.399903047735702,0.199,1426841364.10665,25.449904526503
"DRM","Drums_Croakers","Drums and croakers",2,3278934.59818726,273253.208231305,40347548.4285714,2695719.14034009,276.773338,392852.579336026,0.399903006816326,0.15,672622239.907337,1712.1492266747
"DSH","Demersal_Shark","Other demersal sharks",2,866570.089735245,220437.640703619,236410.272727273,99667.7219023277,1160400.964,7450024.8198495,0.399903186297423,0.175,3378107.22806074,0.453435701188574
"FDE","Shallow_Demersal_Fish","Shallow demersal fish",2,1693318.29941183,239425.465591965,10352469,1482129.24010844,31106.599,51806628.3217801,0.399903186316608,0.175,147928217.974864,2.85539172817917
"FDF","Misc_Demersal_Fish","Miscellaneous demersal fish",2,25654538.0251477,700476.043681614,164109645.636364,4770776.90729105,411424.596,1271368134.22309,0.399903186319577,0.175,2344991077.13275,1.84446268079995
"FLA","Other_Flatfish","Other flatfish",2,110510.920984983,49517.3463635616,10735038,2624098.53187791,5957.0324,289948689.947041,0.399903186316929,0.267,100539671.118291,0.346749871974433
"FOU","Fourspotflounder","Fourspot Flounder",2,2483284.41692409,443354.055229741,14102618.4545455,2653449.25791884,3982.54645,33037030.4158947,0.399903006816326,0.267,132079016.185461,3.99790824183506
"GOO","Monkfish","Monkfish",2,34144070.4690466,2651589.50788389,10123926.3636364,882553.995697014,66381.1807,68315448,0.399903093660456,0.199,127215824.618036,1.86218239567185
"HAD","Haddock","Haddock",2,127814212.886999,9250468.5340295,179355281.818182,14332269.9745284,506427.826,518163909,0.39990299864748,0.199,2253753600.88619,4.34949937990797
"HAL","Halibut","Atlantic halibut",2,476448.611553203,323790.620683448,139082.818181818,70224.7149500576,1277.410112,71028,0.399828236751704,0.199,1748022.20012669,24.6103255072182
"HER","Herring","Atlantic herring",2,1577571.57207021,482122.321794809,7578404.54545455,2220969.76754185,4510.60357,60788636,0.399903083859292,0.02,947530145.594106,15.5872907823447
"LSK","Little_Skate","Little skate",2,12965833.733991,2799520.84108338,25714671.6363636,6091643.66653546,60602.4602,53447665,0.399903082763298,0.144,446543465.861594,8.35477968703766
"MAK","Mackerel","Mackerel",2,836497.653422653,567751.87206778,14783379.5454545,13256837.5682379,2267.31004,20821513,0.399903119432291,0.2,184837012.104848,8.87721329880531
