|Code|Functional_Group|Species|Scientific_Name|SVSPP|NESPP3|Species_Itis|isFishedSpecies|
|FDF|Miscellaneous demersal fish|Threespine stickleback|NA|115|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Fourspine stickleback|NA|488|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Ninespine stickleback|Pungitius pungitius|902|522|166387|FALSE|
|FDF|Miscellaneous demersal fish|Blackspotted stickleback|NA|901|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Pipefish unclassified|NA|421|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Chain pipefish|NA|495|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Dusky pipefish|NA|494|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Northern pipefish|OSTEICHTHYES|116|526|161030|FALSE|
|FDF|Miscellaneous demersal fish|Whitenose pipefish|NA|491|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Trumpetfish|NA|119|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Atlantic moonfish|NA|132|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Lookdown|OSTEICHTHYES|133|526|161030|FALSE|
|FDF|Miscellaneous demersal fish|Longspine scorpionfish|NA|154|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Blackbelly rosefish|HELICOLENUS DACTYLOPTERUS|156|242|166787|FALSE|
|FDF|Miscellaneous demersal fish|Longhorn sculpin|COTTIDAE|163|326|167196|FALSE|
|FDF|Miscellaneous demersal fish|Moustache sculpin|NA|161|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Shorthorn sculpin|NA|162|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Sculpins unclassified|COTTIDAE|160|326|167196|FALSE|
|FDF|Miscellaneous demersal fish|Sea raven|HEMITRIPTERUS AMERICANUS|164|327|167289|FALSE|
|FDF|Miscellaneous demersal fish|Armored searobin|PERISTEDION MINIATUM|173|343|167010|FALSE|
|FDF|Miscellaneous demersal fish|Northern searobin|PRIONOTUS CAROLINUS|171|340|166974|FALSE|
|FDF|Miscellaneous demersal fish|Striped searobin|PRIONOTUS EVOLANS|172|342|166975|FALSE|
|FDF|Miscellaneous demersal fish|Searobin uncl|TRIGLIDAE|174|341|166972|FALSE|
|FDF|Miscellaneous demersal fish|Cunner|TAUTOGOLABRUS ADSPERSUS|176|93|170481|FALSE|
|FDF|Miscellaneous demersal fish|Conger eel|CONGER OCEANICUS|63|116|161326|FALSE|
|FDF|Miscellaneous demersal fish|Eel unclassified|ANGUILLIFORMES|60|117|161123|FALSE|
|FDF|Miscellaneous demersal fish|Northern puffer|SPHOEROIDES MACULATUS|196|429|173290|FALSE|
|FDF|Miscellaneous demersal fish|Wrymouth|NA|191|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Garfish|LEPISOSTEIDAE|NA|133|161092|FALSE|
|FDF|Miscellaneous demersal fish|Hagfish|MYXINIDAE|NA|150|159753|FALSE|
|FDF|Miscellaneous demersal fish|Hogfish|LACHNOLAIMUS MAXIMUS|682|179|170566|FALSE|
|FDF|Miscellaneous demersal fish|Lumpfish|CYCLOPTERUS LUMPUS|168|210|167612|FALSE|
|FDF|Miscellaneous demersal fish|Oyster toadfish|BATRACHOIDIDAE|185|451|164412|FALSE|
|FDF|Miscellaneous demersal fish|Sand perch|DIPLECTRUM FORMOSUM|530|311|167793|FALSE|
|FDF|Miscellaneous demersal fish|Atlantic needlefish|STRONGYLURA MARINA|471|19|165551|FALSE|
|FDF|Miscellaneous demersal fish|Sheepshead|ARCHOSARGUS PROBATOCEPHALUS|631|356|169189|FALSE|
|FDF|Miscellaneous demersal fish|Atlantic sturgeon|ACIPENSER OXYRINCHUS|380|420|553269|FALSE|
|FDF|Miscellaneous demersal fish|Shortnose sturgeon|ACIPENSER BREVIROSTRUM|379|422|161069|FALSE|
|FDF|Miscellaneous demersal fish|Sturgeon unclassified|ACIPENSERIDAE|NA|421|161064|FALSE|
|FDF|Miscellaneous demersal fish|Tomcod|MICROGADUS TOMCOD|453|453|164720|FALSE|
|FDF|Miscellaneous demersal fish|Inshore lizardfish|OSTEICHTHYES|435|526|161030|FALSE|
|FDF|Miscellaneous demersal fish|Largescale lizardfish|NA|433|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Lizardfish unclassified|NA|852|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Offshore lizardfish|NA|437|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Red lizardfish|NA|438|NA|NA|FALSE|
|FDF|Miscellaneous demersal fish|Shortjaw lizardfish|NA|434|NA|NA|FALSE|
|FLA|Other flatfish|Gulfstream flounder|CITHARICTHYS ARCTIFRONS|109|129|172719|FALSE|
|FLA|Other flatfish|Hogchoker|TRINECTES MACULATUS|118|128|172982|FALSE|
|FOU|Fourspot flounder|Fourspot flounder|PARALICHTHYS OBLONGUS|104|127|172739|TRUE|
|GOO|Goosefish|Goosefish|LOPHIUS AMERICANUS|197|11|164499|TRUE|
|GOO|Goosefish|Goosefish|LOPHIUS AMERICANUS|197|12|164499|TRUE|
|HAD|Haddock|Haddock|MELANOGRAMMUS AEGLEFINUS|74|147|164744|TRUE|
|HAD|Haddock|Haddock|MELANOGRAMMUS AEGLEFINUS|74|148|164744|TRUE|
|HAL|Atlantic halibut|Atlantic halibut|HIPPOGLOSSUS HIPPOGLOSSUS|101|159|172933|TRUE|
|HER|Atlantic herring|Atlantic herring|CLUPEA HARENGUS|32|168|161722|TRUE|
|INV|Invasive vertebrate species|All Invasive vertebrate species|NA|NA|NA|NA|FALSE|
|ISQ|Illex squid|Illex squid|ILLEX ILLECEBROSUS|502|802|82521|TRUE|
|LOB|Lobster|Lobster|HOMARUS AMERICANUS|301|727|97314|TRUE|
|LSK|Little skate|Little skate|LEUCORAJA ERINACEA|26|366|564130|TRUE|
|LSQ|Loligo squid|Loligo squid|LOLIGO PEALEII|503|801|82372|TRUE|
|MA|Macroalgae|Macroalgae|NA|NA|NA|NA|TRUE|
