"pred.names","MAK","HER","WHK","BLF","WPF","SUF","WIF","WTF","FOU","HAL","PLA","FLA","BFT","TUN","BIL","MPF","BUT","BPF","ANC","GOO","MEN","FDE","COD","SHK","OHK","POL","RHK","BSB","SCU","TYL","RED","OPT","SAL","DRM","STB","TAU","WOL","SDF","FDF","HAD","YTF","DOG","SMO","SSH","DSH","BLS","POR","PSH","WSK","LSK","SK","SB","PIN","REP","RWH","BWH","SWH","TWH","INV","LSQ","ISQ","SCA","QHG","CLA","BFF","BG","LOB","RCB","BMS","NSH","OSH","ZL","BD","MA","MB","SG","BC","ZG","PL","DF","PS","ZM","ZS","PB","BB","BO","DL","DR","DC","DLsed","DRsed","DCsed"
"2WHK2","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0.09","0.045","0.045","0","0.005","0.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0.045","0","0","0","0.002","0.01","5e-05","0.001","0.005","0.06","0.06","5e-05","0.03","0","0","0","0","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1BLF1","0.002","0.002","0.013","1e-04","0.1","1e-04","0.037","0.1","0.1","0","0.1","0.135","0","0","0","0.05","0.075","0.06","0.06","0","0.01","0.09","0","0.1512988","0.05","0.1","0.2","0.2","0.05","0.1","0","0","0","0.001","0.1","0","0","0.05","0.05","0","0.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.15","0.05","0.03","0","0","0","0.0015","0.001","0.001","0","0.0052","0.15","0.05","1e-05","0.0375","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2BLF1","0.002","0.002","0.013","1e-04","0.05","1e-04","0.005","0.02","0.05","0","0.03","0.135","0","0","0","0.05","0.075","0.06","0.06","0","0.01","0.09","0","0.05","0.05","0","0.2","0","0.01","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.05","0.03","0","0","0","0.0015","0.001","0.001","0","0.0052","0.15","0.05","1e-05","0.0375","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1BLF2","0.002","0.002","0.013","1e-04","0.15","1e-04","0.037","0.1","0.1","0","0.1","0.135","0","0","0","0.075","0.075","0.045","0.045","0","0.02","0.09","0","0.1125","0.1","0.05","0.15","0.15","0.025","0.05","0.05","0","0","0.0025","0.2","0","0","0.05","0.1","0","0.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.15","0.05","0.03","0","0","0","0.0015","0.01","1e-04","0","0.007","0.15","0.05","1e-05","0.0375","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2BLF2","0.002","0.002","0.013","1e-04","0.12","1e-04","0.025","0.02","0.1","0","0.02","0.12","0","0","0","0.075","0.075","0.045","0.05","0","0.02","0.09","0","0.2425","0.1","0","0.15","0.15","0.025","0.05","0.01","0","0","0.001","0.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.03","0","0","0","0.0015","0.01","1e-04","0","0.007","0.15","0.05","1e-05","0.0375","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1WPF1","0","0.01","0","0","0","0","0","0","0","0","0","0.045","0","0","0","0.05","0.08","0.025","0.025","0","0.03","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2666667","0.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.09999999","0.01","0.01","0","0","0","0.03333333","0.05","0.0025","0.01","0.01","0.03333333","0.03333333","0.00015","0.1","0","0","0","0.0025","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2WPF1","0","0.01","0","0","0","0","0","0","0","0","0","0.045","0","0","0","0.05","0.08","0.025","0.025","0","0.025","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.09","0.045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.09999999","0.01","0.01","0","0","0","0.03333333","0.03","0","0","0.01","0.03333333","0.03333333","1.5e-05","0.1","0","0","0","0.0025","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1WPF2","0","0.025","0","0","0","0","0","0","0","0","0","0.025","0","0","0","0.02","0.08","0.06","0.06","0","0.135","0.065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2666667","0.055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.09999999","0.01","0.01","0","0","0","0.03333333","0.05","0.0025","0.01","0.01","0.03333333","0.03333333","0.00015","0.1","0","0","0","0.005","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2WPF2","0","0.025","0","0","0","0","0","0","0","0","0","0.025","0","0","0","0.02","0.08","0.075","0.075","0","0.0325","0.065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2666667","0.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.09999999","0.01","0.01","0","0","0","0.03333333","0.03","0","0","0.01","0.03333333","0.03333333","1.5e-05","0.1","0","0","0","0.0025","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1SUF1","0","0.01","0.01","0","0","0","0","0","0","0","0","0.05","0","0","0","0.06","0.075","0.025","0.025","0","0.03","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.05","0","0","0","0.015","0.01","0","0.005","0.01","0.18","0.06","1e-04","0.1","0","0","0","0.0025","0","0","0","0","0","0","0","0","0.025","0","0","0","0","0","0"
