"Time","Apex_Predator","Bacteria","Benthivore","Benthos","Mammals","Other","Phytoplankton","Piscivore","Planktivore","Shrimp","Zooplankton"
20002,861565.871062,132883.21258,5341772.585462,136347720.904835,154674.4498,4673962.083035,10251753.195242,3220428.918554,9737527.454057,36730.805495,7206857.412581
20075,862493.065356,110820.362239,5652819.294262,136499649.204781,154508.570565,4616430.883503,9471166.261541,3377122.337448,9704892.734136,112977.016853,6277136.14381
20148,923172.562774,93853.638329,5015680.495803,136542765.242529,154508.576791,3412612.266283,8478340.328007,3410329.473735,9933252.334765,69378.821658,5466464.98119
20221,968707.361467,97639.365117,5174246.986135,136590318.248042,167147.46103,2720600.303016,9933669.36535,3494015.575638,9890272.190608,54062.968248,5490782.339512
20294,923959.421481,110895.173351,4975729.279424,136735577.990943,166278.07432,3164898.53241,8607573.583917,3037871.161523,10260198.662141,44922.553588,6291991.073036
20367,870905.741778,124850.663717,5302790.775736,136942111.224582,164586.892939,4363209.343117,10182325.256576,3184059.506956,9673904.958532,38704.441478,6841134.970824
20440,871808.340439,107489.706497,5613119.023533,137089153.970887,164430.828305,4400501.472727,9526649.234154,3339216.063384,9625317.359194,111504.348693,6113598.116098
20513,935256.623303,90137.777806,4991988.628698,137138130.471204,164430.834285,3343505.074404,8461107.969214,3379338.672884,9865668.250689,68345.783689,5302060.149951
20586,981162.259577,93298.714193,5162354.169167,137190709.574736,177900.128847,2711934.395638,9910799.140795,3472181.033688,9836413.775161,53698.109071,5327013.237355
20659,934513.081521,108412.134741,4971512.872454,137334846.959426,176949.114072,3170678.644002,8577852.345687,3016904.40947,10212149.456272,45033.819164,6179086.145214
20732,883414.635322,126140.963004,5305479.247698,137556849.237943,175115.722672,4472740.475033,10149330.259454,3162497.662842,9529262.520724,39075.178689,6813840.444904
20805,884357.093491,110456.087263,5617195.463106,137719000.045085,174947.320858,4598948.87961,9509804.83127,3305462.938012,9446282.43711,112091.885993,6140039.959863
20878,949912.362867,92344.039039,4969240.676122,137767839.130647,174947.327058,3415635.153101,8481676.150812,3327969.416795,9665555.364811,72068.819581,5357865.970884
20951,1001508.250612,96242.950564,5105086.684614,137810248.243066,189342.85586,2665755.620969,9962560.295277,3403704.343925,9599666.438501,58304.546525,5406608.282331
21024,955064.633217,108821.103102,4901802.977852,137949163.835778,188452.882345,3066065.922204,8645992.751253,2963429.384064,9949234.8323,49477.537951,6209354.367294
21097,905652.77446,121217.681123,5196018.948273,138146856.454762,186724.807332,4192733.861253,10222859.418927,3088945.133712,9229342.53955,43477.714431,6868624.653828
21170,906488.752159,104955.845856,5471508.758378,138285318.252486,186571.552219,4233486.20932,9580732.694694,3206734.296655,9095881.3064,122169.875336,6198064.590326
21243,975239.393866,87966.622795,4857396.661612,138337188.578695,186571.558533,3221498.119739,8526390.81641,3226676.042635,9308913.728417,78280.780208,5412376.146712
21316,1030189.653896,92037.937041,4990334.337182,138383041.113275,201927.808453,2564542.766684,9979567.266332,3302425.547647,9245817.602148,62791.931524,5454252.859864
21389,982570.056034,105140.375473,4809929.379979,138527378.193672,200999.285484,3003786.017035,8650032.936493,2892490.480004,9594527.074723,53135.407567,6250329.357656
21462,932377.877316,120678.392471,5102157.125004,138732611.260597,199205.45083,4163808.017521,10218313.660603,3017334.966881,8907742.167262,46746.462993,6936612.361061
21535,933219.011721,104966.166788,5374978.921816,138876712.117726,199043.390174,4235798.265827,9571093.557273,3129326.288661,8750631.372351,125301.253269,6269605.135995
