"Time","Apex_Predator","Bacteria","Benthivore","Benthos","Mammals","Other","Phytoplankton","Piscivore","Planktivore","Shrimp","Zooplankton"
21608,1004816.08272,87996.078752,4774063.302774,138933025.10156,199043.396507,3228947.7664,8473399.337023,3148201.719669,8963798.439845,81444.823045,5483962.583331
21681,1063203.618572,91949.669974,4905996.477885,138981809.211392,215422.549246,2569413.996904,10003164.442654,3227471.129781,8904091.757276,65777.271685,5516725.869597
21754,1013524.426188,105054.621097,4734072.558415,139130861.172214,214447.785306,3006380.334454,8548538.183651,2831528.831985,9257105.019124,55968.606448,6311261.782558
21827,961428.096273,120354.158308,5024418.214563,139339556.365675,212586.390871,4160790.290872,10065230.575548,2958024.593233,8632606.482702,49549.242351,6993011.244394
21900,962270.354203,105249.097993,5295642.213293,139485203.937262,212416.354229,4236694.756895,9590455.05286,3072532.014165,8491251.540881,128528.295679,6348843.631256
21973,1035848.354471,88074.975829,4704512.125975,139543426.981546,212416.360584,3232954.991416,8458524.910865,3089663.412352,8706934.578797,84727.10071,5554269.878439
22046,1097213.09318,92033.591935,4835939.041189,139593735.464267,229886.094893,2573785.190263,9988791.373848,3172885.009734,8653971.945968,68830.822857,5582879.984016
22119,1043610.477861,105150.507159,4671474.390265,139745057.56342,228863.244909,3011430.938234,8534718.446646,2800091.589309,9011626.442329,58809.293844,6374812.268644
22192,989216.874865,120416.581902,4959605.539063,139955450.901741,226931.561831,4165924.850748,10052324.934533,2926342.870599,8467764.382377,52337.669917,7054097.143609
22265,990060.127594,105342.303802,5229188.320201,140102243.006217,226753.219583,4241866.528544,9578603.674845,3044612.422979,8353374.98784,131328.398033,6407935.659459
22338,1063484.683024,88193.558006,4645602.133631,140161718.610583,226753.225954,3237610.452716,8448163.670469,3059564.917058,8570644.878412,87644.451708,5610224.293311
22411,1126613.485231,92178.864615,4776089.773914,140213093.778478,245385.533017,2578414.715914,9979367.471602,3146838.232756,8522085.726959,71561.573819,5634271.48152
22484,1069327.34575,105306.343557,4618340.980658,140366086.208447,244312.634026,3017158.685834,8525515.151043,2794123.89337,8881353.55404,61279.566713,6420565.129853
22557,1012789.229269,120507.567595,4904025.272831,140577391.519313,242307.672198,4172497.398144,10043842.615926,2922032.048414,8372585.653006,54724.465024,7096867.390983
22630,1013633.366936,105449.008338,5171942.391678,140724772.731411,242120.672338,4248214.541572,9571135.418082,3045057.431601,8271475.899851,133809.692913,6450312.339852
22703,1084644.179715,88316.934975,4594735.784533,140785358.019244,242120.678706,3245531.305758,8441551.652192,3059941.96145,8489109.766255,90156.512614,5650407.487322
22776,1148553.244648,92268.665525,4723698.580658,140836791.392658,261994.124933,2580292.40696,9973175.678114,3153115.769843,8440552.648776,73915.975863,5667286.82779
22849,1089348.226939,105333.550069,4570465.3646,140989407.124282,260876.453477,3006597.5356,8519989.877307,2809916.637499,8794637.183058,63372.021995,6441650.830426
22922,1031451.554173,120741.066636,4854070.210469,141202177.332697,258794.191715,4173505.786742,10038762.32632,2938907.052227,8278066.57022,56740.995276,7141876.296263
22995,1032302.747461,105765.321296,5121565.805662,141351928.032545,258596.75154,4266979.157967,9566528.762651,3065786.644382,8176742.318917,136068.838978,6498479.932237
23068,1099957.338645,88613.818401,4549352.825269,141413502.239623,258596.757903,3261819.322012,8416661.32572,3080523.296499,8393143.747098,92530.006305,5700918.196902
23141,1163829.718532,92482.597878,4677192.367198,141465480.010004,279791.109104,2590206.648724,10041351.973967,3179694.953696,8346202.633433,76081.555937,5709816.894352
23214,1104042.274526,105526.561257,4529655.259918,141620038.64823,278619.349587,3012870.479223,8478730.710864,2841097.146718,8695052.208133,65229.752004,6483388.004471
23287,1045410.098563,120577.258402,4810578.268408,141833388.139795,276456.833044,4174381.993454,9905826.148424,2970299.742413,8140876.636212,58557.155619,7187131.548419
23360,1046262.041989,106039.487735,5076440.289055,141982712.65796,276249.877329,4269662.196912,9592389.963356,3097508.314749,8068996.347767,138123.40115,6569748.165324
23433,1110792.370577,88724.449509,4508079.930737,142045007.570383,276249.883691,3266950.955802,8411592.751737,3111337.198225,8284145.375081,94512.242814,5766080.196424
23506,1174093.411159,92592.186004,4634840.705042,142097574.395719,298851.802949,2594748.181541,10035877.874474,3215084.050679,8238534.159247,77807.469873,5774758.766501
23579,1114749.095101,105625.931873,4492788.703301,142253510.718056,297623.648857,3017540.269336,8472475.67562,2882860.559835,8582130.482032,66662.497084,6551699.706429
23652,1055977.860533,120642.89209,4771127.701341,142467466.541375,295377.055865,4179085.796435,9899227.496941,3012442.26433,7985288.507398,59962.749874,7268866.221332
23725,1056830.502556,106136.548216,5035397.296464,142617146.09473,295160.160707,4274391.932504,9585055.952118,3137124.778809,7916467.040917,139936.264149,6661636.447687
23798,1119037.849842,88846.704348,4470374.294611,142680206.381808,295160.167063,3271538.618639,8404412.402718,3149175.249326,8130928.914765,96209.742903,5857639.683346
23871,1181256.510801,92736.850324,4595811.493898,142733478.639522,319261.826971,2598832.250931,10028606.562959,3256246.244766,8085551.109324,79268.038347,5867832.011362
23944,1122407.961251,105776.738375,4458966.599674,142891102.287111,317974.84483,3021583.676047,8464832.893147,2931426.791593,8426131.410244,67893.055135,6651004.49978
24017,1063900.66479,120705.522945,4734740.096924,143105939.561694,315640.052925,4183156.769404,9891306.371367,3061614.833358,7811654.171144,61165.057524,7382420.023881
24090,1064754.001533,106229.183864,4997445.24963,143256133.391575,315412.769224,4278949.071522,9576130.41027,3184699.351625,7777959.154708,141128.652617,6784142.192158
24163,1125566.533075,88958.397246,4435920.623344,143320454.069377,315412.775556,3278887.358186,8394831.184076,3194472.515622,7994371.583591,97148.880903,5976452.029338
24236,1186311.467166,92816.818561,4559388.568282,143373886.83555,341114.451092,2600435.447485,10018977.974667,3303085.519296,7949728.004757,80124.174806,5982287.871857
24309,1128533.996857,105776.967096,4425823.096459,143531439.342855,339775.08177,3009759.963038,8455821.968783,2972261.111291,8288656.425991,68705.210262,6760811.335623
24382,1070612.967051,120931.110608,4699474.213493,143748086.443097,337346.912277,4182099.979686,9883193.840043,3102758.109354,7679296.559817,61981.325841,7523459.887144
24455,1071473.336282,106551.170862,4961802.621067,143900883.655855,337107.078715,4297014.935642,9567507.970454,3225407.19698,7654977.195421,142012.674318,6933701.202812
24528,1131739.288291,89265.74101,4403435.698326,143966904.100635,337107.085021,3296180.776654,8397130.90679,3231871.078776,7874704.944748,97994.145878,6124446.05066
24601,1190648.55906,93069.0897,4525330.258826,144021047.42749,364511.10855,2611664.330044,10006649.929187,3340647.39915,7833895.725437,80919.15967,6121862.969209
24674,1133873.995048,105984.818374,4396392.283873,144181160.473734,363107.946788,3016761.455637,8388100.079953,3007741.413423,8177967.916527,69500.81031,6902961.792505
24747,1076454.447418,120810.722926,4667403.420225,144398884.349614,360582.175153,4183863.471973,9806269.317138,3139477.255142,7601940.446523,62809.260965,7663112.725865
24820,1077315.628635,106843.250459,4928203.88951,144551565.453852,360330.877579,4301536.622328,9690463.01599,3265026.141773,7627312.426731,142378.608755,7092699.372082
24893,1137808.365258,89416.775682,4372478.558521,144618673.415193,360330.883862,3303965.269196,8389902.307701,3267770.545499,7853226.483347,98304.412332,6273310.339308
24966,1194962.066619,93220.703926,4493209.910625,144673701.062529,389548.128244,2619164.388943,10000344.561484,3376542.118782,7820609.804095,81237.801911,6266165.673813
25039,1139290.191366,106137.539938,4368767.233681,144835828.485091,388078.345577,3024769.117569,8381916.825466,3048824.775751,8173999.867138,69881.292667,7044047.853069
25112,1082397.173971,120956.453041,4637227.634261,145054805.623542,385449.859276,4193408.051361,9800653.616308,3181090.707856,7637717.146165,63202.884051,7796611.489771
25185,1083259.238994,107023.136573,4896532.90565,145208504.900177,385186.566336,4311912.467826,9685373.236475,3308286.289,7689633.377768,142194.265346,7221025.988692
25258,1144803.914967,89608.065962,4343333.495425,145276884.602731,385186.572592,3313302.013194,8386265.20545,3306521.040979,7921696.016116,98130.332332,6396870.921934
25331,1200619.704546,93437.809981,4462527.689072,145332987.014174,416334.920029,2627750.227107,9997718.424507,3414726.845962,7896262.226924,81159.571298,6383765.165656
25404,1146001.933551,106382.90362,4342357.857125,145497538.754065,414795.535532,3034351.932029,8379853.472674,3083738.916417,8259438.541236,69944.589343,7151529.915994
25477,1089582.203454,121154.339654,4608252.31296,145718135.658744,412058.856596,4205658.15314,9798570.34092,3215634.02665,7756524.713264,63323.197619,7885801.028249
25550,1090445.264943,107223.749216,4866090.812849,145873415.558545,411783.008255,4324379.451901,9683981.590277,3344069.284331,7815288.132702,141896.011254,7298766.196925
25623,1153845.291334,89806.131956,4315786.958684,145943987.370388,411783.014465,3326056.620818,8384758.503844,3337616.808954,8053192.210432,97925.168848,6468165.631407
25696,1209084.408328,93595.672167,4432975.879826,146000704.645201,444990.312422,2633855.798129,9997669.096135,3444811.251567,8033259.571008,81151.320861,6444197.205517
25769,1155509.620576,106530.954725,4315180.201963,146165829.672329,443389.173117,3027782.399509,8381188.29307,3110458.980193,8399059.704122,70118.303753,7188109.082384
25842,1099572.113419,121480.340923,4578902.840303,146389104.823014,440537.802563,4212385.96199,9800135.956492,3241629.167003,7923564.386588,63527.194925,7922440.574939
25915,1100442.728212,107609.755551,4836454.319916,146548297.871437,440246.69154,4349409.952107,9686481.013259,3371586.828193,7984574.216488,141334.664664,7323652.351615
25988,1166461.517271,90162.894409,4288883.297774,146621170.863826,440246.697702,3347464.884139,8445731.395953,3359854.896649,8226094.104657,97594.231033,6489809.496814
26061,1221837.931977,93903.470655,4404555.475932,146679019.193569,475644.022501,2647482.102201,10112743.781866,3466125.076136,8210371.139574,81053.447078,6451983.734609
26134,1168084.997461,106876.849803,4290537.29481,146847520.709271,473967.211326,3038118.004865,8370401.874172,3133000.384756,8575899.78523,70228.963897,7183898.098481
26207,1112352.149771,121486.766984,4551578.309102,147073172.434171,470995.300843,4219923.138467,9736775.270857,3262816.562963,8100383.671493,63740.719025,7896759.491854
26280,1113224.101813,107944.931053,4807719.255659,147233705.080325,470690.300325,4357971.361093,9669597.043247,3392732.384898,8156139.870689,140901.839754,7306402.283394
26353,1182565.547316,90334.518132,4262419.394951,147308157.960596,470690.30645,3356189.047426,8451092.149722,3375262.15396,8398512.037298,97291.867912,6464869.556929
26426,1238829.561268,94069.298884,4376613.148011,147367391.941756,508419.290477,2654125.441589,10119512.799801,3481105.093891,8384780.167729,80851.540606,6423673.925554
26499,1184804.224484,107122.897469,4266276.510131,147538880.550487,506663.335772,3045369.379237,8377773.034268,3152755.138972,8746036.242813,70088.814907,7149363.378714
26572,1129134.41214,121677.479534,4524726.793097,147767288.388441,503564.186162,4230250.680222,9743078.122699,3281926.599151,8245596.933869,63570.59598,7855046.5922
26645,1130007.88152,108099.695232,4779507.946469,147930353.254018,503244.638275,4367692.41768,9676131.323303,3412160.394051,8297696.617056,140037.162793,7259490.567763
26718,1203142.922286,90490.233654,4236102.112059,148006647.26237,503244.644358,3363099.181307,8457485.138558,3388080.855887,8539799.583408,96459.47273,6418325.718904
26791,1261134.499953,94244.892411,4348908.014965,148067687.397619,543455.810696,2658981.436372,10126895.209446,3492341.388855,8526705.586722,80134.677405,6377431.544669
26864,1206021.096158,107360.223671,4241966.823258,148242431.182531,541617.051609,3050695.343368,8385689.597256,3170163.192304,8883667.875677,69461.014235,7101573.837336
26937,1150275.768943,121853.209153,4497873.579487,148474009.356987,538383.510357,4238858.122183,9750200.941227,3297935.143623,8345893.146777,62957.607795,7803761.060411
27010,1151150.969684,108233.336098,4751340.008636,148639813.593752,538048.723113,4376029.922369,9683391.353084,3427370.819031,8394536.086765,138980.079477,7204731.49682
27083,1228222.812679,90619.258629,4210003.267598,148718404.027277,538048.729133,3371599.546187,8464169.697083,3396066.608247,8636791.004502,95426.256347,6363203.486831
27156,1288766.960218,94336.284397,4321042.261814,148780501.893689,580904.953131,2660500.386773,10135118.854736,3498416.191317,8622998.330482,79314.705045,6320147.746462
27229,1232096.527462,107439.732285,4215164.539943,148956576.00713,578992.618511,3038467.190397,8394970.054546,3184029.582787,8975425.621808,68807.953903,7034957.894544
27302,1176303.045818,122117.243802,4468842.603427,149192385.260704,575616.760854,4239416.031594,9758735.200958,3310288.193375,8406279.119299,62306.321203,7753817.029266
27375,1177186.682115,108539.218472,4722073.525992,149363087.871187,575263.445099,4395596.739053,9691704.556766,3439486.008405,8452727.497967,137672.331152,7151819.829855
