"pred.names","prey.names","Bio_JC.pprey","Bio_Orig.pprey","Bio_RG.pprey"
"1GOO1","BLF",0.04,0.09,0.09
"2GOO1","BLF",0.04,0.09,0.09
"1GOO2","BLF",0.04,0.09,0.09
"2GOO2","BLF",0.04,0.09,0.09
"1STB2","BLF",0.05,0.1125,0.1125
"ZM","BLF",0,0.01,0.01
"ZS","BLF",0,0.05,0.05
"1MAK1","WPF",0.05,0,0
"2MAK1","WPF",0.05,0,0
"1MAK2","WPF",0.05,0,0
"2MAK2","WPF",0.05,0,0
"1BSB1","WPF",0.05,0,0
"2BSB1","WPF",0.05,0,0
"1BSB2","WPF",0.025,0,0
"2BSB2","WPF",0.025,0,0
"ZM","WPF",0,0.01,0.01
"ZS","WPF",0,0.05,0.05
"1BLF1","SUF",0.05,0.1,0.1
"2BLF1","SUF",0.01,0.02,0.02
"1BLF2","SUF",0.08,0.15,0.15
"2BLF2","SUF",0.025,0.05,0.05
"1GOO1","SUF",0.025,0.05,0.05
"2GOO1","SUF",0.025,0.05,0.05
"1GOO2","SUF",0.06,0.12,0.12
"2GOO2","SUF",0.04,0.09,0.09
"1SHK1","SUF",0.0125,0.05,0.05
"1SHK2","SUF",0.0125,0.05,0.05
"2SHK2","SUF",0.005,0.01,0.01
"1DOG1","SUF",0.13,0.2625,0.2625
"2DOG1","SUF",0.13,0.2625,0.2625
"1DOG2","SUF",0.13,0.2625,0.2625
"2DOG2","SUF",0.13,0.2625,0.2625
"ZM","SUF",0,0.01,0.01
"ZS","SUF",0,0.05,0.05
"1SHK1","FOU",0.02,0.09,0.09
"1SHK2","FOU",0.02,0.09,0.09
"2SHK2","FOU",0.04,0.09,0.09
"1HER1","HAL",0,1e-05,1e-05
"2HER1","HAL",0,1e-05,1e-05
"1HER2","HAL",0,1e-05,1e-05
"2HER2","HAL",0,1e-05,1e-05
"1ANC1","HAL",0,1e-05,1e-05
"2ANC1","HAL",0,1e-05,1e-05
"1ANC2","HAL",0,1e-05,1e-05
"2ANC2","HAL",0,1e-05,1e-05
"1DOG1","HAL",0.025,0.01,0.01
"1DOG2","HAL",0.025,0.05,0.05
"2DOG2","HAL",0.025,0,0
"SCA","HAL",0.001,1e-04,1e-04
"BFF","HAL",0.01,1e-04,1e-04
"BG","HAL",0.25,0,0
"ZM","HAL",0,0.05,0.05
"ZS","HAL",0,0.001,0.001
"1GOO1","PLA",0.025,0.05,0.05
"2GOO1","PLA",0.025,0.05,0.05
"1GOO2","PLA",0.06,0.12,0.12
"2GOO2","PLA",0.045,0.09,0.09
"1SHK1","PLA",0.025,0.05,0.05
"1SHK2","PLA",0.025,0.05,0.05
"1POL2","PLA",0.025,0.05,0.05
"2POL2","PLA",0.05,0.1,0.1
"1WPF1","FLA",0.045,0.09,0.09
"2WPF1","FLA",0.045,0.09,0.09
"1WPF2","FLA",0.025,0.05,0.05
"2WPF2","FLA",0.025,0.05,0.05
"1HER1","BIL",0,1e-05,1e-05
"2HER1","BIL",0,1e-05,1e-05
"1HER2","BIL",0,1e-05,1e-05
"2HER2","BIL",0,1e-05,1e-05
"1ANC1","BIL",0,1e-05,1e-05
"2ANC1","BIL",0,1e-05,1e-05
"1ANC2","BIL",0,1e-05,1e-05
"2ANC2","BIL",0,1e-05,1e-05
"SCA","BIL",0.001,1e-04,1e-04
"BFF","BIL",0.01,1e-04,1e-04
"BG","BIL",0.25,0,0
"ZM","BIL",0,0.05,0.05
"ZS","BIL",0,0.001,0.001
"1MAK1","MPF",0.05,0.2,0.2
"2MAK1","MPF",0.05,0.2,0.2
"1MAK2","MPF",0.05,0.2,0.2
"2MAK2","MPF",0.05,0.2,0.2
"1MPF1","MPF",1e-04,0.1,0.1
"2MPF1","MPF",1e-04,0.1,0.1
"1MPF2","MPF",1e-04,0.1,0.1
"2MPF2","MPF",1e-04,0.1,0.1
"1BSB1","MPF",0.05,0.09,0.09
"2BSB1","MPF",0.05,0.09,0.09
"1BSB2","MPF",0.025,0.09,0.09
"2BSB2","MPF",0.025,0.09,0.09
"1RED1","MPF",0.05,0.1,0.1
"2RED1","MPF",0.05,0.1,0.1
"1RED2","MPF",0.1,0.2,0.2
"2RED2","MPF",0.1,0.2,0.2
"ZM","MPF",0,0.01,0.01
"ZS","MPF",0,0.05,0.05
"1MAK1","BUT",0.05,0.1,0.1
"2MAK1","BUT",0.005,0.1,0.1
"1MAK2","BUT",0.005,0.1,0.1
"2MAK2","BUT",0.005,0.1,0.1
"1SHK1","BUT",0.005,0.1,0.1
"2SHK1","BUT",0.005,0.1,0.1
"1SHK2","BUT",0.005,0.1,0.1
"2SHK2","BUT",0.005,0.1,0.1
"1BSB1","BUT",0.05,0.09,0.09
"2BSB1","BUT",0.05,0.09,0.09
"1BSB2","BUT",0.05,0.09,0.09
"2BSB2","BUT",0.05,0.09,0.09
"1MAK1","BPF",0.05,0.2,0.2
"2MAK1","BPF",0.05,0.2,0.2
"1MAK2","BPF",0.05,0.2,0.2
"2MAK2","BPF",0.05,0.2,0.2
"1BSB1","BPF",0.05,0.2,0.2
"2BSB1","BPF",0.05,0.2,0.2
"1BSB2","BPF",0.025,0.09,0.09
"2BSB2","BPF",0.025,0.09,0.09
"ZM","BPF",0,0.01,0.01
"ZS","BPF",0,0.05,0.05
"1MAK1","ANC",0.01,0.05,0.05
"2MAK1","ANC",0.005,0.05,0.05
"1MAK2","ANC",0.005,0.05,0.05
"2MAK2","ANC",0.005,0.05,0.05
"1BSB1","ANC",0.05,0.2,0.2
"2BSB1","ANC",0.05,0.2,0.2
"1BSB2","ANC",0.025,0.09,0.09
"2BSB2","ANC",0.025,0.09,0.09
"1DOG2","ANC",0.05,0,0
"2DOG2","ANC",0.05,0.105,0.105
"LOB","ANC",0.125,0,0
"1GOO1","GOO",1e-04,0.03,0.03
"2GOO1","GOO",1e-04,0.03,0.03
"1GOO2","GOO",1e-04,0.03,0.03
"2GOO2","GOO",1e-04,0.03,0.03
"1WOL1","GOO",0.025,0.05,0.05
"1WOL2","GOO",0.035,0.07,0.07
"2WOL1","GOO",0.025,0.05,0.05
"2WOL2","GOO",0.025,0.05,0.05
"1DOG1","GOO",0.055,0.1125,0.1125
"2DOG1","GOO",0.055,0.1125,0.1125
"1DOG2","GOO",0.055,0.1125,0.1125
"2DOG2","GOO",0.055,0.1125,0.1125
"ZM","GOO",0,0.05,0.05
"1MAK1","MEN",0.05,0.1,0.1
"1MAK2","MEN",0.01,0.1,0.1
"1SHK1","MEN",0.035,0.07,0.07
"2SHK1","MEN",0.015,0.03,0.03
"1SHK2","MEN",0.035,0.07,0.07
"2SHK2","MEN",0.015,0.0375,0.0375
"1RED1","MEN",0.045,0.09,0.09
"2RED1","MEN",0.025,0.05,0.05
"1RED2","MEN",0.025,0.05,0.05
"2RED2","MEN",0.025,0.05,0.05
"1MAK1","FDE",0.05,0.1,0.1
"1MAK2","FDE",0.05,0.1,0.1
"1SHK1","FDE",0.035,0.07,0.07
"2SHK1","FDE",0.015,0.03,0.03
"1SHK2","FDE",0.035,0.07,0.07
"2SHK2","FDE",0.015,0.0375,0.0375
"1BSB1","FDE",0.05,0.09,0.09
"2BSB1","FDE",0.1,0.25,0.25
"1BSB2","FDE",0.05,0.0975,0.0975
"2BSB2","FDE",0.1,0.25,0.25
"1HAD1","FDE",0.06,0.12,0.12
"2HAD1","FDE",0.06,0.12,0.12
"1HAD2","FDE",0.055,0.1125,0.1125
"2HAD2","FDE",0.055,0.1125,0.1125
"1ANC2","COD",0.005,0,0
"1GOO1","COD",0.06,0.12,0.12
"2GOO1","COD",0.06,0.12,0.12
"1GOO2","COD",0.06,0.12,0.12
"2GOO2","COD",0.06,0.12,0.12
"1SHK1","COD",0.0015,0.00375,0.00375
"2SHK1","COD",0.001,0.00225,0.00225
"1SHK2","COD",0.002,0.0040625,0.0040625
"2SHK2","COD",0.0015,0.0035,0.0035
"2WTF1","SHK",0.05,0,0
"2WTF2","SHK",0.06,0,0
"1GOO1","SHK",0.005,0.1,0.1
"2GOO1","SHK",0.005,0.1,0.1
"1GOO2","SHK",0.005,0.1,0.1
"2GOO2","SHK",0.005,0.1,0.1
"1SHK1","SHK",0.001,0.106,0.106
"2SHK1","SHK",0.001,0.119,0.119
"1SHK2","SHK",0.001,0.106,0.106
"2SHK2","SHK",0.001,0.2,0.2
"2WTF1","OHK",0.05,0,0
"2WTF2","OHK",0.06,0,0
"1GOO1","OHK",0.005,0.081,0.081
"2GOO1","OHK",0.005,0.081,0.081
"1GOO2","OHK",0.005,0.081,0.081
"2GOO2","OHK",0.005,0.081,0.081
"1SHK1","OHK",0.025,0.05,0.05
"2SHK1","OHK",0.035,0.07,0.07
"1SHK2","OHK",0.04,0.08,0.08
"2SHK2","OHK",0.005,0.01,0.01
"1HER1","POL",0,1e-05,1e-05
"2HER1","POL",0,1e-05,1e-05
"1HER2","POL",0,1e-05,1e-05
"2HER2","POL",0,1e-05,1e-05
"1SHK1","POL",0.025,0.05,0.05
"2SHK1","POL",0.035,0.07,0.07
"1SHK2","POL",0.04,0.08,0.08
"2SHK2","POL",0.005,0.01,0.01
"SCA","POL",0.001,1e-04,1e-04
"BFF","POL",0.01,1e-04,1e-04
"BG","POL",0.25,0,0
"ZM","POL",0,0.05,0.05
"ZS","POL",0,0.001,0.001
"2WTF1","RHK",0.05,0,0
"2WTF2","RHK",0.06,0,0
"1GOO1","RHK",0.005,0.05,0.05
"2GOO1","RHK",0.005,0.05,0.05
"1GOO2","RHK",0.005,0.1,0.1
"2GOO2","RHK",0.005,0.1,0.1
"1SHK1","RHK",0.025,0.05,0.05
"2SHK1","RHK",0.035,0.07,0.07
"1SHK2","RHK",0.04,0.08,0.08
"2SHK2","RHK",0.005,0.01,0.01
"1GOO1","BSB",0,0.05,0.05
"2GOO1","BSB",0,0.05,0.05
"1GOO2","BSB",0,0.1,0.1
"2GOO2","BSB",0,0.1,0.1
"1SHK1","BSB",0.025,0.05,0.05
"2SHK1","BSB",0.035,0.07,0.07
"1SHK2","BSB",0.04,0.08,0.08
"2SHK2","BSB",0.005,0.01,0.01
"1SHK1","SCU",0.0125,0.05,0.05
"2SHK1","SCU",0.015,0.07,0.07
"1SHK2","SCU",0.02,0.08,0.08
"2SHK2","SCU",0.0025,0.01,0.01
"1STB1","SCU",0.07,0.15,0.15
"2STB1","SCU",0.065,0.135,0.135
"1STB2","SCU",0.06,0.12,0.12
"2STB2","SCU",0.1,0.2,0.2
"1HER1","TYL",0,1e-05,1e-05
"2HER1","TYL",0,1e-05,1e-05
"1HER2","TYL",0,1e-05,1e-05
"2HER2","TYL",0,1e-05,1e-05
"SCA","TYL",0.001,1e-04,1e-04
"BFF","TYL",0.01,1e-04,1e-04
"BG","TYL",0.25,0,0
"ZM","TYL",0,0.05,0.05
"ZS","TYL",0,0.001,0.001
"1ANC2","RED",0.005,0,0
"1WSK1","OPT",0.025,0.05,0.05
"2WSK1","OPT",0.12,0.24,0.24
"1WSK2","OPT",0.12,0.24,0.24
"2WSK2","OPT",0.12,0.24,0.24
"1LSK1","OPT",0.025,0.05,0.05
"2LSK1","OPT",0.09,0.18,0.18
"1LSK2","OPT",0.09,0.18,0.18
"2LSK2","OPT",0.09,0.18,0.18
"1HER1","SAL",0,1e-05,1e-05
"2HER1","SAL",0,1e-05,1e-05
"1HER2","SAL",0,1e-05,1e-05
"2HER2","SAL",0,1e-05,1e-05
"1ANC1","SAL",0,1e-05,1e-05
"2ANC1","SAL",0,1e-05,1e-05
"1ANC2","SAL",0,1e-05,1e-05
"2ANC2","SAL",0,1e-05,1e-05
"1DOG1","SAL",0.025,0.05,0.05
"1DOG2","SAL",0.025,0.05,0.05
"2DOG2","SAL",0.025,0.05,0.05
"SCA","SAL",0.001,1e-04,1e-04
"BFF","SAL",0.01,1e-04,1e-04
"BG","SAL",0.25,0,0
"ZM","SAL",0,0.05,0.05
"ZS","SAL",0,0.001,0.001
"1BLF1","DRM",0.025,0.05,0.05
"1BLF2","DRM",0.05,0.1,0.1
"2BLF2","DRM",0.025,0.05,0.05
"1BSB1","DRM",0.04,0.09375,0.09375
"1BSB2","DRM",0.05,0.1005,0.1005
"1DRM1","DRM",0.01,0.15,0.15
"2DRM1","DRM",0.01,0.135,0.135
"1DRM2","DRM",0.01,0.12,0.12
"2DRM2","DRM",0.01,0.2,0.2
"1YTF1","DRM",0.06,0.12,0.12
"2YTF1","DRM",0.06,0.12,0.12
"1YTF2","DRM",0.06,0.12,0.12
"1GOO1","STB",0,0.05,0.05
"2GOO1","STB",0,0.05,0.05
"1GOO2","STB",0,0.1,0.1
"2GOO2","STB",0,0.1,0.1
"1YTF1","STB",0.02,0.12,0.12
"2YTF1","STB",0.02,0.12,0.12
"1YTF2","STB",0.02,0.12,0.12
"2YTF2","STB",0.02,0,0
"1YTF1","TAU",0.03,0.12,0.12
"2YTF1","TAU",0.03,0.12,0.12
"1YTF2","TAU",0.03,0.12,0.12
"1HER1","WOL",0,1e-05,1e-05
"2HER1","WOL",0,1e-05,1e-05
"1HER2","WOL",0,1e-05,1e-05
"2HER2","WOL",0,1e-05,1e-05
"SCA","WOL",0.001,1e-04,1e-04
"BFF","WOL",0.01,1e-04,1e-04
"BG","WOL",0.25,0,0
"ZM","SDF",0,0.01,0.01
"ZS","SDF",0,0.05,0.05
"1STB1","FDF",0.075,0.15,0.15
"2STB1","FDF",0.065,0.135,0.135
"1STB2","FDF",0.06,0.12,0.12
"2STB2","FDF",0.1,0.2,0.2
"1HAD1","FDF",0.09,0.18,0.18
"2HAD1","FDF",0.1,0.2,0.2
"1HAD2","FDF",0.075,0.15,0.15
"2HAD2","FDF",0.075,0.15,0.15
"1YTF1","FDF",0.045,0.09,0.09
"2YTF1","FDF",0.045,0.09,0.09
"1YTF2","FDF",0.045,0.09,0.09
"2YTF2","FDF",0.045,0.09,0.09
"ZM","FDF",0,0.01,0.01
"ZS","FDF",0,0.05,0.05
"1ANC2","HAD",0.005,0,0
"1GOO1","HAD",0.025,0.05,0.05
"2GOO1","HAD",0.025,0.05,0.05
"1GOO2","HAD",0.05,0.1,0.1
"2GOO2","HAD",0.025,0.1,0.1
"1OPT1","HAD",0.025,0.1125,0.1125
"2OPT1","HAD",0.025,0.1125,0.1125
"1OPT2","HAD",0.05,0.2,0.2
"2OPT2","HAD",0.05,0.1,0.1
"1HAD1","HAD",1e-04,0.09,0.09
"2HAD1","HAD",1e-04,0.09,0.09
"1HAD2","HAD",1e-04,0.09,0.09
"2HAD2","HAD",1e-04,0.09,0.09
"1SHK1","YTF",0.045,0.09,0.09
"2SHK1","YTF",0.002,0.045,0.045
"1SHK2","YTF",0.001,0.002,0.002
"2SHK2","YTF",0.002,0.045,0.045
"ZM","YTF",0,0.01,0.01
"ZS","YTF",0,0.05,0.05
"1GOO2","DOG",0.005,0.09,0.09
"2GOO2","DOG",0.005,0.09,0.09
"1DOG1","DOG",0.003375,0.225,0.225
"2DOG1","DOG",0.1,0.225,0.225
"1DOG2","DOG",0.1,0.225,0.225
"2DOG2","DOG",0.1,0.225,0.225
"1REP1","DOG",0.05,0,0
"2REP1","DOG",0.05,0,0
"1REP2","DOG",0.05,0,0
"2REP2","DOG",0.05,0,0
"LOB","DOG",0.001,0,0
"RCB","DOG",0.025,0,0
"BMS","DOG",0.0025,0,0
"BC","DOG",0.01,0,0
"1SMO1","SMO",0.1,0.225,0.225
"2SMO1","SMO",0.1,0.225,0.225
"1SMO2","SMO",0.1,0.25,0.25
"2SMO2","SMO",0.1,0.275,0.275
"ZM","SMO",0,0.05,0.05
"1SSH1","SSH",0.05,0.225,0.225
"2SSH1","SSH",0.05,0.225,0.225
"1SSH2","SSH",0.05,0.25,0.25
"2SSH2","SSH",0.05,0.275,0.275
"1DSH1","SSH",0.01,0.225,0.225
"2DSH1","SSH",0.01,0.225,0.225
"1DSH2","SSH",0.01,0.25,0.25
"2DSH2","SSH",0.01,0.275,0.275
"1SSH1","DSH",0.05,0.2,0.2
"2SSH1","DSH",0.05,0.21,0.21
"1SSH2","DSH",0.05,0.25,0.25
"2SSH2","DSH",0.05,0.275,0.275
"1DSH1","DSH",0.01,0.2,0.2
"2DSH1","DSH",0.01,0.21,0.21
"1DSH2","DSH",0.01,0.25,0.25
"2DSH2","DSH",0.01,0.275,0.275
"SCA","POR",0.001,1e-04,1e-04
"BFF","POR",0.01,1e-04,1e-04
"BG","POR",0.01,0,0
"ZM","POR",0,0.01,0.01
"ZS","POR",0,0.05,0.05
"1SSH1","PSH",0.05,0,0
"2SSH1","PSH",0.05,0,0
"1SSH2","PSH",0.05,0,0
"2SSH2","PSH",0.05,0,0
"1DSH1","PSH",0.01,0,0
"2DSH1","PSH",0.01,0,0
"1DSH2","PSH",0.01,0,0
"2DSH2","PSH",0.01,0,0
"2WTF1","WSK",0.05,0.1,0.1
"2WTF2","WSK",0.06,0.12,0.12
"1GOO1","WSK",0.005,0.09,0.09
"2GOO1","WSK",0.005,0.09,0.09
"1GOO2","WSK",0.005,0.09,0.09
"2GOO2","WSK",0.005,0.09,0.09
"2WTF1","LSK",0.05,0.1,0.1
"2WTF2","LSK",0.06,0.12,0.12
"1GOO1","LSK",0.005,0.03,0.03
"2GOO1","LSK",0.005,0.09,0.09
"1GOO2","LSK",0.005,0.03,0.03
"2GOO2","LSK",0.005,0.09,0.09
"1BSB1","LSK",0.05,0.1,0.1
"1BSB2","LSK",0.015,0.03,0.03
"1LSK1","LSK",0.01,0.0765,0.0765
"2LSK1","LSK",0.01,0.0765,0.0765
"1LSK2","LSK",0.01,0.03,0.03
"2LSK2","LSK",0.01,0.03,0.03
"2WTF1","SK",0.05,0.1,0.1
"2WTF2","SK",0.06,0.12,0.12
"1GOO1","SK",0.005,0.09,0.09
"2GOO1","SK",0.005,0.09,0.09
"1GOO2","SK",0.005,0.09,0.09
"2GOO2","SK",0.005,0.09,0.09
"1GOO1","SB",0,0.05,0.05
"2GOO1","SB",0,0.05,0.05
"1GOO2","SB",0,0.05,0.05
"2GOO2","SB",0,0.05,0.05
"1WOL1","SB",0,0.05,0.05
"1WOL2","SB",0,0.05,0.05
"2WOL1","SB",0,0.05,0.05
"2WOL2","SB",0,0.05,0.05
"1POR1","RWH",0.0125,0,0
"2POR1","RWH",0.0125,0,0
"1POR2","RWH",0.0125,0.05,0.05
"2POR2","RWH",0.0125,0,0
"1PSH1","RWH",0.01,0,0
"2PSH1","RWH",0.01,0,0
"1PSH2","RWH",0.01,0.05,0.05
"2PSH2","RWH",0.01,0,0
"1POR1","BWH",0.0125,0,0
"2POR1","BWH",0.0125,0,0
"1POR2","BWH",0.0125,0.05,0.05
"2POR2","BWH",0.0125,0,0
"1PSH1","BWH",0.01,0,0
"2PSH1","BWH",0.01,0,0
"1PSH2","BWH",0.01,0.05,0.05
"2PSH2","BWH",0.01,0,0
"1POR1","SWH",0.0125,0.05,0.05
"2POR1","SWH",0.0125,0.05,0.05
"1POR2","SWH",0.0125,0.05,0.05
"2POR2","SWH",0.0125,0.05,0.05
"1PSH1","SWH",0.01,0.05,0.05
"2PSH1","SWH",0.01,0.05,0.05
"1PSH2","SWH",0.01,0.05,0.05
"2PSH2","SWH",0.01,0.05,0.05
"1POR1","TWH",0.0125,0,0
"2POR1","TWH",0.0125,0,0
"1POR2","TWH",0.0125,0,0
"2POR2","TWH",0.0125,0,0
"1PSH1","TWH",0.01,0,0
"2PSH1","TWH",0.01,0,0
"1PSH2","TWH",0.01,0,0
"2PSH2","TWH",0.01,0,0
"1DOG1","SCA",0.003,0.03,0.003
"2DOG1","SCA",0.003,0.03,0.003
"1DOG2","SCA",0.003,0.03,0.003
"2DOG2","SCA",0.003,0.03,0.003
"LOB","SCA",0.001,0.02,0.001
"RCB","SCA",0.0025,0.01,0.0025
"BMS","SCA",2e-04,0.02,2e-04
"BC","SCA",0.005,0.02,0.005
"1HER1","QHG",1e-04,1e-04,0
"1HER2","QHG",1e-04,1e-04,0
"1FDF1","QHG",0.05,0.1,0.05
"2FDF1","QHG",0.05,0.1052546,0.05
"1FDF2","QHG",0.05,0.1,0.05
"2FDF2","QHG",0.05,0.1052546,0.05
"1DOG1","QHG",0.003375,0.1125,0.003375
"2DOG1","QHG",0.1125,0.1125,0.003375
"1DOG2","QHG",0.1125,0.1125,0.003375
"2DOG2","QHG",0.1125,0.1125,0.003375
"1REP1","QHG",0.05,0.0675,0.0675
"2REP1","QHG",0.05,0.0675,0.0675
"1REP2","QHG",0.05,0.0675,0.0675
"2REP2","QHG",0.05,0.0675,0.0675
"1NSH1","QHG",0,0.045,0
"2NSH1","QHG",0,0.045,0
"1NSH2","QHG",0,0.045,0
"2NSH2","QHG",0,0.045,0
"1OSH1","QHG",0,0.045,0
"2OSH1","QHG",0,0.045,0
"LOB","QHG",0.001,0.02,0.001
"RCB","QHG",0.025,0.03375,0.025
"BMS","QHG",0.0025,0.02,0.001
"BC","QHG",0.01,0.003,0.001
"1HER1","CLA",0,1e-04,0
"1HER2","CLA",0,1e-04,0
"1FDF1","CLA",0.075,0.15,0.075
"2FDF1","CLA",0.075,0.15,0.075
"1FDF2","CLA",0.075,0.15,0.075
"2FDF2","CLA",0.075,0.15,0.075
"1DOG1","CLA",0.003375,0.1,0.003375
"2DOG1","CLA",0.003375,0.1,0.003375
"1DOG2","CLA",0.003375,0.1,0.003375
"2DOG2","CLA",0.003375,0.1,0.003375
"1NSH1","CLA",0,0.045,0
"2NSH1","CLA",0,0.045,0
"1NSH2","CLA",0,0.045,0
"2NSH2","CLA",0,0.045,0
"1OSH1","CLA",0,0.045,0
"2OSH1","CLA",0,0.045,0
"1OSH2","CLA",0,0.045,0.045
"2OSH2","CLA",0,0.045,0.045
"LOB","CLA",0.001,0.02,0.001
"RCB","CLA",0.0025,0.005,0.0025
"BMS","CLA",0.001,0.02,0.001
"BC","CLA",0.001,0.003,0.001
"1ANC2","BFF",0,0.15,0.15
"1FDF1","BFF",0.05,0.1,0.05
"2FDF1","BFF",0.05,0.1052546,0.05
"1FDF2","BFF",0.05,0.1,0.05
"2FDF2","BFF",0.05,0.1052546,0.05
"1DOG1","BFF",0.003375,0.03375,0.003375
"1NSH1","BFF",0,0.045,0
"2NSH1","BFF",0,0.045,0
"1NSH2","BFF",0,0.045,0
"2NSH2","BFF",0,0.045,0
"1OSH1","BFF",0,0.045,0
"2OSH1","BFF",0,0.045,0
"LOB","BFF",0.001,0.02,0.001
"RCB","BFF",0.0025,0.001,0.0025
"BMS","BFF",0.001,0.02,0.001
"BC","BFF",0.001,0.003,0.001
"ZM","BFF",0,0.01,0.01
"ZS","BFF",0,0.05,0.05
"BO","BFF",0,0.1,0.1
"1ANC2","BG",0,0.1,0.1
"1DOG1","BG",0.003375,0.03375,0.003375
"1REP1","BG",0.05,0.1125,0.1125
"2REP1","BG",0.05,0.1125,0.1125
"1REP2","BG",0.05,0.1125,0.1125
"2REP2","BG",0.05,0.1125,0.1125
"1NSH1","BG",0,0.225,0
"2NSH1","BG",0,0.05,0
"1NSH2","BG",0,0.225,0
"2NSH2","BG",0,0.05,0
"1OSH1","BG",0,0.225,0
"2OSH1","BG",0,0.05,0
"LOB","BG",0.001,0.06,0.001
"RCB","BG",0.025,0.01,0.025
"BMS","BG",0.0025,0.09,0.0025
"BC","BG",0.01,0.045,0.01
"1BUT1","LOB",0,0.00677529,0
"1BUT2","LOB",0,0.00677529,0
"1BPF2","LOB",0,0.00677529,0
"1GOO1","LOB",0,0.06,0.06
"2GOO1","LOB",0,0.06,0.06
"1GOO2","LOB",0,0.06,0.06
"2GOO2","LOB",0,0.06,0.06
"1WOL1","LOB",0,0.08,0.08
"1WOL2","LOB",0,0.09,0.09
"2WOL1","LOB",0,0.08,0.08
"2WOL2","LOB",0,0.09,0.09
"1DOG1","LOB",0.02,0.1,0.02
"2DOG1","LOB",0.02,0.1,0.02
"1DOG2","LOB",0.02,0.1,0.02
"2DOG2","LOB",0.02,0.1,0.02
"2NSH1","LOB",0,0.05,0
"2NSH2","LOB",0,0.05,0
"LOB","LOB",0.002,0.004,0.002
"RCB","LOB",0.001,0.005,0.001
"BMS","LOB",0.001,0.02,0.001
"BC","LOB",0.0025,0.01,0.0025
"1BUT1","RCB",0,0.25,0
"1BUT2","RCB",0,0.2,0
"1BPF2","RCB",0,0.2,0
"1GOO1","RCB",0,0.08,0.08
"2GOO1","RCB",0,0.08,0.08
"1GOO2","RCB",0,0.06,0.06
"2GOO2","RCB",0,0.06,0.06
"1WOL1","RCB",0,0.0493747,0.0493747
"1WOL2","RCB",0,0.0493747,0.0493747
"2WOL1","RCB",0,0.15,0.15
"2WOL2","RCB",0,0.15,0.15
"1FDF2","RCB",0.1,0.15,0.1
"2FDF2","RCB",0.1,0.15,0.1
"1DOG1","RCB",0.02,0.1,0.02
"2DOG1","RCB",0.02,0.1,0.02
"1DOG2","RCB",0.02,0.1,0.02
"2DOG2","RCB",0.02,0.1,0.02
"1NSH1","RCB",0,0.05625,0
"2NSH1","RCB",0,0.05625,0
"1NSH2","RCB",0,0.05625,0
"2NSH2","RCB",0,0.05625,0
"LOB","RCB",0.001,0.005,0.001
"RCB","RCB",0.0025,0.001,0.0025
"BMS","RCB",0.001,0.1125,0.001
