pred.names,prey.names,Bio_JC.pprey,Bio_Orig.pprey,Bio_RG.pprey,"Version (R,J,O?)"
2DOG1,SUF,0.01,0.2625,0.13,
1DOG2,SUF,0.01,0.2625,0.13,
2DOG2,SUF,0.01,0.2625,0.13,
1SHK1,FOU,0.04,0.09,0.02,
1SHK2,FOU,0.04,0.09,0.02,
2SHK2,FOU,0.08,0.09,0.04,
1FLA1,BUT,0.05,0.25,0.1,
2FLA1,BUT,0.05,0.25,0.1,
1FLA2,BUT,0.05,0.25,0.1,
2FLA2,BUT,0.05,0.25,0.1,
1SHK1,ANC,0.01,0.04,0.02,
2SHK1,ANC,0.015,0.07,0.035,
1SHK2,ANC,0.01,0.04,0.02,
2SHK2,ANC,0.015,0.07,0.035,
1RED1,ANC,0.05,0.2,0.1,
2RED1,ANC,0.05,0.2,0.1,
1RED2,ANC,0.02,0.09,0.045,
2RED2,ANC,0.02,0.09,0.045,
1WOL1,GOO,0.005,0.05,0.025,
1WOL2,GOO,0.005,0.07,0.035,
2WOL1,GOO,0.005,0.05,0.025,
2WOL2,GOO,0.005,0.05,0.025,
1DOG1,GOO,0.001,0.1125,0.055,
2DOG1,GOO,0.001,0.1125,0.055,
1DOG2,GOO,0.001,0.1125,0.055,
2DOG2,GOO,0.001,0.1125,0.055,
1MAK1,MEN,1.00E-04,0.1,0.0025,
1MAK2,MEN,5.00E-04,0.1,0.005,
1WHK1,MEN,0.0225,0.09,0.045,
1WHK2,MEN,0.0225,0.0975,0.045,
1BLF1,MEN,0.01,0.1,0.025,
2BLF1,MEN,0.01,0.09,0.02,
1BLF2,MEN,0.02,0.15,0.04,
2BLF2,MEN,0.02,0.15,0.04,
1SHK1,MEN,0.0025,0.07,0.005,
2SHK1,MEN,0.00125,0.03,0.0025,
1SHK2,MEN,0.0025,0.07,0.005,
2SHK2,MEN,0.00125,0.0375,0.0025,
1BLF1,SCU,0.05,0.2,0.1,
2BLF1,SCU,0.01,0.05,0.025,
1BLF2,SCU,0.025,0.1,0.05,
2BLF2,SCU,0.025,0.1,0.05,
1SHK1,SCU,0.006,0.05,0.0125,
2SHK1,SCU,0.0075,0.07,0.015,
1SHK2,SCU,0.01,0.08,0.02,
2SHK2,SCU,0.001,0.01,0.0025,
1HAL1,SAL,0.0125,0.1,0.05,
2HAL1,SAL,0.005,0.05,0.025,
1HAL2,SAL,0.0125,0.1125,0.055,
2HAL2,SAL,0.005,0.05,0.025,
1DOG1,SAL,0,0.05,0.01,
1DOG2,SAL,1.00E-05,0.05,0.01,
2DOG2,SAL,1.00E-05,0.05,0.01,
1COD1,SCA,0.005,0.08571429,0.01,
2COD1,SCA,0.005,0.08571429,0.01,
1COD2,SCA,0.005,0.08571429,0.01,
2COD2,SCA,0.005,0.08571429,0.01,
1DOG1,SCA,0.005,0.003,0.001,
2DOG1,SCA,0.005,0.003,0.001,
1DOG2,SCA,0.005,0.003,0.001,
2DOG2,SCA,0.005,0.003,0.001,
1WSK1,SCA,0.01,0.1,0.001,
2WSK1,SCA,0.01,0.1,0.001,
1WSK2,SCA,0.01,0.1,0.001,
2WSK2,SCA,0.01,0.1,0.001,
1SK1,SCA,0.005,0.06,0.001,
2SK1,SCA,0.005,0.06,0.001,
1SK2,SCA,0.005,0.06,0.001,
2SK2,SCA,0.005,0.06,0.001,
BC,SCA,5.00E-04,0.005,0.001,
1SCU1,QHG,0.01,0.1,0.005,
2SCU1,QHG,0.01,0,0.005,
1SCU2,QHG,0.01,0.1,0.005,
2SCU2,QHG,0.01,0,0.005,
1FDF1,QHG,0.02,0.05,5.00E-04,
2FDF1,QHG,0.02,0.05,5.00E-04,
1FDF2,QHG,0.02,0.05,5.00E-04,
2FDF2,QHG,0.02,0.05,5.00E-04,
1DOG1,QHG,0.0025,0.003375,0.00025,
2DOG1,QHG,0.0025,0.003375,0.00025,
1DOG2,QHG,0.0025,0.003375,0.00025,
2DOG2,QHG,0.0025,0.003375,0.00025,
1WSK1,QHG,0.005,0.1,5.00E-04,
2WSK1,QHG,0.005,0.1,5.00E-04,
1WSK2,QHG,0.005,0.1,5.00E-04,
2WSK2,QHG,0.005,0.1,5.00E-04,
1LSK1,QHG,0.05,0.1,0.005,
1SK1,QHG,0.005,0.1,5.00E-04,
2SK1,QHG,0.005,0.1,5.00E-04,
1SK2,QHG,0.005,0.1,5.00E-04,
2SK2,QHG,0.005,0.1,5.00E-04,
BMS,QHG,0.00025,0.001,5.00E-04,
1SCU1,CLA,0.015,0.12,0.004,
1SCU2,CLA,0.015,0.12,0.004,
1FDF1,CLA,0.015,0.075,3.50E-05,
2FDF1,CLA,0.015,0.075,3.50E-05,
1FDF2,CLA,0.015,0.075,3.50E-05,
2FDF2,CLA,0.015,0.075,3.50E-05,
1DOG1,CLA,0.0025,0.003375,5.00E-05,
2DOG1,CLA,0.0025,0.003375,5.00E-05,
1DOG2,CLA,0.0025,0.003375,5.00E-05,
2DOG2,CLA,0.0025,0.003375,5.00E-05,
1WSK1,CLA,0.005,0.1,0.001,
2WSK1,CLA,0.005,0.1,0.001,
1WSK2,CLA,0.005,0.1,0.001,
2WSK2,CLA,0.005,0.1,0.001,
1SK1,CLA,0.0025,0.1,5.00E-04,
2SK1,CLA,0.0025,0.1,5.00E-04,
1SK2,CLA,0.0025,0.1,5.00E-04,
2SK2,CLA,0.0025,0.1,5.00E-04,
1WHK1,BFF,0.01,0.1,0.002,
2WHK1,BFF,0.01,0.1052546,0.002,
1WHK2,BFF,0.01,0.1,0.002,
2WHK2,BFF,0.01,0.1052546,0.002,
1BLF1,BFF,0.015,0.03,0.0015,
2BLF1,BFF,0.015,0.03,0.0015,
1BLF2,BFF,0.015,0.03,0.0015,
2BLF2,BFF,0.015,0.03,0.0015,
1FDE1,BFF,0.0125,0.2666667,0.025,
2FDE1,BFF,0.0125,0.2666667,0.025,
1FDE2,BFF,0.0125,0.2666667,0.025,
2FDE2,BFF,0.0125,0.2666667,0.025,
1HAD1,BFF,0.01,0.045,0.02,
2HAD1,BFF,0.01,0.045,0.02,
1HAD2,BFF,0.01,0.045,0.02,
2HAD2,BFF,0.01,0.045,0.02,
1DOG1,BFF,0.005,0.003375,1.00E-04,
2DOG1,BFF,0.005,0.03375,1.00E-04,
1DOG2,BFF,0.005,0.03375,1.00E-04,
2DOG2,BFF,0.005,0.03375,1.00E-04,
1SK1,BFF,0.005,0.1,0.001,
2SK1,BFF,0.005,0.1,0.001,
1SK2,BFF,0.005,0.1,0.001,
2SK2,BFF,0.005,0.1,0.001,
1BLF1,BG,0.01,0.075,0.001,
2BLF1,BG,0.01,0.075,0.001,
1SUF1,BG,0.005,0.12,0.01,
2SUF1,BG,0.005,0.12,0.01,
1SUF2,BG,0.005,0.12,0.01,
2SUF2,BG,0.005,0.12,0.01,
1BPF1,BG,0.055,0.225,0.11,
2BPF1,BG,0.04,0.15,0.08,
1BPF2,BG,0.055,0.225,0.11,
2BPF2,BG,0.04,0.15,0.08,
1GOO1,BG,0.015,0.06,0.03,
2GOO1,BG,0.015,0.06,0.03,
1GOO2,BG,0.015,0.06,0.03,
2GOO2,BG,0.015,0.06,0.03,
1SCU1,BG,0.005,0.105,0.01,
2SCU1,BG,0.005,0.105,0.01,
1SCU2,BG,0.005,0.105,0.01,
2SCU2,BG,0.005,0.105,0.01,
1FDF1,BG,0.01,0.08,0.025,
2FDF1,BG,0.01,0.08,0.025,
1FDF2,BG,0.01,0.08,0.025,
2FDF2,BG,0.01,0.08,0.025,
1WHK1,LOB,0.0025,0.08,5.00E-05,
2WHK1,LOB,0.0025,0.09,5.00E-05,
1WHK2,LOB,0.0025,0.08,5.00E-05,
2WHK2,LOB,0.0025,0.09,5.00E-05,
1BLF2,LOB,0.001,0.02,1.00E-04,
2BLF2,LOB,0.001,0.02,1.00E-04,
1WIF1,LOB,0.0025,0.05,5.00E-04,
1WIF2,LOB,0.0025,0.05,5.00E-04,
1COD1,LOB,0.001,0.02,1.00E-05,
2COD1,LOB,0.0025,0.01,2.50E-05,
1COD2,LOB,5.00E-04,0.05,5.00E-05,
2COD2,LOB,0.0025,0.05,2.50E-05,
1STB2,LOB,0.004,0.08,4.00E-04,
1FDF1,LOB,0.004,0.08,4.00E-04,
2FDF1,LOB,0.0045,0.09,0.00045,
1FDF2,LOB,0.004,0.08,4.00E-04,
2FDF2,LOB,0.0045,0.09,0.00045,
1HAD2,LOB,0.005,0.1,5.00E-04,
1DOG1,LOB,0.0025,0.02,2.50E-05,
2DOG1,LOB,0.0025,0.02,2.50E-05,
1DOG2,LOB,0.0025,0.02,2.50E-05,
2DOG2,LOB,0.0025,0.02,2.50E-05,
1DSH1,LOB,0.005,0.1,5.00E-04,
2DSH1,LOB,0.005,0.1,5.00E-04,
1DSH2,LOB,0.005,0.1,5.00E-04,
2DSH2,LOB,0.01,0.1,0.001,
1WSK1,LOB,0.0025,0.1666359,0.00025,
2WSK1,LOB,0.0025,0.1666359,0.00025,
1WSK2,LOB,0.0025,0.1666359,0.00025,
2WSK2,LOB,0.0025,0.1666359,0.00025,
1LSK1,LOB,0.01666359,0.1666359,0.001666359,
2LSK1,LOB,0.01666359,0.1666359,0.001666359,
1LSK2,LOB,0.01666359,0.1666359,0.001666359,
2LSK2,LOB,0.01666359,0.1666359,0.001666359,
1SK1,LOB,0.001,0.1666359,1.00E-04,
2SK1,LOB,0.001,0.1666359,1.00E-04,
1SK2,LOB,0.001,0.1666359,1.00E-04,
2SK2,LOB,0.001,0.1666359,1.00E-04,
1SUF1,BMS,0.01,0.05,0.005,
2SUF1,BMS,0.01,0.05,0.005,
1SUF2,BMS,0.01,0.05,0.005,
2SUF2,BMS,0.01,0.05,0.005,
1MAK1,ZL,5.00E-04,0.1,0.05,
2MAK1,ZL,0.0025,0.1,0.05,
1MAK2,ZL,0.0025,0.1,0.05,
2MAK2,ZL,0.0025,0.1,0.05,
1HER1,ZL,1.00E-04,1.00E-05,0,
2HER1,ZL,1.00E-04,1.00E-05,0,
1HER2,ZL,1.00E-04,1.00E-05,0,
2HER2,ZL,1.00E-04,1.00E-05,0,
1WHK1,ZL,5.00E-04,0.03,0.015,
2WHK1,ZL,5.00E-04,0.03,0.015,
1WHK2,ZL,5.00E-04,0.03,0.015,
2WHK2,ZL,5.00E-04,0.03,0.015,
1BLF1,ZL,1.00E-04,0.1,0.01,
2BLF1,ZL,1.00E-04,0.1,0.01,
1BLF2,ZL,1.00E-04,0.1,0.01,
2BLF2,ZL,1.00E-04,0.1,0.01,
1SUF1,ZL,0.001,0.1,0.01,
2SUF1,ZL,1.00E-04,0.1,0.01,
1SUF2,ZL,0.001,0.1,0.01,
2SUF2,ZL,1.00E-04,0.1,0.01,
1WIF1,ZL,5.00E-04,0.03,0.005,
2WIF1,ZL,1.00E-04,0.03,0.005,
1WIF2,ZL,5.00E-04,0.03,0.005,
