"Time","Apex_Predator","Benthivore","Benthos","Mammals","Other","Piscivore","Planktivore","Shrimp","Zooplankton"
20075,442.701025,83259.084719,116827.572821,0,0,65301.083661,176978.916886,0,0
20440,581.292038,94537.66368,110950.665235,0,0,71677.192944,126054.628238,0,0
20805,1017.552891,97248.23692,117106.370549,0,0,75405.75727,136875.963179,0,0
21170,955.742191,85263.177604,112765.395487,0,0,68885.906688,135090.459408,0,0
21535,841.248549,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
21900,841.109883,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
22265,840.973001,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
22630,840.949892,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
22995,840.942496,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
23360,840.894259,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
23725,840.843236,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
24090,840.794455,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
24455,840.783926,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
24820,840.76301,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
25185,840.738703,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
25550,840.713652,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
25915,840.710366,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
26280,840.698628,97128.285919,120871.645825,0,0,80161.199781,160008.228455,0,0
26645,840.78712,97125.096445,120871.645825,0,0,75948.349356,160008.228455,0,0
27010,840.867793,96841.983597,120871.645825,0,0,75584.740242,160008.228455,0,0
27375,841.015693,96781.165326,120871.645825,0,0,75584.740242,160008.228455,0,0
