"Code","Catch.mt","Biomass","F.mort","fishing.intensity"
"ANC",0,265550.21808,0,"N"
"BB",0,608869.228836,0,"N"
"BC",0,6006714.342678,0,"N"
"BD",0,3752440.684908,0,"N"
"BFF",671.326589945195,15347123.986184,4.37428270306245e-05,"L"
"BFT",583.149496189325,23393.473963,0.0249278707861712,"L"
"BG",0,5020477.35366,0,"N"
"BIL",655.720382949134,59364.601765,0.011045646116601,"L"
"BLF",14426.0904966841,85727.040495,0.168279348189157,"M"
"BLS",0,2366.398925,0,"N"
"BMS",17252.4382255484,722763.13284,0.0238701137919934,"L"
"BO",0,60255023.496072,0,"N"
"BPF",177.198118371047,229656.869824,0.000771577695484765,"L"
"BSB",1505.60200883785,12957.975647,0.116191143574685,"M"
"BUT",3083.88798657579,96197.035481,0.0320580355845258,"L"
"BWH",0,59583.725855,0,"N"
"CLA",110648.87921007,6688270.941798,0.0165437196209524,"L"
"COD",4046.04046807019,40921.859136,0.0988723521730416,"M"
"DC",0,0,NA,"N"
"DF",0,616095.117616,0,"N"
"DL",0,15052391.318573,0,"N"
"DOG",10328.5224384353,272079.999302,0.037961343961086,"L"
"DR",0,60209.565274,0,"N"
"DRM",3165.27636810572,389488.239499,0.0081267572345117,"L"
"DSH",24.4911619886621,432050.637121,5.66858601386649e-05,"L"
"FDE",372.920866646274,72994.004892,0.00510892459179406,"L"
"FDF",3927.95531889131,623561.925479,0.00629922251246174,"L"
"FLA",0,1698.979775,0,"N"
"FOU",0,13086.755253,0,"N"
"GOO",29853.8187395523,43381.750223,0.688165382588103,"H"
"HAD",5508.14931158425,49434.19267,0.111423875137481,"M"
"HAL",0,53397.189149,0,"N"
"HER",94963.0896258016,88857.485699,1.06871231926913,"H"
"INV",0,1916.129753,0,"N"
"ISQ",7374.16442740262,9984.292356,0.738576572527062,"H"
"LOB",36146.5215335832,86999.999999,0.41547725901148,"H"
"LSK",16080.4385375011,416164.655166,0.0386396065544946,"L"
"LSQ",9638.06620824635,13932.992016,0.69174418510959,"H"
"MA",0,53524.928353,0,"N"
"MAK",32916.3802336496,97671.249876,0.337011968982061,"H"
"MB",0,0,NA,"N"
"MEN",62300.1032013072,3351278.615442,0.0185899503891563,"L"
"MPF",0,1661.015607,0,"N"
"NSH",1660.47556255296,45019.339673,0.0368836054596513,"L"
"OHK",0,5219.941399,0,"N"
"OPT",55.7617254414881,32579.665647,0.0017115499602011,"L"
"OSH",0,89863.904477,0,"N"
"PB",0,9161.840286,0,"N"
"PIN",0,1722.399425,0,"N"
"PL",0,3777969.218999,0,"N"
"PLA",1814.4728692442,59315.062681,0.0305904231949067,"L"
"POL",5233.55062782855,49459.076727,0.105815776883913,"M"
"POR",0,17395.836285,0,"N"
"PS",0,4006014.053935,0,"N"
"PSH",52.8571957154132,147848.250122,0.000357509782305824,"L"
"QHG",116959.964947674,3999999.999968,0.0292399912371525,"L"
"RCB",1173.72820140533,NA,NA,"N"
"RED",642.049639467841,155283.000193,0.00413470655944206,"L"
"REP",0,NA,NA,"N"
"RHK",0,145475.564555,0,"N"
"RWH",0,14803.94018,0,"N"
"SAL",0,5580.343107,0,"N"
"SB",0,1487.880977,0,"N"
"SCA",24824.6626018206,56369.999999,0.440387841090314,"H"
"SCU",7557.96228450388,91572.944119,0.0825348836080036,"M"
"SDF",134.773404709718,3097977.945995,4.35036682181519e-05,"L"
"SG",0,20571.616115,0,"N"
"SHK",6.45703584807238,468101.700047,1.37940875827284e-05,"L"
"SK",2480.14913793106,138215.024205,0.0179441356118602,"L"
"SMO",0,92844.890844,0,"N"
"SSH",29.6982663293356,12067.743012,0.00246096277487878,"L"
"STB",1101.08363111227,271961.059037,0.00404868121565326,"L"
"SUF",10971.3400492958,109821.173795,0.0999018647330763,"M"
"SWH",0,9872.136749,0,"N"
"TAU",75.399029199961,729.193513,0.103400575918125,"M"
"TUN",318.799687412835,448479.607756,0.000710845447372674,"L"
"TWH",0,5641.930958,0,"N"
"TYL",528.787413839128,5890.274468,0.0897729667287769,"M"
"WHK",3484.28916067871,64199.830108,0.0542725604540895,"M"
"WIF",5224.51395282413,105491.434038,0.0495254804379866,"L"
"WOL",0,5096.129455,0,"N"
"WPF",64.0422991641499,15646.866927,0.00409297909050657,"L"
"WSK",15433.4798554971,508070.768196,0.030376634165151,"L"
"WTF",1447.26346517071,59456.867473,0.0243414011985736,"L"
"YTF",947.769737453424,49659.12283,0.0190855110489559,"L"
"ZG",0,1357288.844531,0,"N"
"ZL",0,823134.928186,0,"N"
"ZM",0,882400.643015,0,"N"
"ZS",0,3476921.936657,0,"N"
