"agecl","box","measurement","Code"
1,"15",40793.9728261012,"BFT"
2,"15",16304.5716807387,"BFT"
3,"15",49451.4405948261,"BFT"
4,"15",33789.0425346837,"BFT"
5,"15",24141.2614834329,"BFT"
6,"15",18486.074152089,"BFT"
7,"15",11557.891289245,"BFT"
8,"15",8353.5627581516,"BFT"
9,"15",5450.67147465487,"BFT"
10,"15",1614.84239783918,"BFT"
1,"16",41068.4641757357,"BFT"
2,"16",16414.2806297772,"BFT"
3,"16",49784.1856483198,"BFT"
4,"16",34016.3996476508,"BFT"
5,"16",24303.7013486237,"BFT"
6,"16",18610.4618273243,"BFT"
7,"16",11635.6611400128,"BFT"
8,"16",8409.77156932859,"BFT"
9,"16",5487.34753402938,"BFT"
10,"16",1625.70822527696,"BFT"
1,"17",41068.4641757357,"BFT"
2,"17",16414.2806297772,"BFT"
3,"17",49784.1856483198,"BFT"
4,"17",34016.3996476508,"BFT"
5,"17",24303.7013486237,"BFT"
6,"17",18610.4618273243,"BFT"
7,"17",11635.6611400128,"BFT"
8,"17",8409.77156932859,"BFT"
9,"17",5487.34753402938,"BFT"
10,"17",1625.70822527696,"BFT"
1,"18",41068.4641757357,"BFT"
2,"18",16414.2806297772,"BFT"
3,"18",49784.1856483198,"BFT"
4,"18",34016.3996476508,"BFT"
5,"18",24303.7013486237,"BFT"
6,"18",18610.4618273243,"BFT"
7,"18",11635.6611400128,"BFT"
8,"18",8409.77156932859,"BFT"
9,"18",5487.34753402938,"BFT"
10,"18",1625.70822527696,"BFT"
1,"19",41068.4641757357,"BFT"
2,"19",16414.2806297772,"BFT"
3,"19",49784.1856483198,"BFT"
4,"19",34016.3996476508,"BFT"
5,"19",24303.7013486237,"BFT"
6,"19",18610.4618273243,"BFT"
7,"19",11635.6611400128,"BFT"
8,"19",8409.77156932859,"BFT"
9,"19",5487.34753402938,"BFT"
10,"19",1625.70822527696,"BFT"
1,"20",41068.4641757357,"BFT"
2,"20",16414.2806297772,"BFT"
3,"20",49784.1856483198,"BFT"
4,"20",34016.3996476508,"BFT"
5,"20",24303.7013486237,"BFT"
6,"20",18610.4618273243,"BFT"
7,"20",11635.6611400128,"BFT"
8,"20",8409.77156932859,"BFT"
9,"20",5487.34753402938,"BFT"
10,"20",1625.70822527696,"BFT"
